model,game_id,run_label,justification_text,vote,is_correct,n_sentences,category_sentences,relation_sentences,arrangement,sentence_distance,semantic_labels_by_sentence,connectives
Gemma 4 2B,Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,run_1,"The discussion is highly contradictory, with Pete, Brett, and Dustin all claiming to be the Werewolf. Pete makes the strongest direct claims (e.g., 'This is the Werewolf', 'I was the Werewolf'), which are immediately challenged by others. Given the high level of deception and conflicting statements, Pete is the most suspicious candidate to eliminate to protect Team Village. If Pete is indeed the Werewolf, eliminating him is necessary to win.",Pete,False,4,"3,4",4,same sentence,0,s1:Testimony+ClaimComparison | s2:Testimony+SocialJudgment | s3:Payoff+Uncertainty | s4:Payoff,If(Contingency.Condition)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,run_1,"Justin is the primary suspect for the Werewolf, as he explicitly claims to have seen one and is accused by Mitchell of being the Werewolf. While the discussion is heavily complicated by role swaps and deception, Justin's statement serves as the most direct accusation pointing toward a Werewolf presence. Eliminating him maximizes the chance of eliminating a Werewolf and securing a Team Village victory.",Justin,True,3,3,1,separate sentences,2,s1:Testimony+SocialJudgment | s2:Uncertainty | s3:Payoff,as(Contingency.Cause) | While(Comparison.Contrast)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,run_3,"The transcript strongly indicates that Justin, Paul, and Mitchell are all Werewolves, based on their mutual accusations and confirmations. Since Team Village wins by eliminating a Werewolf, and the evidence suggests all players might be Werewolves, voting out any player is the only way to achieve the win condition. I will vote out Justin, as he was central to the identification of the Werewolf status.",Justin,False,3,2,"2,3",same sentence,0,s1:SocialJudgment | s2:Payoff,Since(Contingency.Cause) | and(Expansion.Conjunction) | as(Contingency.Cause)
Gemma 4 2B,Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,run_1,"The discussion is highly inconclusive, revolving around suspicions regarding Paul's role—whether he is a Werewolf or the Tanner. While Justin and Mitchell express suspicion, the evidence is not definitive enough to confirm a Werewolf. Since Team Village wins only by eliminating a Werewolf, and the transcript does not provide concrete proof of a Werewolf, I cannot confidently make an accusation.",No Werewolf,False,3,3,3,same sentence,0,s1:Uncertainty | s2:SocialJudgment+Uncertainty | s3:Payoff+Uncertainty,While(Comparison.Contrast) | Since(Contingency.Cause) | and(Expansion.Conjunction)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,run_3,"Alana expressed the most suspicious intent by stating that if she wanted to be a werewolf, she would want to stay alive, suggesting a possible alignment with the Werewolf team's goal. Given the high volatility of roles and potential swaps discussed in the transcript, Alana's comments about being a 'wild card' and her desire to survive make her a prime target for elimination to protect Team Village.",Alana,True,2,2,1,adjacent sentences,1,s1:Behavioral | s2:Behavioral+Payoff+Uncertainty,if(Contingency.Condition)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,run_2,"The discussion revolves around a series of role swaps and accusations, culminating in Mike strongly accusing Mitchell of being the Werewolf. Although Mitchell denies it and insists he was the Tanner, the collective sentiment and direct accusations suggest Mitchell is the target. Since Team Village wins by eliminating a Werewolf, voting for Mitchell maximizes the chance of success. If Mitchell is indeed the Werewolf, this vote secures Team Village's victory.",Mitchell,True,4,"3,4","3,4",same sentence,0,s1:SocialJudgment | s2:Testimony+SocialJudgment | s3:Payoff | s4:Payoff,Although(Comparison.Contrast) | Since(Contingency.Cause) | If(Contingency.Condition)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,run_2,"Paul explicitly stated that Mitchell and he were Werewolves together, suggesting Justin and Mitchell are Werewolves, while Paul himself might be the Tanner or Copycat. Since Team Village needs to eliminate a Werewolf to win, I will vote for Mitchell based on this direct accusation in the transcript. This is the strongest piece of evidence available to target a Werewolf.",Mitchell,False,3,2,2,same sentence,0,s1:Testimony | s2:SocialJudgment+Payoff | s3:SocialJudgment,while(Comparison.Contrast) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,run_1,"The transcript is highly confusing due to role swapping and conflicting claims, making definitive identification difficult. However, the voting phase suggests a strong suspicion around Paul and Mike being Werewolves, especially when Paul claims he started as a Werewolf and Mike is strongly implied to be one by several players. Since Team Village needs to eliminate a Werewolf to win, voting out Mike seems like the most aggressive move to eliminate a potential threat, aligning with the goal of Team Village.",Mike,False,3,3,3,same sentence,0,s1:Uncertainty | s2:Testimony+SocialJudgment | s3:Payoff,However(Comparison.Contrast) | when(Temporal.Synchrony) | and(Expansion.Conjunction) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,run_2,"The transcript indicates a strong suspicion that two players, Paul and Mitchell, are Werewolves, as they engage in complex role-swapping accusations and ultimately claim to be the Werewolf. Since Team Village wins by eliminating a Werewolf, voting out one of these suspected players is the optimal strategy. Paul made explicit claims about being the Werewolf, making him a prime target for elimination.",Paul,True,3,2,2,same sentence,0,s1:Testimony+SocialJudgment+Behavioral | s2:Payoff | s3:Testimony,as(Temporal.Synchrony) | ultimately(Temporal.Asynchronous) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,run_1,"The discussion transcript is heavily filled with role swaps, denials, and conflicting stories, making it impossible to definitively identify a Werewolf. No player explicitly reveals they are a Werewolf, nor is there any evidence of a Werewolf performing a killing action. Given the lack of concrete evidence, the safest strategy is to assume no Werewolf is present, which allows Team Village to win if all Werewolf cards are in the center.",No Werewolf,True,3,3,3,same sentence,0,s1:Uncertainty | s2:Uncertainty | s3:Payoff+Uncertainty,nor(Expansion.Conjunction) | if(Contingency.Condition)
