model,game_id,run_label,justification_text,vote,is_correct,n_sentences,category_sentences,relation_sentences,arrangement,sentence_distance,semantic_labels_by_sentence,connectives
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,run_2,"Mike claims to be the Seer and asserts that two werewolves are in the center, which would mean no player is a werewolf. However, his hesitation in revealing this information and his stated motive for withholding it are highly suspicious. Furthermore, James and Justin both claim to be the Troublemaker, suggesting one of them is the Tanner. If Mitchell is the Robber and one of James/Justin is the Tanner, Mike is the only remaining candidate for the Werewolf, making his claim about the center cards a likely lie to avoid elimination.",Mike,True,4,"1,4",4,same sentence,0,s1:Mechanical+Testimony | s2:Behavioral | s3:Testimony+ClaimComparison | s4:Mechanical+Testimony+Behavioral,However(Comparison.Contrast) | Furthermore(Expansion.Conjunction) | If(Contingency.Condition) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,run_2,"Dylan explicitly claimed to be the Werewolf during the discussion. Brett (claiming Troublemaker) and Kelsey (claiming Robber) both stated they did not swap or rob Dylan's card, meaning if Dylan started as the Werewolf, he remains the Werewolf. Although Dylan might be bluffing as the Tanner, he is the most direct suspect for the Werewolf role based on the public transcript.",Dylan,True,3,2,2,same sentence,0,s1:Testimony | s2:Mechanical+Testimony | s3:Behavioral,if(Contingency.Condition) | Although(Comparison.Contrast)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,run_2,"James claims to be the Hunter, and Alvin claims to be the Seer who verified James. Justin claims to be the Robber who swapped with Alvin, which would mean Justin now holds the Seer card and can verify Alvin's starting role. This creates a consistent chain of verification (Justin -> Alvin -> James), leaving Mitchell as the only player without a verified role or power. If a Werewolf is present, Mitchell is the most likely candidate as he is the only unverified player, and Justin's attempt to suggest there are no Werewolves may be a tactic to protect him.",Mitchell,False,4,2,4,separate sentences,2,s1:Testimony | s2:Mechanical+Testimony | s3:ClaimComparison+Uncertainty | s4:Behavioral+Uncertainty,and(Expansion.Conjunction) | If(Contingency.Condition) | as(Contingency.Cause) | and(Expansion.Conjunction)
Gemma 4 31B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,run_1,"Kevin claims to be the Seer and confirms that Jessica is the Minion. Jessica, claiming to be the Minion, states that she does not see any Werewolves among the players and believes the Werewolf card is in the center. Since the Minion knows the identity of the Werewolves, her statement implies that no player is currently a Werewolf. According to the rules, Team Village wins if no player is a Werewolf and no one is voted out.",No Werewolf,True,4,3,4,adjacent sentences,1,s1:Testimony | s2:Testimony | s3:Mechanical | s4:Payoff,Since(Contingency.Cause) | if(Contingency.Condition) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,run_2,"Mitchell claimed to be the Seer and saw Tyler as a Copycat. Tyler claimed to be the Robber and robbed Mitchell, and James claimed to be the Troublemaker and swapped Tyler and Mitchell. Following the night action order (Seer, then Robber, then Troublemaker), if these claims are true, Mitchell (Seer) saw Tyler (Copycat/Werewolf), Tyler took the Seer card, and James swapped them back, meaning Tyler ended the night as the Werewolf and Mitchell as the Seer. Paul's claim to be the Minion and his attempt to frame Mitchell by misinterpreting the swap's result suggests he is working with Tyler to divert suspicion.",Tyler,False,4,3,3,same sentence,0,s1:Testimony | s2:Testimony | s3:Mechanical+Testimony | s4:Testimony+Behavioral,and(Expansion.Conjunction) | if(Contingency.Condition) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,run_1,"Tyler (Seer) identified Mitchell as the Werewolf, and Mitchell eventually admitted to being the Werewolf but claimed that Justin robbed him. Justin claimed to be the Troublemaker but then contradicted himself by stating he didn't switch anyone, which is impossible for a Troublemaker. If Justin is the Robber who stole the Werewolf card from Mitchell, or if he is simply lying about his role to cover his identity as the Werewolf, he is the correct target for elimination.",Justin,False,3,"2,3",3,same sentence,0,s1:Testimony | s2:Mechanical+Testimony+ClaimComparison | s3:Mechanical+Behavioral,and(Expansion.Conjunction) | then(Temporal.Asynchronous) | If(Contingency.Condition) | or(Expansion.Alternative)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,run_2,"Mike claims to be the Seer and states he saw two Werewolves in the center. Mitchell consistently claims to be the Drunk, and the Drunk's ability is to swap their card with one from the center. Since the Seer's action occurs before the Drunk's action in the night order, if Mike is telling the truth, Mitchell must have swapped his card for one of the two Werewolf cards in the center, making Mitchell the Werewolf. Mitchell's own admission that he could be the Werewolf further supports this conclusion.",Mitchell,False,4,"2,3",3,same sentence,0,s1:Testimony | s2:Mechanical+Testimony | s3:Mechanical+Testimony | s4:Testimony,and(Expansion.Conjunction) | Since(Contingency.Cause) | if(Contingency.Condition)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,run_3,"Justin, Mike, and Julie have consistent claims: Mike (Robber) and Julie (Seer) both confirm that Justin started as the Troublemaker. Mitchell's behavior is highly erratic, as he claims to be the Troublemaker, Robber, Werewolf, and Tanner in rapid succession, which is characteristic of a Tanner attempting to attract votes. If Justin, Mike, and Julie are their claimed roles and Mitchell is the Tanner, then no player holds the Werewolf card, and the Werewolf cards must be in the center.",No Werewolf,False,3,3,3,same sentence,0,s1:Testimony+ClaimComparison | s2:Testimony+Behavioral+ClaimComparison | s3:Mechanical,as(Contingency.Cause) | If then(Contingency.Condition) | If(Contingency.Condition) | and(Expansion.Conjunction) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,run_2,"Tyler claims to be the Seer and indicates that Justin was the Werewolf (by stating Justin is lying about being the Copycat and pointing to him as the Werewolf). Paul claims to be the Troublemaker and states he swapped the cards of Justin and Mitchell. If Tyler's information is correct and Paul's swap occurred, the Werewolf card moved from Justin to Mitchell. Paul's insistence on voting for Justin, combined with Mitchell's passive behavior, suggests a coordinated effort by Team Werewolf to divert suspicion away from the current Werewolf, Mitchell.",Mitchell,False,4,3,3,same sentence,0,s1:Testimony+SocialJudgment | s2:Testimony | s3:Mechanical | s4:Behavioral,If(Contingency.Condition) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,run_1,"Justin claims to be the Seer and states he saw two werewolves in the center, meaning no player is a werewolf. Paul eventually admits to being the Tanner, and Mitchell and Mike claim roles (Insomniac and Troublemaker) that are consistent with a village-aligned setup. If no player is a werewolf, Team Village wins if no one is voted out.",No Werewolf,True,3,"1,2",3,adjacent sentences,1,s1:Mechanical+Testimony | s2:Mechanical+Testimony | s3:Payoff,and(Expansion.Conjunction) | If(Contingency.Condition) | if(Contingency.Condition)
