occurrence_id,justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text,char_spans,alignment_status,discopy_occurrence_id,discopy_surface,discopy_raw_sense,discopy_top_level,discopy_confidence,category_changed,is_coverage_evidence,is_classification_evidence,sent_start,sent_end,triage
172,31,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,run_1,1,Stochastic,with,Contingency,with,52,56,,0,,contiguous,1,"Kaelan was identified as the Minion, a role aligned with Team Werewolf, making them a prime target for elimination.",52-56,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,52,56,NON_CONNECTIVE_LIKELY
203,36,Gemma 4 2B,Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,run_1,1,Stochastic,with,Contingency,with,67,71,,0,,contiguous,1,"Jack explicitly stated he was the Werewolf, and the game concluded with a tie, meaning no player was eliminated.",67-71,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,67,71,NON_CONNECTIVE_LIKELY
209,37,Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,run_1,1,Stochastic,with,Contingency,with,92,96,,0,,contiguous,1,"James explicitly claimed to have been the Werewolf, and Elliot later stated that he swapped with James and is now the Werewolf, although this is contested.",92-96,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,92,96,NON_CONNECTIVE_LIKELY
212,37,Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,run_1,1,Stochastic,given,Contingency,Given,156,161,,0,,contiguous,2,"Given the complexity of role swaps and the direct accusation, Elliot is the primary suspect for the Werewolf role.",156-161,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
222,39,Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,run_1,1,Stochastic,given,Contingency,Given,251,256,,0,,contiguous,3,"Given the high level of speculation and conflicting claims regarding roles (Hunter, Robber, Seer, Villager), targeting the player who actively attempts to identify the threat is the most logical move for Team Village.",251-256,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
237,42,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,run_1,1,Stochastic,with,Contingency,with,160,164,,0,,contiguous,2,"Although the transcript is filled with role swaps and conflicting claims, Laura's accusation provides a direct path to eliminating a Werewolf and securing a victory for Team Village.",160-164,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,34,38,NON_CONNECTIVE_LIKELY
243,43,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,run_1,1,Stochastic,with,Contingency,with,44,48,,0,,contiguous,1,"The discussion transcript is heavily filled with role swaps, denials, and conflicting stories, making it impossible to definitively identify a Werewolf.",44-48,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,44,48,NON_CONNECTIVE_LIKELY
246,43,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,run_1,1,Stochastic,given,Contingency,Given,272,277,,0,,contiguous,3,"Given the lack of concrete evidence, the safest strategy is to assume no Werewolf is present, which allows Team Village to win if all Werewolf cards are in the center.",272-277,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
253,45,Gemma 4 2B,Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,run_1,1,Stochastic,with,Contingency,with,154,158,,0,,contiguous,2,"Although the transcript is filled with accusations and role swaps, Mitchell's self-identification provides the strongest direct evidence that a Werewolf is present.",154-158,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,34,38,NON_CONNECTIVE_LIKELY
264,47,Gemma 4 2B,Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,run_1,1,Stochastic,with,Contingency,with,184,188,,0,,contiguous,2,"Although the transcript is filled with role swaps and lies, his direct accusation provides the strongest, albeit unverified, evidence of a Werewolf presence.",184-188,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,34,38,NON_CONNECTIVE_LIKELY
266,48,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,run_1,1,Stochastic,with,Contingency,with,135,139,,0,,contiguous,3,"I'm on board with Mitchell now,"" and Alvin also suspects Mitchell.",135-139,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,13,17,NON_CONNECTIVE_LIKELY
284,51,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,run_1,1,Stochastic,with,Contingency,with,140,144,,0,,contiguous,2,"James later agreed with this suspicion, further solidifying the focus on Justin as the primary suspect.",140-144,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,19,23,NON_CONNECTIVE_LIKELY
287,51,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,run_1,1,Stochastic,given,Contingency,Given,225,230,,0,,contiguous,3,"Given the goal is to eliminate a Werewolf to secure a Team Village win, Justin is the most heavily implicated player based on the public discussion.",225-230,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
288,52,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,run_1,1,Stochastic,with,Contingency,with,60,64,,0,,contiguous,1,"The discussion heavily focuses on identifying the Werewolf, with multiple players making claims about their roles (Villager, Robber, Seer, Troublemaker) and accusing each other.",60-64,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,60,64,CLAUSE_INITIAL_PLAUSIBLE
299,54,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,run_1,1,Stochastic,with,Contingency,with,44,48,,0,,contiguous,1,"The discussion remains highly inconclusive, with players debating whether Justin or Mitchell is the Werewolf, or if there are no Werewolves at all.",44-48,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,44,48,CLAUSE_INITIAL_PLAUSIBLE
308,54,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,run_1,1,Stochastic,given,Contingency,given,374,379,,0,,contiguous,3,"Since the game rules state that Team Village wins if they eliminate a Werewolf, and given the strong suspicion directed towards Justin, he is the primary target.",374-379,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,84,89,CLAUSE_INITIAL_PLAUSIBLE
312,55,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,run_1,1,Stochastic,given that,Contingency,Given that,262,272,,0,,contiguous,3,"Given that Team Village wins by eliminating a Werewolf, voting for James is the most logical strategy to secure victory.",262-272,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,10,CLAUSE_INITIAL_PLAUSIBLE
317,56,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,run_1,1,Stochastic,particularly,Expansion,particularly,72,84,,0,,contiguous,1,"The discussion centers around role accusations and shifting identities, particularly involving Justin and Alvin.",72-84,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,72,84,NON_CONNECTIVE_LIKELY
336,58,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,run_1,1,Stochastic,with,Contingency,with,60,64,,0,,contiguous,1,"The discussion centers heavily on identifying the Werewolf, with Dan explicitly suggesting Caitlynn is the Werewolf and the consensus leaning towards this belief.",60-64,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,60,64,UNCLEAR
340,58,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,run_1,1,Stochastic,given,Contingency,Given,307,312,,0,,contiguous,3,"Given the pressure and the collective belief that Caitlynn is the culprit, voting her out maximizes the chance of eliminating a Werewolf and securing a Team Village victory.",307-312,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
351,60,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,run_1,1,Stochastic,with,Contingency,with,160,164,,0,,contiguous,2,"Furthermore, Mitchell admits to switching with a Villager (Caitlynn) and claims Justin was a Werewolf, which is a suspicious claim.",160-164,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,42,46,NON_CONNECTIVE_LIKELY
356,61,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,run_1,1,Stochastic,with,Contingency,with,151,155,,0,,contiguous,2,"While the transcript is filled with role swaps and accusations, Dan's assertion serves as the strongest lead for Team Village to pursue.",151-155,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,31,35,NON_CONNECTIVE_LIKELY
366,63,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,run_1,1,Stochastic,with,Contingency,with,94,98,,0,,contiguous,1,"The discussion centered heavily around role swaps and the possibility of multiple Werewolves, with Mitchell claiming to be a 'double werewolf' and being accused of switching roles.",94-98,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,94,98,UNCLEAR
372,63,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,run_1,1,Stochastic,with,Contingency,with,341,345,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, targeting the player with the strongest Werewolf indicators is the optimal strategy.",341-345,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,72,76,NON_CONNECTIVE_LIKELY
378,65,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,run_1,1,Stochastic,with,Contingency,with,56,60,,0,,contiguous,1,"The discussion centers around identifying the Werewolf, with Dan making a claim (84) that he saw two Werewolves.",56-60,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,56,60,UNCLEAR
387,67,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,run_1,1,Stochastic,given,Contingency,Given,236,241,,0,,contiguous,3,"Given the lack of concrete evidence pointing to a specific player, and the high possibility of misdirection, voting out a player based on speculation is risky.",236-241,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
403,70,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,run_1,1,Stochastic,with,Contingency,with,57,61,,0,,contiguous,1,"The discussion strongly implicates Mike as the Werewolf, with multiple players (James, Justin, and Mitchell) asserting this identity.",57-61,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,57,61,CLAUSE_INITIAL_PLAUSIBLE
422,72,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,run_1,1,Stochastic,given,Contingency,given,353,358,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and given the high level of uncertainty, the safest choice is to assume no Werewolf is currently active.",353-358,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,71,76,CLAUSE_INITIAL_PLAUSIBLE
431,74,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,run_1,1,Stochastic,given,Contingency,Given,334,339,,0,,contiguous,3,"Given the high level of suspicion and conflicting accounts, Mitchell is the most likely candidate to be a Werewolf attempting to sow chaos and deflect blame.",334-339,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
434,75,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,run_1,1,Stochastic,given,Contingency,Given,98,103,,0,,contiguous,2,"Given the limited information and the need to eliminate a Werewolf to win, voting out the player most strongly implicated by the group consensus is the strategic choice.",98-103,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
439,76,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,run_1,1,Stochastic,with,Contingency,with,223,227,,0,,contiguous,2,"James repeatedly asserts that Mitchell is a werewolf, and several other players, including Caitlynn, explicitly state they are voting for him because it aligns with their desired outcome.",223-227,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,160,164,NON_CONNECTIVE_LIKELY
458,80,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,run_1,1,Stochastic,with,Contingency,with,129,133,,0,,contiguous,2,"Although the discussion was filled with conflicting claims about roles (Seer, Drunk, Werewolf), James's final accusation provides the strongest immediate basis for elimination.",129-133,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,35,39,NON_CONNECTIVE_LIKELY
468,82,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,run_1,1,Stochastic,with,Contingency,with,40,44,,0,,contiguous,1,"The discussion is highly contradictory, with both Justin and Mitchell claiming to have been the Werewolf, and accusing the other of being a Robber who swapped roles.",40-44,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,40,44,CLAUSE_INITIAL_PLAUSIBLE
475,82,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,run_1,1,Stochastic,given,Contingency,Given,341,346,,0,,contiguous,3,"Given the intensity of the accusations and the need to eliminate a Werewolf to secure the Village win, Mitchell is the primary target for elimination.",341-346,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
478,83,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,run_1,1,Stochastic,with,Contingency,with,40,44,,0,,contiguous,1,"The discussion is highly contradictory, with players accusing each other of lying and swapping roles.",40-44,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,40,44,UNCLEAR
483,83,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,run_1,1,Stochastic,given,Contingency,Given,214,219,,0,,contiguous,3,"Given the lack of concrete evidence and the high level of deception evident in the transcript, it is impossible to definitively identify the Werewolf.",214-219,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
492,84,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,run_1,1,Stochastic,given,Contingency,Given,254,259,,0,,contiguous,3,"Given the high level of uncertainty and the lack of definitive proof, I cannot confidently identify a Werewolf.",254-259,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
502,86,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,run_1,1,Stochastic,without,Contingency,Without,273,280,,0,,contiguous,3,"Without concrete evidence or a confirmed Werewolf action, I cannot confidently accuse any single player.",273-280,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,7,CLAUSE_INITIAL_PLAUSIBLE
513,89,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,run_1,1,Stochastic,with,Contingency,with,34,38,,0,,contiguous,1,"The discussion is highly chaotic, with multiple players making conflicting claims about their roles and witnessing events.",34-38,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,34,38,UNCLEAR
515,89,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,run_1,1,Stochastic,particularly,Expansion,particularly,132,144,,0,,contiguous,2,"Meryl is particularly suspicious as she claims to be the Seer, then the Werewolf, and finally the Tanner, suggesting she may be attempting to mislead the group.",132-144,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,9,21,NON_CONNECTIVE_LIKELY
520,89,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,run_1,1,Stochastic,given,Contingency,Given,284,289,,0,,contiguous,3,"Given the ambiguity, targeting the player with the most contradictory information is a strategic move to eliminate a potential Werewolf and support Team Village.",284-289,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
521,89,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,run_1,1,Stochastic,with,Contingency,with,326,330,,0,,contiguous,3,"Given the ambiguity, targeting the player with the most contradictory information is a strategic move to eliminate a potential Werewolf and support Team Village.",326-330,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,42,46,NON_CONNECTIVE_LIKELY
529,90,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,run_1,1,Stochastic,with,Contingency,with,279,283,,0,,contiguous,2,"While the discussion is highly chaotic and involves numerous role swaps, voting for a player identified as a Village role (Hunter) is consistent with Team Village's objective of eliminating a Werewolf.",279-283,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,145,149,NON_CONNECTIVE_LIKELY
531,91,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,run_1,1,Stochastic,particularly,Expansion,particularly,63,75,,0,,contiguous,1,"The discussion centers heavily on conflicting role narratives, particularly regarding the Drunk and Revealer roles, leading to intense suspicion directed at Mike.",63-75,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,63,75,NON_CONNECTIVE_LIKELY
