occurrence_id,justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text,char_spans
10,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,as,Temporal,as,99,101,,0,,contiguous,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",99-101
11,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,given,Contingency,Given,130,135,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",130-135
12,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,185,188,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",185-188
13,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,for,Contingency,for,246,249,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",246-249
14,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,as,Temporal,as,278,280,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",278-280
15,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,306,309,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",306-309
16,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,for,Contingency,for,359,362,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",359-362
17,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,as,Temporal,as,29,31,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",29-31
18,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,88,91,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",88-91
19,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,also,Expansion,also,98,102,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",98-102
20,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,while,Comparison,While,140,145,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",140-145
21,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,with,Contingency,with,171,175,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",171-175
22,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,187,190,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",187-190
23,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,288,291,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",288-291
24,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,if,Contingency,If,331,333,,0,,contiguous,3,"If Chris is indeed the Werewolf, this vote ensures victory.",331-333
25,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,indeed,Expansion,indeed,343,349,,0,,contiguous,3,"If Chris is indeed the Werewolf, this vote ensures victory.",343-349
26,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,specifically,Expansion,specifically,85,97,,0,,contiguous,1,"Sukeshi directly accuses James of being a werewolf multiple times in the transcript, specifically stating 'James is a werewolf' (73, 75).",85-97
27,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,while,Comparison,While,138,143,,0,,contiguous,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",138-143
28,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,as,Temporal,as,271,273,,0,,contiguous,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",271-273
29,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,while,Comparison,While,167,172,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",167-172
30,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,or,Expansion,or,219,221,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",219-221
31,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,with,Contingency,with,239,243,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",239-243
32,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,since,Contingency,Since,325,330,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",325-330
33,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,and,Expansion,and,376,379,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",376-379
34,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,and,Expansion,and,70,73,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",70-73
35,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,as,Temporal,as,130,132,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",130-132
36,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,or,Expansion,or,160,162,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",160-162
37,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,and,Expansion,and,179,182,,0,,contiguous,2,"Chris and Sukeshi explicitly suggest killing her, indicating a strong belief that she is a threat.",179-182
38,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,since,Contingency,Since,272,277,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, voting Sian out is the best strategic move based on the current public discussion.",272-277
39,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,with,Contingency,with,36,40,,0,,contiguous,1,"The discussion is highly confusing, with multiple players claiming different roles, especially the Villager role.",36-40
40,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,however,Comparison,However,114,121,,0,,contiguous,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",114-121
41,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,and,Expansion,and,128,131,,0,,contiguous,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",128-131
42,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,given,Contingency,Given,215,220,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",215-220
43,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,and,Expansion,and,251,254,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",251-254
44,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,for,Contingency,for,308,311,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",308-311
45,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,51,54,,0,,contiguous,1,"The discussion is heavily focused on role swapping and identity confusion, making it difficult to determine true roles.",51-54
46,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,152,155,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",152-155
47,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,180,183,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",180-183
48,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,as,Temporal,as,210,212,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",210-212
49,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,since,Contingency,Since,234,239,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf, targeting the player most strongly suspected of holding the Werewolf card is the best course of action.",234-239
50,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,418,421,,0,,contiguous,4,Sean's conflicting statements and the general suspicion surrounding his identity make him a high-priority target.,418-421
51,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,53,56,,0,,contiguous,1,The discussion is highly confusing due to role swaps and conflicting claims about who holds which card.,53-56
52,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,while,Comparison,While,104,109,,0,,contiguous,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",104-109
53,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,or,Expansion,or,198,200,,0,,contiguous,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",198-200
54,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,since,Contingency,Since,246,251,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",246-251
55,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,if,Contingency,if,270,272,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",270-272
56,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,296,299,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",296-299
57,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,313,316,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",313-316
58,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,particularly,Expansion,particularly,59,71,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck.",59-71
59,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,when,Temporal,when,72,76,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck.",72-76
60,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,and,Expansion,and,135,138,,0,,contiguous,2,"Hunter and Sean explicitly claimed to be Werewolves, which makes them the primary suspects.",135-138
61,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,for,Contingency,for,281,284,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",281-284
62,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,as,Temporal,as,293,295,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",293-295
63,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,with,Contingency,with,364,368,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",364-368
64,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,although,Comparison,Although,104,112,,0,,contiguous,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",104-112
65,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,and,Expansion,and,158,161,,0,,contiguous,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",158-161
66,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,since,Contingency,Since,246,251,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",246-251
67,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,as,Temporal,as,354,356,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",354-356
68,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,60,63,,0,,contiguous,1,"The discussion transcript reveals significant role swapping and confusion among the players, making it impossible to definitively identify the Werewolf.",60-63
69,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,while,Comparison,While,153,158,,0,,contiguous,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",153-158
70,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,221,224,,0,,contiguous,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",221-224
71,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,since,Contingency,Since,257,262,,0,,contiguous,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",257-262
72,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,if,Contingency,if,281,283,,0,,contiguous,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",281-283
73,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,356,359,,0,,contiguous,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",356-359
74,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,with,Contingency,with,77,81,,0,,contiguous,1,"The discussion centers heavily on the possibility that Zack is the Werewolf, with Jacob suggesting Sean is the Robber who switched cards with Zack to cover up.",77-81
75,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,with,Contingency,with,137,141,,0,,contiguous,1,"The discussion centers heavily on the possibility that Zack is the Werewolf, with Jacob suggesting Sean is the Robber who switched cards with Zack to cover up.",137-141
76,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,since,Contingency,Since,160,165,,0,,contiguous,2,"Since Team Village needs to eliminate a Werewolf, voting for Sean targets the player most strongly implicated in the suspected Werewolf scheme.",160-165
77,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,for,Contingency,for,217,220,,0,,contiguous,2,"Since Team Village needs to eliminate a Werewolf, voting for Sean targets the player most strongly implicated in the suspected Werewolf scheme.",217-220
78,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,and,Expansion,and,48,51,,0,,contiguous,1,"The discussion centers heavily on role swapping and double bluffs, suggesting that players are actively trying to mislead others about their identities.",48-51
79,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,and,Expansion,and,188,191,,0,,contiguous,2,"Tyler claims the Troublemaker role and engages in complex arguments designed to deflect suspicion, which aligns with the behavior of a Werewolf trying to sow discord.",188-191
80,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,with,Contingency,with,265,269,,0,,contiguous,2,"Tyler claims the Troublemaker role and engages in complex arguments designed to deflect suspicion, which aligns with the behavior of a Werewolf trying to sow discord.",265-269
81,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,given,Contingency,Given,320,325,,0,,contiguous,3,"Given the high level of deception and the focus on who is lying, Tyler is the most likely candidate to be the Werewolf.",320-325
82,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,and,Expansion,and,354,357,,0,,contiguous,3,"Given the high level of deception and the focus on who is lying, Tyler is the most likely candidate to be the Werewolf.",354-357
83,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,48,51,,0,,contiguous,1,The discussion centers heavily on card swapping and identifying the Werewolf.,48-51
84,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,109,112,,0,,contiguous,2,"Clint claimed to be the Drunk, and the conversation quickly devolved into accusations about who was the Robber and Troublemaker.",109-112
85,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,189,192,,0,,contiguous,2,"Clint claimed to be the Drunk, and the conversation quickly devolved into accusations about who was the Robber and Troublemaker.",189-192
86,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,216,219,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote.",216-219
87,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,290,293,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote.",290-293
88,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,303,306,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote.",303-306
89,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,ultimately,Temporal,ultimately,312,322,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote.",312-322
90,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,given,Contingency,Given,337,342,,0,,contiguous,4,"Given the high level of suspicion directed at Clint, he is the primary target to eliminate a potential Werewolf.",337-342
91,16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,however,Comparison,However,129,136,,0,,contiguous,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf.",129-136
92,16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,and,Expansion,and,209,212,,0,,contiguous,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf.",209-212
