occurrence_id,model,game_id,session_name,run_label,run_number,decoding_group,justification_id,sentence_id,sentence_text,candidate_surface,connective_surface,char_spans,start,end,n_char_spans,is_discontinuous,is_connective,raw_sense,top_level,confidence,relation_type,aligned_to_dimlex,alignment_status
42,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,8,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",and,and,180-183,180,183,1,False,True,Expansion.Conjunction,Expansion,0.994491696357727,Explicit,True,ALIGNED
43,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,8,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",as,as,210-212,210,212,1,False,False,NoSense,,0.9999996423721312,Explicit,True,ALIGNED
44,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,8,3,"Since Team Village needs to eliminate a Werewolf, targeting the player most strongly suspected of holding the Werewolf card is the best course of action.",since,Since,234-239,234,239,1,False,True,Contingency.Cause,Contingency,0.9905577898025512,Explicit,True,ALIGNED
45,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,8,4,Sean's conflicting statements and the general suspicion surrounding his identity make him a high-priority target.,and,and,418-421,418,421,1,False,False,NoSense,,0.9999562501907348,Explicit,True,ALIGNED
46,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,1,The discussion is highly confusing due to role swaps and conflicting claims about who holds which card.,and,and,53-56,53,56,1,False,False,NoSense,,0.9999998807907104,Explicit,True,ALIGNED
47,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",while,While,104-109,104,109,1,False,True,Comparison.Contrast,Comparison,0.7291952967643738,Explicit,True,ALIGNED
48,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",or,or,198-200,198,200,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
49,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",since,Since,246-251,246,251,1,False,True,Contingency.Cause,Contingency,0.9897527694702148,Explicit,True,ALIGNED
50,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",if,if,270-272,270,272,1,False,True,Contingency.Condition,Contingency,0.9918799996376038,Explicit,True,ALIGNED
51,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",and,and,296-299,296,299,1,False,True,Expansion.Conjunction,Expansion,0.99960058927536,Explicit,True,ALIGNED
52,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,9,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",and,and,313-316,313,316,1,False,True,Expansion.Conjunction,Expansion,0.8787733912467957,Explicit,True,ALIGNED
53,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,10,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck.",when,when,72-76,72,76,1,False,False,NoSense,,0.6103067994117737,Explicit,True,ALIGNED
54,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,10,2,"Hunter and Sean explicitly claimed to be Werewolves, which makes them the primary suspects.",and,and,135-138,135,138,1,False,False,NoSense,,0.9998075366020204,Explicit,True,ALIGNED
55,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,10,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",for,for,281-284,281,284,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
56,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,10,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",as,as,293-295,293,295,1,False,True,Temporal.Synchrony,Temporal,0.7826177477836609,Explicit,True,ALIGNED
57,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,11,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",although,Although,104-112,104,112,1,False,True,Comparison.Contrast,Comparison,0.5397620797157288,Explicit,True,ALIGNED
58,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,11,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",and,and,158-161,158,161,1,False,False,NoSense,,0.9999972581863404,Explicit,True,ALIGNED
59,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,11,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",since,Since,246-251,246,251,1,False,True,Contingency.Cause,Contingency,0.9950640797615052,Explicit,True,ALIGNED
60,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,11,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",as,as,354-356,354,356,1,False,False,NoSense,,0.9999998807907104,Explicit,True,ALIGNED
61,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,12,1,"The discussion transcript reveals significant role swapping and confusion among the players, making it impossible to definitively identify the Werewolf.",and,and,60-63,60,63,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
62,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,12,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",while,While,153-158,153,158,1,False,True,Comparison.Contrast,Comparison,0.8461140990257263,Explicit,True,ALIGNED
63,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,12,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",and,and,221-224,221,224,1,False,True,Expansion.Conjunction,Expansion,0.9925092458724976,Explicit,True,ALIGNED
64,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,12,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",since,Since,257-262,257,262,1,False,True,Contingency.Cause,Contingency,0.9839854836463928,Explicit,True,ALIGNED
65,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,12,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",if,if,281-283,281,283,1,False,True,Contingency.Condition,Contingency,0.992497742176056,Explicit,True,ALIGNED
66,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,12,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",and,and,356-359,356,359,1,False,True,Expansion.Conjunction,Expansion,0.8900889754295349,Explicit,True,ALIGNED
