validation_id,marker,triage,failure_type,model,game_id,run_label,decoding_group,justification_id,sentence_id,sentence_text,char_spans,dimlex_category,discopy_raw_sense,discopy_top_level,discopy_confidence,manual_valid_relation_missed_by_discopy,manual_top_level_category,notes
11,given that,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,greedy_t0,Greedy,696,2,"Given that Team Village wins by eliminating a Werewolf, voting for Mitchell is the strongest move based on the available evidence.",191-201,Contingency,,,,,,
12,given that,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,run_3,Stochastic,2016,3,"Given that the other five players have interlocking stories that account for five distinct village roles, Brett is the most likely candidate to be the Werewolf lying about his role.",392-402,Contingency,,,,,,
13,given that,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,greedy_t0,Greedy,627,3,"Given that Team Village wins by eliminating a Werewolf, voting Justin is the most direct way to pursue the win condition based on the current suspicions.",264-274,Contingency,,,,,,
14,given that,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,run_2,Stochastic,1117,4,"Given that Team Village wins by eliminating a Werewolf, and two players have identified Justin as such, he is the most logical target for the vote.",344-354,Contingency,,,,,,
15,given that,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,run_3,Stochastic,2038,4,"Given that Paul admitted his bluff and Justin's claim remains consistent, there is no evidence that any player is a Werewolf.",318-328,Contingency,,,,,,
16,given that,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,run_3,Stochastic,1960,3,"Given that James is the only player actively suggesting his own elimination and providing a logic for why he might be the Werewolf, he is the most likely candidate for elimination to secure a win for Team Village.",348-358,Contingency,,,,,,
17,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,run_1,Stochastic,1693,3,"Despite some joking and contradictions in the transcript, the group consensus converges on Alana as the target for elimination.",256-263,Comparison,,,,,,
18,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,greedy_t0,Greedy,1496,4,"Despite the conflicting claims, the final momentum of the discussion, including Paul's stated intent to vote for Mike (140), points toward Mike as the most likely Werewolf to eliminate for Team Village.",345-352,Comparison,,,,,,
19,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,greedy_t0,Greedy,1474,4,"Despite his attempts to redirect suspicion onto Ryan, his initial confession makes him the primary target for Team Village to ensure a Werewolf is eliminated.",392-399,Comparison,,,,,,
20,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,greedy_t0,Greedy,1339,4,"Despite the chaotic nature of the discussion, the evidence points to Elliot as the current threat.",396-403,Comparison,,,,,,
21,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,run_2,Stochastic,1139,2,"Despite the complexity introduced by role swapping (Troublemaker, Robber), the majority of the active participants have converged on Laura as the most probable threat to Team Village.",126-133,Comparison,,,,,,
22,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,run_2,Stochastic,1045,4,"Despite Haak claiming to be the Hunter, the weight of the recent accusations and the momentum of the group suggests he is the most likely target to eliminate a Werewolf.",379-386,Comparison,,,,,,
23,despite,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,run_1,Stochastic,846,2,"Justin repeatedly asserts that he was a Werewolf, despite earlier claims of being a Robber, and he is the most vocal in pushing this narrative.",198-205,Comparison,,,,,,
24,eventually,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,run_1,Stochastic,1577,3,Justin did not provide a counter-claim to his role and eventually sarcastically admitted to being the Werewolf.,316-326,Temporal,,,,,,
25,eventually,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,greedy_t0,Greedy,2108,3,"She later attempts to re-assert her role as the Seer (Line 158) and eventually shifts her suspicion to Chris (Line 183), indicating an inconsistent bluff.",305-315,Temporal,,,,,,
26,eventually,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,run_2,Stochastic,1882,2,"While James also makes claims about werewolves and eventually asks to be voted out, his behavior (begging to be eliminated and voting for himself) is highly characteristic of the Tanner role.",155-165,Temporal,,,,,,
27,eventually,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 31B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,greedy_t0,Greedy,2104,1,"Sian claimed to be the Robber but demonstrated a complete lack of understanding of the role's mechanics, eventually admitting she did not know how to play it.",105-115,Temporal,,,,,,
28,with,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,greedy_t0,Greedy,613,1,"The discussion heavily focuses on Mitchell's identity, with Paul expressing suspicion that Mitchell is playing too safe and suggesting he might be the Insomniac, which Paul views as a 'sweet story.'",55-59,Contingency,,,,,,
29,with,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 2B,Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,run_2,Stochastic,291,1,"The discussion is highly contentious, with players speculating about who the Werewolf is, leading to accusations and role swaps.",38-42,Contingency,,,,,,
30,with,CLAUSE_INITIAL_PLAUSIBLE,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,run_2,Stochastic,1065,1,"The discussion is extremely chaotic, with multiple players making conflicting claims about their roles, particularly regarding the Tanner and Troublemaker.",37-41,Contingency,,,,,,
