occurrence_id,model,run_label,decoding_group,justification_id,sentence_id,form,connective_surface,status,raw_sense,top_level,confidence,dimlex_category,is_discontinuous,sentence_text
7997,Gemma 4 4B,greedy_t0,Greedy,1429,2,if,if,accepted,Contingency.Condition,Contingency,0.4782852232456207,Contingency,False,"Initially, he claims to be the Seer and reveals that he saw a Werewolf (80, 111), a powerful claim that would be highly incriminating if false."
8761,Gemma 4 31B,run_1,Stochastic,1551,2,if,If,accepted,Contingency.Condition,Contingency,0.4824239611625671,Contingency,False,"If these claims are true, the Werewolf role was transferred from Jacob to Sean."
14055,Gemma 4 31B,greedy_t0,Greedy,2273,3,if,If,accepted,Contingency.Condition,Contingency,0.4884281456470489,Contingency,False,"If these claims are true, the Troublemaker's switch would have transferred the Werewolf role to Mike and the Tanner role to Eric."
8877,Gemma 4 31B,run_1,Stochastic,1566,2,if,if,accepted,Contingency.Condition,Contingency,0.4970590472221374,Contingency,False,"Ashley claims to be the Troublemaker and says she swapped Sukeshi and Elliot; if this is true and Sukeshi was the Werewolf, Elliot would now be the Werewolf."
9771,Gemma 4 31B,run_1,Stochastic,1687,3,if,If,accepted,Contingency.Condition,Contingency,0.5033143162727356,Contingency,False,"If these claims are true, the Werewolf role was transferred from Mitchell to Mike."
8215,Gemma 4 4B,greedy_t0,Greedy,1463,3,if,If,accepted,Contingency.Condition,Contingency,0.5044611692428589,,False,"If this claim is accurate, then no player among Justin, Mitchell, Paul, or Mike holds the Werewolf card."
10183,Gemma 4 31B,run_2,Stochastic,1742,3,if,If,accepted,Contingency.Condition,Contingency,0.5093308091163635,Contingency,False,"If these claims are true, Sean is now the Werewolf."
11932,Gemma 4 31B,run_3,Stochastic,1985,2,if,If,accepted,Contingency.Condition,Contingency,0.5119670629501343,,False,"If James is the Seer, then both Mike and Mitchell are lying about being the Seer."
13771,Gemma 4 31B,greedy_t0,Greedy,2234,2,if,if,accepted,Contingency.Condition,Contingency,0.5286898612976074,Contingency,False,"Brett admits he was the starting Werewolf, which means if Katie's claim is true, Pete is now the Werewolf."
11158,Gemma 4 31B,run_2,Stochastic,1878,3,if,If,accepted,Contingency.Condition,Contingency,0.5294222831726074,Contingency,False,"If these claims are true, the Werewolf role was moved from Mitchell to Mike."
9590,Gemma 4 31B,run_1,Stochastic,1665,3,if,if,accepted,Contingency.Condition,Contingency,0.5342914462089539,Comparison,False,"Even if a swap occurred, Brett's erratic behavior and admission make him the most suspicious candidate for elimination to ensure a Village win."
11079,Gemma 4 31B,run_2,Stochastic,1867,4,if,If,accepted,Contingency.Condition,Contingency,0.5407661199569702,Contingency,False,"If both claims are true, Paul has taken the Werewolf card from James and is now the Werewolf."
11566,Gemma 4 31B,run_3,Stochastic,1933,2,if,If,accepted,Contingency.Condition,Contingency,0.541593074798584,Contingency,False,"If these claims are true, Sean is currently the Werewolf."
13226,Gemma 4 31B,greedy_t0,Greedy,2159,4,if,If,accepted,Contingency.Condition,Contingency,0.5420272946357727,Contingency,False,"If these claims are true, Justin's Werewolf card was moved to Caitlynn, making her the current Werewolf."
13474,Gemma 4 31B,greedy_t0,Greedy,2195,3,if,If,accepted,Contingency.Condition,Contingency,0.5426070690155029,Contingency,False,"If Mitchell's swap is a lie, Julie remains the primary suspect; if it is true, she is still the most likely starting Werewolf, though the role would have shifted."
13715,Gemma 4 31B,greedy_t0,Greedy,2227,2,if,if,accepted,Contingency.Condition,Contingency,0.5430611371994019,Contingency,False,"Furthermore, Justin's story is logically inconsistent: if he were the Robber and robbed Paul, he would have taken Paul's role and would no longer be the Robber."
11665,Gemma 4 31B,run_3,Stochastic,1948,2,if,If,accepted,Contingency.Condition,Contingency,0.5495545268058777,Contingency,False,"If Ashley's claim of being the Troublemaker and swapping Sukeshi and Elliot is true, and Sukeshi started as the Tanner, then Sukeshi would now be the Werewolf if Elliot started as one."
13800,Gemma 4 31B,greedy_t0,Greedy,2238,2,if,If,accepted,Contingency.Condition,Contingency,0.5507463812828064,Contingency,False,"If these claims are true, Katie is now the Werewolf."
9582,Gemma 4 31B,run_1,Stochastic,1664,3,if,if,accepted,Contingency.Condition,Contingency,0.5721856951713562,Contingency,False,"Since the Troublemaker swaps the roles of two players, if Chris started as the Werewolf and was swapped with Mike, Mike is now the Werewolf."
12587,Gemma 4 31B,run_3,Stochastic,2070,5,if,If,accepted,Contingency.Condition,Contingency,0.5731425881385803,Contingency,False,"If these claims are true, Mitchell is currently the Werewolf."
10320,Gemma 4 31B,run_2,Stochastic,1762,2,if,if,accepted,Contingency.Condition,Contingency,0.5739761590957642,Contingency,False,"Paul (Robber) claims he robbed Mitchell, who was a Villager; if Paul was the Werewolf, this action moved the Werewolf card to Mitchell."
9054,Gemma 4 31B,run_1,Stochastic,1591,3,if,if,accepted,Contingency.Condition,Contingency,0.5806959271430969,Contingency,False,"Caitlynn, the Troublemaker, states she swapped Justin and Mitchell; if Mitchell was the Werewolf and was swapped with Justin, Justin is now the Werewolf."
10276,Gemma 4 31B,run_2,Stochastic,1756,2,if,If,accepted,Contingency.Condition,Contingency,0.5966640710830688,Contingency,False,"If this sequence is true, Elliot now holds the Werewolf card and is the target for Team Village."
11558,Gemma 4 31B,run_3,Stochastic,1932,2,if,If,accepted,Contingency.Condition,Contingency,0.6010566353797913,,False,"If this information is accurate, then no player is currently a Werewolf."
12388,Gemma 4 31B,run_3,Stochastic,2045,3,if,If,accepted,Contingency.Condition,Contingency,0.6093232035636902,Contingency,False,"If Brett, Dustin, and Pete are their claimed roles (Seer, Drunk, and Robber), and Katie is the Tanner, then all Werewolf cards must be in the center."
11254,Gemma 4 31B,run_2,Stochastic,1891,3,if,if,accepted,Contingency.Condition,Contingency,0.6105978488922119,Contingency,False,"Paul also claimed to start as a Werewolf, though he later retracted this; if Paul is the Tanner, Mike is the only Werewolf, and if Paul is also a Werewolf, both are targets."
9113,Gemma 4 31B,run_1,Stochastic,1599,2,if,if,accepted,Contingency.Condition,Contingency,0.6127846837043762,Contingency,False,"Mike (claiming Troublemaker) states he switched Justin and James; if James started as the Tanner, he would now be the Seer and want the Village to win, making his accusation against Mitchell logically consistent."
10103,Gemma 4 31B,run_2,Stochastic,1731,4,if,if,accepted,Contingency.Condition,Contingency,0.6162334680557251,Contingency,False,"Based on the roles discussed, if Sean (Troublemaker) swapped Zack (Robber) and Hunter (Werewolf), Zack is now the Werewolf."
9946,Gemma 4 31B,run_1,Stochastic,1710,3,if,If,accepted,Contingency.Condition,Contingency,0.6267682313919067,Contingency,False,"If Paul's claim about the swap and Justin's claim about his starting role are both true, Laura is now the Werewolf."
11247,Gemma 4 31B,run_2,Stochastic,1891,2,if,if,accepted,Contingency.Condition,Contingency,0.6313715577125549,Contingency,False,"Eric admits he started as a Werewolf, which means if the swap occurred, Mike is now a Werewolf."
12994,Gemma 4 31B,greedy_t0,Greedy,2126,4,if,If,accepted,Contingency.Condition,Contingency,0.6382795572280884,Contingency,False,"If these claims are accurate, Jessica ended the night as the Minion and no Werewolf is present among the players."
11859,Gemma 4 31B,run_3,Stochastic,1977,3,if,If,accepted,Contingency.Condition,Contingency,0.6403387188911438,,False,"If these claims are true, then no player is currently a werewolf, and the Village wins by voting 'No Werewolf'."
10962,Gemma 4 31B,run_2,Stochastic,1851,3,if,If,accepted,Contingency.Condition,Contingency,0.6419063210487366,Contingency,False,"If Mitchell had actually robbed the Troublemaker, he would have become the Troublemaker himself, but he continues to insist he is the Robber."
11827,Gemma 4 31B,run_3,Stochastic,1973,4,if,If,accepted,Contingency.Condition,Contingency,0.6427512764930725,Contingency,False,"If Justin was the Werewolf and was swapped with Mitchell, Mitchell is now the Werewolf."
9015,Gemma 4 31B,run_1,Stochastic,1586,4,if,If,accepted,Contingency.Condition,Contingency,0.6482352614402771,,False,"If Justin was the Werewolf and was swapped with Caitlynn, then Caitlynn is now the Werewolf."
8880,Gemma 4 31B,run_1,Stochastic,1566,3,if,if,accepted,Contingency.Condition,Contingency,0.6487769484519958,Contingency,False,"However, if Ashley is lying and is actually the Werewolf, or if Sukeshi is the Werewolf and was not swapped, Sukeshi remains the primary target."
10160,Gemma 4 31B,run_2,Stochastic,1739,3,if,If,accepted,Contingency.Condition,Contingency,0.6518349647521973,Contingency,False,"If these claims are true, the swap resulted in Sean becoming the Werewolf, making him the correct target for elimination."
10172,Gemma 4 31B,run_2,Stochastic,1741,2,if,If,accepted,Contingency.Condition,Contingency,0.6526668071746826,Contingency,False,"If this information is true, the Werewolf is not among the players."
8615,Gemma 4 31B,run_1,Stochastic,1530,3,if,if,accepted,Contingency.Condition,Contingency,0.654616117477417,Contingency,False,"Therefore, if Ashley was the Werewolf and Elliot swapped with her, Elliot is now the Werewolf."
11415,Gemma 4 31B,run_3,Stochastic,1912,3,if,if,accepted,Contingency.Condition,Contingency,0.654616117477417,Contingency,False,"Therefore, if Ashley was the Werewolf and Elliot swapped with her, Elliot is now the Werewolf."
9666,Gemma 4 31B,run_1,Stochastic,1675,2,if,if,accepted,Contingency.Condition,Contingency,0.6597756743431091,Contingency,False,"Justin claims to be the Troublemaker and states he swapped James and Paul; if James was the starting Werewolf, this swap would make Paul the final Werewolf."
9786,Gemma 4 31B,run_1,Stochastic,1689,4,if,If,accepted,Contingency.Condition,Contingency,0.6635918021202087,Contingency,False,"If these statements are true, Paul remains the Werewolf and voting him out ensures a victory for Team Village."
9963,Gemma 4 31B,run_1,Stochastic,1712,4,if,If,accepted,Contingency.Condition,Contingency,0.6673940420150757,Contingency,False,"If Paul, Mitchell, and James's roles are as claimed (Troublemaker, Insomniac, and Robber), Laura is the only player left who could be the Werewolf, and she is the only one who does not claim a role."
12953,Gemma 4 31B,greedy_t0,Greedy,2122,3,if,If,accepted,Contingency.Condition,Contingency,0.6677971482276917,Contingency,False,"If these claims are true, all four players are aligned with Team Village (or the Tanner), meaning no Werewolf is present among the players."
8354,Gemma 4 4B,greedy_t0,Greedy,1486,3,if,if,accepted,Contingency.Condition,Contingency,0.6722326874732971,Contingency,False,"Since no player was eliminated, the only way Team Village could have won is if there were no Werewolves present in the game."
13308,Gemma 4 31B,greedy_t0,Greedy,2172,3,if,If,accepted,Contingency.Condition,Contingency,0.6749209761619568,Contingency,False,"If James was the Tanner and was swapped with the Seer, James is now the Seer and would logically want to identify the Werewolf, which he does by pointing to Mitchell."
7821,Gemma 4 4B,greedy_t0,Greedy,1402,3,if,if,accepted,Contingency.Condition,Contingency,0.6760709285736084,Contingency,False,"If Dan is telling the truth, he is a valuable ally; if he is lying, he is a Werewolf."
11957,Gemma 4 31B,run_3,Stochastic,1989,2,if,If,accepted,Contingency.Condition,Contingency,0.6767358779907227,Contingency,False,"If these claims are true, no player started as a Werewolf."
12296,Gemma 4 31B,run_3,Stochastic,2032,5,if,If,accepted,Contingency.Condition,Contingency,0.6768455505371094,Contingency,False,"If the claims are true, Paul is the only player who could have ended the night as a Werewolf by swapping with the center, and the other players have collectively converged on this conclusion."
12949,Gemma 4 31B,greedy_t0,Greedy,2121,3,if,If,accepted,Contingency.Condition,Contingency,0.6775873303413391,Contingency,False,"If these claims are true, the Werewolf card was moved from Hunter to Sean, making Sean the current Werewolf."
9306,Gemma 4 31B,run_1,Stochastic,1624,3,if,If,accepted,Contingency.Condition,Contingency,0.6844608783721924,Contingency,False,"If these claims are true, the four players hold the roles of Seer, Robber, Troublemaker, and Drunk, meaning no Werewolf is present among the players."
13257,Gemma 4 31B,greedy_t0,Greedy,2164,4,if,If,accepted,Contingency.Condition,Contingency,0.6875020861625671,Contingency,False,"If Justin was the Werewolf and was swapped with Mitchell, Mitchell is now the Werewolf."
3585,Gemma 4 2B,greedy_t0,Greedy,698,2,if,if,accepted,Contingency.Condition,Contingency,0.6905970573425293,Contingency,False,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they also win, I cannot confidently accuse any player."
10742,Gemma 4 31B,run_2,Stochastic,1819,3,if,If,accepted,Contingency.Condition,Contingency,0.6906456351280212,Contingency,False,"If these claims are true, the Werewolf card was moved from Dylan to Dan, making Dan the current Werewolf."
11840,Gemma 4 31B,run_3,Stochastic,1975,2,if,If,accepted,Contingency.Condition,Contingency,0.690991997718811,Contingency,False,"If this claim is true, no player is a werewolf, and Team Village wins by voting 'No Werewolf'."
12482,Gemma 4 31B,run_3,Stochastic,2057,3,if,If,accepted,Contingency.Condition,Contingency,0.6926621794700623,Contingency,False,"If James was the starting Werewolf and was swapped with Paul, Paul is now the current Werewolf."
10468,Gemma 4 31B,run_2,Stochastic,1784,2,if,If,accepted,Contingency.Condition,Contingency,0.6930834650993347,Contingency,False,"If this claim is true, no player is a werewolf, and Team Village wins by voting 'No Werewolf'."
12082,Gemma 4 31B,run_3,Stochastic,2004,2,if,If,accepted,Contingency.Condition,Contingency,0.6942805647850037,Contingency,False,"If these claims are true, Julie is the only remaining player."
2794,Gemma 4 2B,run_3,Stochastic,549,1,if,if,accepted,Contingency.Condition,Contingency,0.6945472359657288,Contingency,False,"Alana expressed the most suspicious intent by stating that if she wanted to be a werewolf, she would want to stay alive, suggesting a possible alignment with the Werewolf team's goal."
3381,Gemma 4 2B,greedy_t0,Greedy,659,2,if,if,accepted,Contingency.Condition,Contingency,0.696552038192749,Contingency,False,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default, I must conclude that I do not have sufficient evidence to accuse any player."
14109,Gemma 4 31B,greedy_t0,Greedy,2280,3,if,If,accepted,Contingency.Condition,Contingency,0.6966440677642822,Contingency,False,"If both these claims are true, Paul is now the Werewolf."
8743,Gemma 4 31B,run_1,Stochastic,1548,3,if,If,accepted,Contingency.Condition,Contingency,0.6970779895782471,Contingency,False,"If these claims are true, the Werewolf card moved from Hunter to Sean, making Sean the current Werewolf."
9891,Gemma 4 31B,run_1,Stochastic,1703,3,if,If,accepted,Contingency.Condition,Contingency,0.6980427503585815,Contingency,False,"If Paul is the Minion, he is on Team Werewolf and is protecting the actual Werewolf; Justin's joke about being a Werewolf and his attempt to frame Mitchell suggest he is the Copycat who became the Werewolf."
11881,Gemma 4 31B,run_3,Stochastic,1980,2,if,If,accepted,Contingency.Condition,Contingency,0.6981150507926941,Contingency,False,"If this is true, no player is a werewolf."
13076,Gemma 4 31B,greedy_t0,Greedy,2136,2,if,if,accepted,Contingency.Condition,Contingency,0.6986334919929504,Contingency,False,"This is a logical contradiction because the Robber swaps their own card with another player's; if Daniel were the Robber, he would have given the Robber card to Jessica, not found it on her."
11687,Gemma 4 31B,run_3,Stochastic,1951,2,if,if,accepted,Contingency.Condition,Contingency,0.7009643316268921,Contingency,False,"Justin, the Troublemaker, confirmed that he switched Paul and Mitchell but did not switch James, meaning if James was the Werewolf, he remains the Werewolf."
6574,Gemma 4 4B,run_3,Stochastic,1198,4,if,If,accepted,Contingency.Condition,Contingency,0.7012484669685364,Contingency,False,"If James is lying about his role, he is a Werewolf attempting to manipulate the discussion."
11279,Gemma 4 31B,run_2,Stochastic,1894,3,if,if,accepted,Contingency.Condition,Contingency,0.7018789649009705,Contingency,False,"Following the night action order (Seer, then Robber, then Troublemaker), if these claims are true, Mitchell (Seer) saw Tyler (Copycat/Werewolf), Tyler took the Seer card, and James swapped them back, meaning Tyler ended the night as the Werewolf and Mitchell as the Seer."
6473,Gemma 4 4B,run_3,Stochastic,1182,4,if,if,accepted,Contingency.Condition,Contingency,0.7036150097846985,Contingency,False,"However, if forced to choose a player based on the final, failed accusation, Hailey was the most active participant in claiming and passing the Werewolf role."
9452,Gemma 4 31B,run_1,Stochastic,1645,2,if,If,accepted,Contingency.Condition,Contingency,0.7048419117927551,Contingency,False,"If this claim is true, no player is a Werewolf, and Team Village wins if no one is voted out."
11792,Gemma 4 31B,run_3,Stochastic,1968,3,if,If,accepted,Contingency.Condition,Contingency,0.7055859565734863,Contingency,False,"If these claims are true, the Werewolf card was moved from Justin to Caitlynn, making Caitlynn the current Werewolf."
2976,Gemma 4 2B,greedy_t0,Greedy,582,3,if,if,accepted,Contingency.Condition,Contingency,0.7067837715148926,Contingency,False,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default, I cannot confidently accuse any player."
12783,Gemma 4 31B,run_3,Stochastic,2097,3,if,If,accepted,Contingency.Condition,Contingency,0.7074705958366394,Contingency,False,"If Justin is the Tanner, Mitchell's claim that the Tanner is also in the center must be a lie, further suggesting that Mitchell is the Werewolf."
349,Gemma 4 2B,run_1,Stochastic,67,5,if,if,accepted,Contingency.Condition,Contingency,0.708909809589386,Contingency,False,"However, if forced to choose, James is the target of the collective suspicion."
12753,Gemma 4 31B,run_3,Stochastic,2092,3,if,If,accepted,Contingency.Condition,Contingency,0.710777223110199,,False,"If Paul's swap is legitimate and Justin was the starting Werewolf, then Laura is now the Werewolf."
9288,Gemma 4 31B,run_1,Stochastic,1622,4,if,If,accepted,Contingency.Condition,Contingency,0.7112348675727844,Contingency,False,"If these claims are true, all four players hold non-werewolf roles (Drunk, Robber, Troublemaker, and Tanner), meaning the Werewolf and Minion cards are in the center."
12706,Gemma 4 31B,run_3,Stochastic,2086,3,if,if,accepted,Contingency.Condition,Contingency,0.7160080075263977,Contingency,False,"Mitchell's claims to be both the Robber and the Troublemaker are consistent if he robbed Paul, who was the original Troublemaker."
11906,Gemma 4 31B,run_3,Stochastic,1982,2,if,If,accepted,Contingency.Condition,Contingency,0.716272234916687,Contingency,False,"If this information is true, no player can be a werewolf."
12261,Gemma 4 31B,run_3,Stochastic,2027,2,if,If,accepted,Contingency.Condition,Contingency,0.7176666855812073,Contingency,False,"If this claim is true, no player is a werewolf, and Team Village wins if no one is voted out."
12565,Gemma 4 31B,run_3,Stochastic,2068,2,if,if,accepted,Contingency.Condition,Contingency,0.720102071762085,Contingency,False,"Mitchell admits he started as a Werewolf, and if Justin (the Troublemaker) swapped Paul and Mitchell, Paul would now be the Werewolf."
12092,Gemma 4 31B,run_3,Stochastic,2005,3,if,If,accepted,Contingency.Condition,Contingency,0.7203301191329956,,False,"If Justin, Mike, and Julie are their claimed roles and Mitchell is the Tanner, then no player holds the Werewolf card, and the Werewolf cards must be in the center."
8997,Gemma 4 31B,run_1,Stochastic,1582,2,if,If,accepted,Contingency.Condition,Contingency,0.7229137420654297,Contingency,False,"If this chain is truthful, James, Alvin, and Justin are all Team Village."
12598,Gemma 4 31B,run_3,Stochastic,2072,3,if,If,accepted,Contingency.Condition,Contingency,0.7240613102912903,Contingency,False,"If these claims are true, all four players are either Village-aligned or the Tanner, meaning the Werewolf card must be in the center."
9228,Gemma 4 31B,run_1,Stochastic,1614,2,if,If,accepted,Contingency.Condition,Contingency,0.7252076268196106,Contingency,False,"If Justin's claim is true, the Werewolf card was moved from Paul to Mitchell."
7568,Gemma 4 4B,greedy_t0,Greedy,1357,3,if,if,accepted,Contingency.Condition,Contingency,0.7263287305831909,Contingency,False,"Since Team Village wins only if they eliminate a Werewolf, Hunter is the clear target."
11162,Gemma 4 31B,run_2,Stochastic,1878,4,if,if,accepted,Contingency.Condition,Contingency,0.7278427481651306,Contingency,False,"Mike's claim to be the Tanner further supports this, as the Tanner often attempts to attract votes, and if he was swapped with the Werewolf, he would now be the Werewolf while Mitchell became the Tanner."
9341,Gemma 4 31B,run_1,Stochastic,1628,2,if,If,accepted,Contingency.Condition,Contingency,0.7286982536315918,Contingency,False,"If both these claims are true, the Werewolf role was transferred from Dylan to Dan."
10911,Gemma 4 31B,run_2,Stochastic,1845,2,if,if,accepted,Contingency.Condition,Contingency,0.7301132082939148,Contingency,False,"According to the game rules, the Robber swaps their card with another player's card, meaning if Justin had robbed Paul, he would no longer be the Robber."
3033,Gemma 4 2B,greedy_t0,Greedy,594,3,if,if,accepted,Contingency.Condition,Contingency,0.7348912358283997,Contingency,False,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win if no one dies, I conclude that no Werewolf is present."
13953,Gemma 4 31B,greedy_t0,Greedy,2258,4,if,if,accepted,Contingency.Condition,Contingency,0.7351795434951782,Contingency,False,"Paul's behavior—openly inviting votes and suggesting he needs to die—is characteristic of the Tanner, but if he was swapped with a Werewolf, he becomes the target for a Village win."
1766,Gemma 4 2B,run_2,Stochastic,342,4,if,If,accepted,Contingency.Condition,Contingency,0.7353968024253845,Contingency,False,"If Mitchell is indeed the Werewolf, this vote secures Team Village's victory."
12275,Gemma 4 31B,run_3,Stochastic,2030,2,if,If,accepted,Contingency.Condition,Contingency,0.7388896942138672,Contingency,False,"If this claim is true, no player is a Werewolf, and Team Village wins by voting 'No Werewolf'."
10875,Gemma 4 31B,run_2,Stochastic,1839,3,if,if,accepted,Contingency.Condition,Contingency,0.7401131391525269,Contingency,False,"Since the Seer's action occurs before the Drunk's action in the night order, if Mike is telling the truth, Mitchell must have swapped his card for one of the two Werewolf cards in the center, making Mitchell the Werewolf."
4309,Gemma 4 4B,run_1,Stochastic,829,3,if,if,accepted,Contingency.Condition,Contingency,0.7449491620063782,Contingency,False,"Conversely, if he is telling the truth, voting him out would cause Team Village to lose."
10298,Gemma 4 31B,run_2,Stochastic,1759,2,if,If,accepted,Contingency.Condition,Contingency,0.7451034188270569,Contingency,False,"If these claims are true, no one is a Werewolf."
8227,Gemma 4 4B,greedy_t0,Greedy,1465,2,if,if,accepted,Contingency.Condition,Contingency,0.745216965675354,Contingency,False,"Paul explicitly states in line [61] that if he switched himself and Mitchell, Mitchell is now the Werewolf."
10992,Gemma 4 31B,run_2,Stochastic,1855,3,if,If,accepted,Contingency.Condition,Contingency,0.7508703470230103,Contingency,False,"If Chris was the Werewolf and was switched with Mike, Mike is now the Werewolf."
8839,Gemma 4 31B,run_1,Stochastic,1561,1,if,if,accepted,Contingency.Condition,Contingency,0.7518851161003113,Contingency,False,Daniel's claim of being both the Seer and the Insomniac is possible if his card was swapped during the night.
8393,Gemma 4 4B,greedy_t0,Greedy,1493,2,if,if,accepted,Contingency.Condition,Contingency,0.7555654644966125,Contingency,False,"Since Team Village wins only if they eliminate a Werewolf, Mike is the clear target."
9065,Gemma 4 31B,run_1,Stochastic,1593,2,if,If,accepted,Contingency.Condition,Contingency,0.7581096887588501,Contingency,False,"If this is true, no player is a Werewolf, and Team Village wins by voting 'No Werewolf'."
13880,Gemma 4 31B,greedy_t0,Greedy,2249,3,if,If,accepted,Contingency.Condition,Contingency,0.7599756121635437,Contingency,False,"If Paul robbed James while James was a Werewolf, Paul is now the Werewolf."
9558,Gemma 4 31B,run_1,Stochastic,1660,3,if,if,accepted,Contingency.Condition,Contingency,0.7638472318649292,Contingency,False,"This scenario is consistent if Mitchell was the starting Werewolf and was swapped with Mike (the starting Hunter), making Mike the final Werewolf and explaining why Mike would bluff as the Hunter."
10889,Gemma 4 31B,run_2,Stochastic,1841,4,if,If,accepted,Contingency.Condition,Contingency,0.7646093368530273,Contingency,False,"If these claims are true, no player is a Werewolf, and the only Werewolf is in the center."
11544,Gemma 4 31B,run_3,Stochastic,1930,3,if,if,accepted,Contingency.Condition,Contingency,0.767167329788208,Contingency,False,"Consequently, if these claims are true, Sean currently holds the Werewolf card and must be eliminated for Team Village to win."
10418,Gemma 4 31B,run_2,Stochastic,1777,4,if,If,accepted,Contingency.Condition,Contingency,0.7728089094161987,,False,"If Justin was the starting Werewolf and was swapped with Caitlynn, then Caitlynn is the current Werewolf."
2333,Gemma 4 2B,run_3,Stochastic,455,3,if,if,accepted,Contingency.Condition,Contingency,0.7730309367179871,Contingency,False,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default, I cannot confidently accuse anyone of being the Werewolf."
12346,Gemma 4 31B,run_3,Stochastic,2039,3,if,If,accepted,Contingency.Condition,Contingency,0.7773079872131348,,False,"If Paul's claim is truthful, then no player currently holds a werewolf card, meaning Team Village wins by voting 'No Werewolf'."
10576,Gemma 4 31B,run_2,Stochastic,1798,3,if,If,accepted,Contingency.Condition,Contingency,0.7815642952919006,Contingency,False,"If these claims are true, it means all Werewolf cards are in the center, and no player is currently a Werewolf."
12972,Gemma 4 31B,greedy_t0,Greedy,2124,2,if,If,accepted,Contingency.Condition,Contingency,0.782758891582489,Contingency,False,"If both are telling the truth, Sean is now the Werewolf."
