marker,model,provisional_category,possible_categories,category_scores,dominance_share,exact_tie,is_discontinuous,total_occurrences,n_justifications_with_marker,pct_justifications_with_marker,occurrences_per_100_words
rather,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 13 | Comparison: 4,0.7647058823529411,False,False,20,20,2.6178010471204187,0.040324206621234725
indeed,Gemma 4 2B,Expansion,Expansion | Contingency | Comparison,Expansion: 99 | Contingency: 4 | Comparison: 1,0.9519230769230769,False,False,18,18,2.356020942408377,0.036291785959111256
when,Gemma 4 2B,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 793 | Contingency: 182 | Comparison: 12 | Expansion: 2,0.8018200202224469,False,False,11,11,1.4397905759162304,0.0221783136416791
after,Gemma 4 2B,Temporal,Temporal | Comparison,Temporal: 575 | Comparison: 2,0.9965337954939342,False,False,10,10,1.3089005235602094,0.020162103310617362
then,Gemma 4 2B,Temporal,Temporal | Expansion | Contingency | Comparison,Temporal: 317 | Expansion: 14 | Contingency: 6 | Comparison: 3,0.9323529411764706,False,False,9,9,1.1780104712041886,0.018145892979555628
still,Gemma 4 2B,Comparison,Comparison | Temporal,Comparison: 187 | Temporal: 3,0.9842105263157894,False,False,7,7,0.9162303664921465,0.014113472317432155
without,Gemma 4 2B,Contingency,Contingency | Expansion,Contingency: 2 | Expansion: 1,0.6666666666666666,False,False,6,6,0.7853403141361256,0.012097261986370417
nor,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 30 | Comparison: 1,0.967741935483871,False,False,4,4,0.5235602094240838,0.008064841324246945
yet,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 98 | Expansion: 3,0.9702970297029703,False,False,3,3,0.3926701570680628,0.006048630993185209
as long as,Gemma 4 2B,Contingency,Contingency | Temporal,Contingency: 16 | Temporal: 8,0.6666666666666666,False,False,1,1,0.13089005235602094,0.0020162103310617362
earlier,Gemma 4 2B,Temporal,Temporal | Comparison,Temporal: 14 | Comparison: 1,0.9333333333333333,False,False,1,1,0.13089005235602094,0.0020162103310617362
finally,Gemma 4 2B,Expansion,Expansion | Temporal,Expansion: 20 | Temporal: 12,0.625,False,False,1,1,0.13089005235602094,0.0020162103310617362
at the same time,Gemma 4 2B,Comparison,Comparison | Expansion | Temporal,Comparison: 1 | Expansion: 1 | Temporal: 1,0.3333333333333333,True,False,0,0,0.0,0.0
after all,Gemma 4 2B,Contingency,Contingency | Expansion,Contingency: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
on the other hand,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 36 | Expansion: 1,0.972972972972973,False,False,0,0,0.0,0.0
as though,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 3 | Expansion: 2,0.6,False,False,0,0,0.0,0.0
by the way,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
instead of,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
much as,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 3 | Expansion: 3,0.5,True,False,0,0,0.0,0.0
nonetheless,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 26 | Expansion: 1,0.9629629629629629,False,False,0,0,0.0,0.0
lest,Gemma 4 2B,Contingency,Contingency | Expansion,Contingency: 1 | Expansion: 1,0.5,True,False,0,0,0.0,0.0
instead,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 109 | Comparison: 3,0.9732142857142857,False,False,0,0,0.0,0.0
in fact,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 76 | Comparison: 6,0.926829268292683,False,False,0,0,0.0,0.0
neither nor,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 2 | Comparison: 1,0.6666666666666666,False,True,0,0,0.0,0.0
as if,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 11 | Comparison: 5,0.6875,False,False,0,0,0.0,0.0
now that,Gemma 4 2B,Contingency,Contingency | Temporal,Contingency: 15 | Temporal: 7,0.6818181818181818,False,False,0,0,0.0,0.0
besides,Gemma 4 2B,Expansion,Expansion | Comparison,Expansion: 18 | Comparison: 1,0.9473684210526315,False,False,0,0,0.0,0.0
in the end,Gemma 4 2B,Expansion,Expansion | Comparison | Contingency | Temporal,Expansion: 5 | Comparison: 2 | Contingency: 1 | Temporal: 1,0.5555555555555556,False,False,0,0,0.0,0.0
meantime,Gemma 4 2B,Temporal,Temporal | Expansion,Temporal: 13 | Expansion: 2,0.8666666666666667,False,False,0,0,0.0,0.0
in turn,Gemma 4 2B,Temporal,Temporal | Expansion | Contingency,Temporal: 19 | Expansion: 8 | Contingency: 3,0.6333333333333333,False,False,0,0,0.0,0.0
unless,Gemma 4 2B,Expansion,Expansion | Contingency,Expansion: 94 | Contingency: 1,0.9894736842105263,False,False,0,0,0.0,0.0
meanwhile,Gemma 4 2B,Temporal,Temporal | Expansion | Comparison,Temporal: 94 | Expansion: 70 | Comparison: 29,0.48704663212435234,False,False,0,0,0.0,0.0
previously,Gemma 4 2B,Temporal,Temporal | Comparison,Temporal: 47 | Comparison: 2,0.9591836734693877,False,False,0,0,0.0,0.0
once,Gemma 4 2B,Temporal,Temporal | Contingency,Temporal: 80 | Contingency: 4,0.9523809523809523,False,False,0,0,0.0,0.0
next,Gemma 4 2B,Temporal,Temporal | Expansion,Temporal: 6 | Expansion: 1,0.8571428571428571,False,False,0,0,0.0,0.0
until,Gemma 4 2B,Temporal,Temporal | Contingency | Expansion,Temporal: 141 | Contingency: 18 | Expansion: 3,0.8703703703703703,False,False,0,0,0.0,0.0
