model,game_id,run_label,sentence_id,target_sentence,justification_text,vote,voted_player_end_role,is_correct,semantic_categories,evidence_spans,discourse_senses,connective_surfaces,n_relations_in_sentence
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,run_2,2,"According to the game rules, the Robber swaps their card with another player's card, meaning if Justin had robbed Paul, he would no longer be the Robber.","Justin claims to be the Robber and asserts that he robbed Paul. According to the game rules, the Robber swaps their card with another player's card, meaning if Justin had robbed Paul, he would no longer be the Robber. Furthermore, Mitchell claims to be the Seer and saw the Robber card in the center, which would mean no player is the Robber. Justin's logically impossible claim and his attempts to manipulate the narrative make him the most likely Werewolf.",Justin,Werewolf,True,Mechanical,"the Robber swaps their card with another player's card, meaning if Justin had robbed Paul, he would no longer be the Robber",Contingency.Condition,if,1
Gemma 4 31B,Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,run_3,3,"If the Werewolf card is in the center, then no player is a Werewolf, and Team Village wins by voting for 'No Werewolf'.","Laura claims to be the Seer and states that she saw a werewolf in the center (Lines 133, 139). In a 5-player game, it is highly probable that only one Werewolf card is in play. If the Werewolf card is in the center, then no player is a Werewolf, and Team Village wins by voting for 'No Werewolf'.",No Werewolf,,False,Mechanical | Payoff,"If the Werewolf card is in the center, then no player is a Werewolf | Team Village wins by voting for 'No Werewolf'",Contingency.Condition | Contingency.Condition | Expansion.Conjunction,If then | If | and,3
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,run_3,4,"If Justin was the Werewolf and was swapped with Mitchell, Mitchell is now the Werewolf.","Justin claims to be the Seer and identifies Mitchell as a werewolf, but later contradicts himself by claiming he saw two villagers in the center; a Seer can only perform one of these actions. Dan also claims to be the Seer and provides a consistent account of seeing Caitlynn (the Troublemaker) move. Caitlynn confirms she swapped Justin and Mitchell. If Justin was the Werewolf and was swapped with Mitchell, Mitchell is now the Werewolf. If Justin was the Seer and Mitchell was the Werewolf, and they were swapped, Justin would now be the Werewolf, but Justin's contradictory claims make it more likely he was the original Werewolf.",Mitchell,Tanner,False,Mechanical,"If Justin was the Werewolf and was swapped with Mitchell, Mitchell is now the Werewolf",Contingency.Condition,If,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,run_1,3,"This leaves Caitlynn as the most likely candidate for the Drunk role; if two werewolf cards were in the center, the Drunk has a 66% chance of swapping into a werewolf.","Justin claims to be the Minion and states he saw no werewolves, which Mike (claiming Seer) confirms. Mitchell claims to be the Robber and stole from James. This leaves Caitlynn as the most likely candidate for the Drunk role; if two werewolf cards were in the center, the Drunk has a 66% chance of swapping into a werewolf. The players collectively conclude that Caitlynn is the most probable werewolf based on this logic.",Caitlynn,Insomniac,False,Mechanical,"if two werewolf cards were in the center, the Drunk has a 66% chance of swapping into a werewolf",Contingency.Condition,if,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,run_3,2,"If this information is true, no player can be a werewolf.","James claims to be the Seer and explicitly states that there are two werewolves in the center. If this information is true, no player can be a werewolf. The other players' claims (Justin as Troublemaker and Mitchell as Insomniac) are consistent with this, and Mike's behavior of voting for himself is characteristic of the Tanner. Therefore, it is most likely that no werewolf is present among the players.",No Werewolf,,True,Mechanical,no player can be a werewolf,Contingency.Condition,If,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,run_2,3,"If James was the Seer and Paul was the Werewolf, the swap would make James the Werewolf and Paul the Seer, which aligns with both of their claims (James was the Seer, Paul is now the Seer).","James claims he was the Seer, and Paul claims he is currently the Seer. Mitchell, the Troublemaker, confirms he swapped James and Paul. If James was the Seer and Paul was the Werewolf, the swap would make James the Werewolf and Paul the Seer, which aligns with both of their claims (James was the Seer, Paul is now the Seer). Justin's inconsistent claims and James's observation suggest Justin is the Tanner, leaving James as the most likely Werewolf after the swap.",James,Seer,False,Mechanical | Testimony,"the swap would make James the Werewolf and Paul the Seer | James was the Seer, Paul is now the Seer",Contingency.Condition | Expansion.Conjunction,If | and,2
Gemma 4 31B,Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,run_2,2,"If both these claims are true, Laura currently holds the Werewolf card.","Justin admits to starting as a Werewolf, and Paul claims to be the Troublemaker who swapped Justin's card with Laura's. If both these claims are true, Laura currently holds the Werewolf card. While Justin's behavior is erratic (initially claiming to be the Seer), the combination of his admission and Paul's swap makes Laura the most likely target for Team Village.",Laura,Werewolf,True,Testimony | Mechanical,both these claims | Laura currently holds the Werewolf card,Contingency.Condition,If,1
Gemma 4 31B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,run_1,2,"Ashley claims to be the Troublemaker and says she swapped Sukeshi and Elliot; if this is true and Sukeshi was the Werewolf, Elliot would now be the Werewolf.","Sukeshi repeatedly claims to be the werewolf, which is characteristic of either a Tanner or a Werewolf attempting a reverse-psychology bluff. Ashley claims to be the Troublemaker and says she swapped Sukeshi and Elliot; if this is true and Sukeshi was the Werewolf, Elliot would now be the Werewolf. However, if Ashley is lying and is actually the Werewolf, or if Sukeshi is the Werewolf and was not swapped, Sukeshi remains the primary target. Given the overt nature of Sukeshi's claims and the lack of verification for Ashley's role, Sukeshi is the most likely candidate for elimination to secure a Village win.",Sukeshi,Werewolf,True,Testimony | Mechanical,"Ashley claims to be the Troublemaker and says she swapped Sukeshi and Elliot | if this is true and Sukeshi was the Werewolf, Elliot would now be the Werewolf",Contingency.Condition | Expansion.Conjunction,if | and,2
Gemma 4 31B,Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,run_1,2,"If both these claims are true, the Werewolf role was transferred from Dylan to Dan.","Dylan admitted to being the Werewolf ('I was the werewolf'), and Brett claimed to be the Troublemaker who swapped Dylan and Dan. If both these claims are true, the Werewolf role was transferred from Dylan to Dan. While Dylan's behavior is erratic and contradictory, the most logical deduction based on the provided claims is that Dan is currently the Werewolf.",Dan,Werewolf,True,Mechanical,the Werewolf role was transferred from Dylan to Dan,Contingency.Condition,If,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,run_1,2,"A hundred percent') and acknowledges that if Justin (the Troublemaker) did not perform a switch, he remains the Werewolf.","Paul explicitly admits to starting as a Werewolf ('I was a werewolf. A hundred percent') and acknowledges that if Justin (the Troublemaker) did not perform a switch, he remains the Werewolf. Mitchell, claiming to be the Seer, also identifies Paul as a Werewolf. Justin confirms he did not switch any players, which leaves Paul as the most likely Werewolf.",Paul,Werewolf,True,Mechanical,"if Justin (the Troublemaker) did not perform a switch, he remains the Werewolf",Contingency.Condition,if,1
