justification_id,sentence_id,annotation_index,category,use,evidence_span,verdict,corrected_category,corrected_use,note
2B__Youtube__One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf__Game1__run_1,1,0,Testimony,,"Pete explicitly claimed to be the Werewolf early in the discussion, and later, he asserted that Brett and Katie were wolves.",ok,,,
2B__Youtube__One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf__Game1__run_1,2,0,Uncertainty,,evidence is circumstantial due to potential role swaps,ok,,,
2B__Youtube__One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf__Game1__run_1,2,1,Testimony,,self-identifies as the Werewolf,ok,,,
2B__Youtube__One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf__Game1__run_1,2,2,Payoff,,win condition of eliminating a Werewolf,ok,,,
2B__Youtube__One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf__Game1__run_1,3,0,Payoff,,maximizes the chance of Team Village succeeding,ok,,,
2B__Youtube__Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10__Game4__greedy_t0,1,0,SocialJudgment,,Justin directly accuses James of being the Werewolf,ok,,,
2B__Youtube__Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10__Game4__greedy_t0,3,0,Uncertainty,,the transcript is highly confusing due to card swaps and conflicting claims about roles like Tanner and Seer,ok,,,
2B__Youtube__Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10__Game4__greedy_t0,3,1,SocialJudgment,,this is the only direct accusation of a Werewolf present,ok,,,
2B__Youtube__Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10__Game4__greedy_t0,4,0,Payoff,,To maximize the chances of Team Village winning,ok,,,
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,1,0,Testimony,,"she first claims to be the Seer, then later explicitly states, 'actually I was a fucking werewolf.'",ok,,,
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,1,1,ClaimComparison,,Sukeshi's claims are highly contradictory,ok,,,
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,2,0,Testimony,,Ashley's admission that she is no longer the Minion and Chris's claim to have swapped Ashley and Sian,ok,,,
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,2,1,Payoff,,the goal of Team Village is to eliminate a Werewolf,ok,,,
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,3,0,Testimony,,Sukeshi's admission,ok,,,
31B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_2,1,0,Testimony,,Sean claims to be the Troublemaker and states he swapped the cards of two other players.,ok,,,
31B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_2,2,0,Mechanical,,"because of this swap, Zack is now the Werewolf",ok,,,
31B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_2,2,1,SocialJudgment,,"Hunter, who likely started as the Werewolf, concludes that because of this swap, Zack is now the Werewolf.",ok,,,
31B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_2,3,0,Testimony,,Zack accepts this conclusion,ok,,,
31B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_2,3,1,SocialJudgment,,the group reaches a consensus that Zack is the target,ok,,,
31B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_2,4,0,Mechanical,,"if Sean (Troublemaker) swapped Zack (Robber) and Hunter (Werewolf), Zack is now the Werewolf",ok,,,
31B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game10__run_1,1,0,Testimony,,Kaelan and Jessica both claim to be Villagers.,ok,,,
31B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game10__run_1,2,0,SocialJudgment,,Daniel briefly suggests Kaelan might be the Tanner or the Werewolf,ok,,,
31B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game8__run_2,1,0,Testimony,,Kevin claims to be the Seer and confirms that Jessica is the Minion,ok,,,
31B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game8__run_2,2,0,Testimony,,Jessica admits to being the Minion and explicitly states that she does not see any Werewolves among the players,ok,,,
31B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game8__run_2,3,0,Mechanical,,the Minion has perfect information regarding the presence of Werewolves,ok,,,
31B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game8__run_2,3,1,Testimony,,her claim that the Werewolf is in the middle,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,1,0,Behavioral,,repeatedly begging the group to vote him out,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,2,0,Behavioral,,Mitchell's behavior is highly suspicious,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,2,1,Testimony,,"he twice admits to being the Werewolf ('I absolutely know I was', 'I was the Werewolf')",ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,2,2,Behavioral,,abruptly attempting to divert the vote toward James,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,3,0,Payoff,,voting him out would result in a loss for Team Village,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,3,1,Payoff,,voting out Mitchell—who is acting as a deflective Werewolf—would secure a victory,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,3,2,Behavioral,,acting as a deflective Werewolf,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game2__run_1,1,0,Behavioral,,Mike is the only player who did not claim a role,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game2__run_1,2,0,Behavioral,,Mike supports a 'vote left' strategy,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game2__run_1,2,1,Payoff,,guarantees a win for Team Werewolf if a Werewolf is present,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game2__run_1,3,0,Behavioral,,the lack of a role claim and his alignment with a strategy that avoids elimination,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game6__run_2,1,0,Testimony,,Dan claims to be the Seer and identifies Justin as a Villager and Mike as the Robber,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game6__run_2,2,0,Testimony,,"Caitlynn, claiming to be the Troublemaker, states she swapped Justin and Mitchell",ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game6__run_2,3,0,Mechanical,,"after the swap, Justin became the Werewolf",ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game6__run_2,4,0,Testimony,,claiming both to have seen Mitchell as a werewolf and to have seen two villagers in the center,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game6__run_2,4,1,ClaimComparison,,Justin's own claims are contradictory,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game6__run_2,4,2,Behavioral,,lying to divert suspicion,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016__Game2__run_3,1,0,Testimony,,Mitchell admits to being the starting Werewolf ('I was the werewolf'),ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016__Game2__run_3,2,0,Testimony,,Mike claims to have been the Troublemaker and switched the cards of Caitlynn and Mitchell,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016__Game2__run_3,3,0,Mechanical,,"the Werewolf card moved from Mitchell to Caitlynn, making Caitlynn the final Werewolf",ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016__Game2__run_3,4,0,Testimony,,"Caitlynn acknowledges this logic ('So I'm the werewolf, fucking kill me')",ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016__Game2__run_3,4,1,SocialJudgment,,the other players conclude that she is the target for the vote,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game2__run_1,1,0,Testimony,,Caitlynn claims to be the Seer and states that the information she saw in the center points to Alana being the Werewolf,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game2__run_1,2,0,Testimony,,Mitchell and Mike both claim the Robber and Troublemaker roles,ok,,,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game2__run_1,3,0,SocialJudgment,,the group consensus converges on Alana as the target for elimination,ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,1,0,Testimony,,Brett claims to be the Seer and identifies Pete as the Robber,ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,1,1,ClaimComparison,,a claim Pete initially confirms,ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,2,0,ClaimComparison,,"Katie's claims are highly inconsistent: she first claims to be the Seer and asserts that two werewolves are in the center (a common Werewolf bluff to discourage voting), and later claims to be the Tanner",ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,2,1,Testimony,,she first claims to be the Seer and asserts that two werewolves are in the center,ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,2,2,Behavioral,,a common Werewolf bluff to discourage voting,ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,3,0,ClaimComparison,,Brett's information supports Pete's role as the Robber,ok,,,
31B__Youtube__One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf__Game1__run_1,3,1,Behavioral,,using the Tanner claim as a final attempt to avoid elimination,ok,,,
4B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game1__run_1,1,0,Testimony,,she is the only player who explicitly stated in the transcript that she was the Werewolf,ok,,,
4B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game1__run_1,2,0,Mechanical,,roles can change due to abilities like Doppelganger or Robber,ok,,,
4B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game1__run_1,2,1,Testimony,,her initial admission,ok,,,
4B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game1__run_1,3,0,Payoff,,To ensure Team Village wins,ok,,,
4B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game1__run_1,4,0,Payoff,,Eliminating her would fulfill the win condition for Team Village,ok,,,
4B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,1,0,Behavioral,,inconsistent and suspicious behavior throughout the discussion,ok,,,
4B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,2,0,Testimony,,"He initially claims to be a Villager, then claims to be the Tanner, and later admits to potentially being a Werewolf because of a Drunk role swap",ok,,,
4B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,2,1,ClaimComparison,,"He initially claims to be a Villager, then claims to be the Tanner, and later admits to potentially being a Werewolf",ok,,,
4B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,3,0,Behavioral,,pattern of role shifting and self-incrimination is highly indicative of a Werewolf attempting to sow confusion,ok,,,
4B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,3,1,ClaimComparison,,pattern of role shifting,ok,,,
4B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,4,0,Payoff,,Voting him out maximizes the chance of eliminating a threat to Team Village,ok,,,
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_2,1,0,Behavioral,,making the sweeping claim that 'Everyone else is a Werewolf',ok,,,
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_2,2,0,Behavioral,,a common tactic used by Werewolves to sow chaos,ok,,,
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_2,3,0,Behavioral,,Tyler is evasive about his supposed Seer knowledge,ok,,,
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_2,3,1,Behavioral,,Clint's aggressive and generalized attack on the entire group,ok,,,
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_2,4,0,SocialJudgment,,Erin's later analysis of the role swaps leads to the conclusion that Clint is the likely Werewolf,ok,,,
4B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_2,1,0,SocialJudgment,,Paul explicitly states that his only current suspicion regarding a Werewolf is Laura,ok,,,
4B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_2,2,0,Behavioral,,Justin displays suspicious behavior and evasiveness regarding his actions,ok,,,
4B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_2,2,1,SocialJudgment,,Laura's role as a Villager is repeatedly challenged by Paul's past observations,ok,,,
4B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_2,3,0,Uncertainty,,high level of role confusion and conflicting claims,ok,,,
4B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_2,3,1,SocialJudgment,,the player identified by a key investigator (Paul),ok,,,
4B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_2,4,0,Payoff,,secure a Village victory,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,1,0,SocialJudgment,,consistently presented as the primary suspect by Alvin and James,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,2,0,Testimony,,Justin claims to be a Villager/Robber,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,2,1,Uncertainty,,lacks definitive verification,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,2,2,Behavioral,,making him an easy target for Werewolves to frame,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,3,0,Testimony,,"Alvin and James, who claim to be the Seer and Hunter respectively",ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,3,1,SocialJudgment,,argue that Justin is the most likely Werewolf,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_3,4,0,SocialJudgment,,strongest prevailing suspicion in the public discussion,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016__Game2__run_3,1,0,SocialJudgment,,strong and consistent focus on Mike as the primary suspect,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016__Game2__run_3,2,0,SocialJudgment,,explicitly state their confidence that Mike is the Werewolf,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016__Game2__run_3,3,0,SocialJudgment,,the collective suspicion and repeated calls to eliminate Mike,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016__Game2__run_3,3,1,Payoff,,to maximize their chances of winning,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016__Game2__run_3,4,0,Payoff,,aligns with the goal of removing a Werewolf,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game1__greedy_t0,1,0,Testimony,,"Mike and Justin, who both claimed to have information roles (Revealer/Seer)",ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game1__greedy_t0,2,0,Testimony,,Mike specifically stated that he looked at Mitchell's card and saw a Werewolf,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game1__greedy_t0,2,1,ClaimComparison,,Justin supported this claim,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game1__greedy_t0,3,0,SocialJudgment,,accusation from two players,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game1__greedy_t0,3,1,ClaimComparison,,consistent accusation from two players,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game1__greedy_t0,4,0,Payoff,,Team Village needs to eliminate a Werewolf,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game4__greedy_t0,1,0,Testimony,,stating he was the Seer and saw two of them,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game4__greedy_t0,2,0,Payoff,,Team Village needing to eliminate a Werewolf,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game4__greedy_t0,3,0,Behavioral,,"Justin and Mitchell were defensive or passive, and Mike remained silent",ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game4__run_1,1,0,Behavioral,,"openly discussing the possibility that she might be a Werewolf, stating a 50/50 chance",ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game4__run_1,2,0,Behavioral,,self-doubt and deflection is often used by a Werewolf or Tanner,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game4__run_1,3,0,Testimony,,Mitchell is openly admitting to being the Troublemaker,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game4__run_1,3,1,Behavioral,,Caitlynn's attempt to introduce doubt about her own alignment,ok,,,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016__Game4__run_1,4,0,Behavioral,,her erratic and self-incriminating statements,ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,1,0,SocialJudgment,,"strong consensus among several players (Audrey, Katie, and Dan) that Brett is the most likely Werewolf",ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,2,0,SocialJudgment,,leading them to target him specifically,ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,3,0,Testimony,,claiming to be the Mason,ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,3,1,Behavioral,,his persistent resistance,ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,3,2,SocialJudgment,,the focus of the accusations,ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,4,0,Payoff,,To ensure Team Village wins,ok,,,
4B__Youtube__One#Night#Ultimate#Werewolf#3#Insomniac__Game1__run_1,4,1,SocialJudgment,,the majority of the Village-aligned players have identified as the threat,ok,,,
