game_id,actual_human_available,actual_human_vote_type,actual_human_targets,actual_human_target_names,actual_human_win,n_village_aligned_votes,village_vote_counts,village_top_targets,village_top_target_names,village_top_share,village_vote_entropy,village_modal_correct,llm_vote_entropy,llm_top_share,agreement_type,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,greedy_vote,greedy_correct,human_llm_outcome_bucket,same_wrong_candidate
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,True,player,[4],"[""Mitchell""]",False,3,"{""Mitchell"": 3}",[4],"[""Mitchell""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Mitchell,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,True,player,[4],"[""Mitchell""]",False,4,"{""Mitchell"": 4}",[4],"[""Mitchell""]",1.0,-0.0,False,-0.0,1.0,unanimous,Caitlynn,True,False,Mitchell,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,False,,[],[],,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,missing_or_no_majority,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,True,player,[2],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Justin"": 1}",[2],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,No Werewolf,True,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,True,circle,[],[],True,3,"{""Paul"": 1, ""Mitchell"": 1, ""Justin"": 1}","[1, 2, 0]","[""Paul"", ""Mitchell"", ""Justin""]",0.3333333333333333,1.0986122886681096,False,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,False,Justin,False,human_win_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,False,,[],[],,3,"{""Mike"": 3}",[5],"[""Mike""]",1.0,-0.0,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,missing_or_no_majority,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,True,player,[1],"[""Mitchell""]",False,4,"{""Mitchell"": 3, ""Mike"": 1}",[1],"[""Mitchell""]",0.75,0.5623351446188083,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,No Werewolf,True,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,True,player,"[1, 0]","[""Julie"", ""Justin""]",False,1,"{""Julie"": 1}",[1],"[""Julie""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,False,Julie,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,True,player,[0],"[""Justin""]",False,2,"{""Julie"": 1, ""Justin"": 1}","[1, 0]","[""Julie"", ""Justin""]",0.5,0.6931471805599453,False,-0.0,1.0,unanimous,No Werewolf,True,False,No Werewolf,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,True,player,[1],"[""Mitchell""]",False,1,"{""Justin"": 1}",[0],"[""Justin""]",1.0,-0.0,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,True,player,[2],"[""Paul""]",False,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mike,True,False,Mike,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,True,player,[5],"[""Mike""]",False,3,"{""Mitchell"": 1, ""Mike"": 1, ""Paul"": 1}","[4, 5, 2]","[""Mitchell"", ""Mike"", ""Paul""]",0.3333333333333333,1.0986122886681096,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mike,True,False,Mike,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,True,player,[5],"[""Mike""]",False,3,"{""Mike"": 2, ""Paul"": 1}",[5],"[""Mike""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,True,player,[3],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Carly"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,True,player,[4],"[""Mike""]",False,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,True,player,[1],"[""Paul""]",False,3,"{""Paul"": 3}",[1],"[""Paul""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,False,Paul,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,True,circle,[],[],True,3,"{""Mitchell"": 1, ""Paul"": 1, ""Mike"": 1}","[1, 2, 3]","[""Mitchell"", ""Paul"", ""Mike""]",0.3333333333333333,1.0986122886681096,False,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,False,Paul,False,human_win_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,True,player,[1],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Mike"": 1}",[1],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,True,player,[3],"[""Mike""]",False,3,"{""Mike"": 2, ""Mitchell"": 1}",[3],"[""Mike""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Mitchell,False,human_lose_llm_lose,False
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,True,player,[0],"[""Pete""]",False,3,"{""Brett"": 1, ""Pete"": 2}",[0],"[""Pete""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Pete,True,False,Pete,False,human_lose_llm_lose,True
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,True,player,[0],"[""Pete""]",False,3,"{""Pete"": 2, ""Katie"": 1}",[0],"[""Pete""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Katie,True,False,Dustin,False,human_lose_llm_lose,False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,True,player,[1],"[""Katie""]",False,2,"{""Katie"": 2}",[1],"[""Katie""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,False,No Werewolf,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,True,player,[3],"[""Mike""]",False,3,"{""Mike"": 2, ""Mitchell"": 1}",[3],"[""Mike""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,human_lose_llm_lose,True
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,True,player,[2],"[""Brett""]",False,2,"{""Brett"": 2}",[2],"[""Brett""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Katie,True,False,Katie,False,human_lose_llm_lose,False
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,True,player,[3],"[""DeAndre""]",False,2,"{""DeAndre"": 2}",[3],"[""DeAndre""]",1.0,-0.0,False,-0.0,1.0,unanimous,DeAndre,True,False,DeAndre,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,True,player,[2],"[""Paul""]",False,2,"{""Paul"": 1, ""Mitchell"": 1}","[2, 3]","[""Paul"", ""Mitchell""]",0.5,0.6931471805599453,False,0.6365141682948128,0.6666666666666666,two_vs_one,Justin,True,False,James,True,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,True,player,[0],"[""Caitlynn""]",False,2,"{""Caitlynn"": 2}",[0],"[""Caitlynn""]",1.0,-0.0,False,-0.0,1.0,unanimous,Caitlynn,True,False,Caitlynn,False,human_lose_llm_lose,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,True,player,[3],"[""Mitchell""]",False,4,"{""Mitchell"": 3, ""Justin"": 1}",[3],"[""Mitchell""]",0.75,0.5623351446188083,False,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_lose_llm_lose,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,True,player,[1],"[""Eric""]",False,2,"{""Mitchell"": 1, ""Eric"": 1}","[3, 1]","[""Mitchell"", ""Eric""]",0.5,0.6931471805599453,False,-0.0,1.0,unanimous,Eric,True,False,Eric,False,human_lose_llm_lose,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,True,player,[3],"[""James""]",False,3,"{""James"": 3}",[3],"[""James""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,False,Paul,False,human_lose_llm_lose,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,True,player,[0],"[""Justin""]",False,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose,True
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,False,,[],[],,3,"{""Jack"": 2, ""Sebastian"": 1}",[2],"[""Jack""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Erin,True,False,Brent,True,missing_or_no_majority,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,True,player,"[1, 5]","[""Ashley"", ""Sian""]",True,3,"{""Sian"": 2, ""Chris"": 1}",[5],"[""Sian""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Elliot,True,False,Elliot,False,human_win_llm_lose,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,True,player,[1],"[""Ashley""]",False,4,"{""James"": 1, ""Elliot"": 1, ""Sian"": 1, ""Ashley"": 1}","[2, 0, 5, 1]","[""James"", ""Elliot"", ""Sian"", ""Ashley""]",0.25,1.3862943611198906,False,-0.0,1.0,unanimous,Sukeshi,True,False,Sukeshi,False,human_lose_llm_lose,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,True,player,[1],"[""Ashley""]",False,3,"{""Ashley"": 3}",[1],"[""Ashley""]",1.0,-0.0,False,-0.0,1.0,unanimous,Sian,True,False,Sian,False,human_lose_llm_lose,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,True,player,[0],"[""Elliot""]",False,5,"{""Elliot"": 3, ""Sukeshi"": 2}",[0],"[""Elliot""]",0.6,0.6730116670092565,False,0.6365141682948128,0.6666666666666666,two_vs_one,James,True,False,Sian,False,human_lose_llm_lose,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,True,player,[2],"[""Erin""]",False,3,"{""Margaret"": 1, ""Erin"": 2}",[2],"[""Erin""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Erin,True,False,Clint,True,human_lose_llm_lose,True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,True,player,[1],"[""Sean""]",False,3,"{""Jacob"": 1, ""Sean"": 2}",[1],"[""Sean""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Sean,True,False,Sean,False,human_lose_llm_lose,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,False,,[],[],,2,"{""Jessica"": 1, ""Daniel"": 1}","[2, 3]","[""Jessica"", ""Daniel""]",0.5,0.6931471805599453,False,0.6365141682948128,0.6666666666666666,two_vs_one,Kevin,True,False,Daniel,False,missing_or_no_majority,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,False,,[],[],,1,"{""Kaelan"": 1}",[1],"[""Kaelan""]",1.0,-0.0,False,-0.0,1.0,unanimous,Kevin,True,False,Kaelan,False,missing_or_no_majority,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,False,,[],[],,2,"{""Jessica"": 1, ""Kaelan"": 1}","[2, 1]","[""Jessica"", ""Kaelan""]",0.5,0.6931471805599453,False,0.6365141682948128,0.6666666666666666,two_vs_one,Kevin,True,False,Jessica,False,missing_or_no_majority,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,False,,[],[],,3,"{""Jessica"": 3}",[2],"[""Jessica""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Jessica,True,False,Jessica,False,missing_or_no_majority,True
