game_id,run_1,run_2,run_3,greedy_t0,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,agreement_type,greedy_vote,greedy_in_stochastic_vote_set,greedy_matches_stochastic_majority,greedy_correct
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Tyler,Tyler,Tyler,Tyler,True,True,unanimous,Tyler,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,Tyler,Tyler,True,True,unanimous,Tyler,True,True,True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Sean,Sean,Sean,Sean,Sean,True,False,unanimous,Sean,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,No Werewolf,No Werewolf,Jacob,No Werewolf,True,False,two_vs_one,Jacob,True,False,True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,Sean,Sean,Sean,Sean,True,True,unanimous,Sean,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,Daniel,Jessica,Daniel,Kaelan,Daniel,True,False,two_vs_one,Kaelan,False,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,No Werewolf,Daniel,No Werewolf,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Jessica,Daniel,Daniel,Daniel,Daniel,True,False,two_vs_one,Daniel,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Kevin,Kevin,Daniel,Daniel,Kevin,True,False,two_vs_one,Daniel,True,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,Kevin,Kevin,Kevin,Kaelan,Kevin,True,False,unanimous,Kaelan,False,False,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Jessica,Kevin,Kevin,Jessica,Kevin,True,False,two_vs_one,Jessica,True,False,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,Jessica,Jessica,Kaelan,Jessica,Jessica,True,False,two_vs_one,Jessica,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Daniel,Jessica,Jessica,True,True,two_vs_one,Jessica,True,True,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,No Werewolf,No Werewolf,Kevin,No Werewolf,True,True,unanimous,Kevin,False,False,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,Daniel,Daniel,Daniel,Daniel,Daniel,True,False,unanimous,Daniel,True,True,False
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Brent,Brent,Brent,Brent,Brent,True,True,unanimous,Brent,True,True,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot,James,True,False,two_vs_one,Elliot,True,False,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Ashley,Sukeshi,True,True,unanimous,Ashley,False,False,False
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,James,James,James,James,James,True,True,unanimous,James,True,True,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Justin,Justin,Mitchell,True,False,two_vs_one,Justin,True,False,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,Laura,No Werewolf,No Werewolf,,False,,all_different,No Werewolf,True,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Paul,Laura,James,Paul,,False,,all_different,Paul,True,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,Justin,Mitchell,True,False,two_vs_one,Justin,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Mitchell,Mitchell,Mitchell,No Werewolf,Mitchell,True,False,unanimous,No Werewolf,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James,James,True,True,unanimous,James,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,Alvin,Alvin,Alvin,Alvin,True,True,unanimous,Alvin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,True,unanimous,Caitlynn,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Justin,Justin,Mitchell,Mitchell,Justin,True,True,two_vs_one,Mitchell,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,Mitchell,Mitchell,Mike,Mitchell,True,False,unanimous,Mike,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,No Werewolf,No Werewolf,Mike,True,True,two_vs_one,No Werewolf,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,James,Mitchell,Mitchell,True,False,two_vs_one,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Justin,Justin,Justin,Justin,True,True,two_vs_one,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mike,Mitchell,Mike,Mitchell,Mike,True,False,two_vs_one,Mitchell,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,James,James,James,James,James,True,True,unanimous,James,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Caitlynn,Caitlynn,Caitlynn,Mitchell,Caitlynn,True,False,unanimous,Mitchell,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,two_vs_one,No Werewolf,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,No Werewolf,Mitchell,No Werewolf,Mitchell,True,False,two_vs_one,No Werewolf,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,Paul,Paul,True,True,unanimous,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Paul,Paul,Justin,Justin,Paul,True,False,two_vs_one,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Mitchell,Justin,Mitchell,Justin,Mitchell,True,False,two_vs_one,Justin,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Justin,Paul,Paul,Paul,True,True,two_vs_one,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Justin,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Jordan2,Haak,Jordan2,Jordan2,True,False,two_vs_one,Jordan2,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Meryl,Meryl,Jordan2,Meryl,Meryl,True,True,two_vs_one,Meryl,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,No Werewolf,No Werewolf,Mitchell,True,False,two_vs_one,No Werewolf,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,No Werewolf,Julie,No Werewolf,Julie,No Werewolf,True,False,two_vs_one,Julie,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,Mitchell,Mitchell,True,True,two_vs_one,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Mitchell,Paul,Mitchell,Paul,Mitchell,True,True,two_vs_one,Paul,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Mike,Mike,Mike,Mike,True,False,two_vs_one,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,Meghan,Meghan,True,True,unanimous,Meghan,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Alysha,Alysha,Alysha,Paul,Alysha,True,True,unanimous,Paul,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Caitlynn,Mike,Mike,True,False,two_vs_one,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,Paul,True,True,two_vs_one,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Mitchell,Justin,Justin,,False,,all_different,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,Justin,Mitchell,True,True,unanimous,Justin,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,Mike,Justin,Mike,True,False,two_vs_one,Justin,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Mitchell,No Werewolf,No Werewolf,,False,,all_different,No Werewolf,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,No Werewolf,Paul,Paul,Paul,True,False,two_vs_one,Paul,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mike,Mitchell,Mitchell,Mitchell,Mitchell,True,True,two_vs_one,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Mitchell,Justin,Justin,Justin,True,True,two_vs_one,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,No Werewolf,Paul,Paul,True,False,two_vs_one,Paul,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mitchell,Mitchell,Mitchell,Mitchell,True,False,two_vs_one,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,No Werewolf,Caitlynn,Justin,,False,,all_different,Justin,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,False,unanimous,Caitlynn,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Caitlynn,Mitchell,Mitchell,True,False,two_vs_one,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,James,Paul,Paul,,False,,all_different,Paul,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Justin,Justin,James,James,Justin,True,False,two_vs_one,James,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,Paul,Paul,James,Paul,True,True,unanimous,James,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Justin,Paul,James,Paul,,False,,all_different,Paul,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Alana,Alana,Alana,Alana,True,True,unanimous,Alana,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,False,unanimous,Caitlynn,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Mitchell,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,True,two_vs_one,Caitlynn,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Mike,Mitchell,Mike,Mike,True,False,two_vs_one,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Caitlynn,Mike,Caitlynn,Caitlynn,True,False,two_vs_one,Caitlynn,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,Meghan,Mike,True,False,unanimous,Meghan,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Paul,Paul,Paul,Paul,Paul,True,True,unanimous,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin,,False,,all_different,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Mitchell,Mitchell,Mitchell,Mike,Mitchell,True,False,unanimous,Mike,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Paul,Paul,Paul,Paul,Paul,True,True,unanimous,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,James,No Werewolf,No Werewolf,,False,,all_different,No Werewolf,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,Mitchell,Mitchell,True,True,two_vs_one,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Alana,Caitlynn,Mike,Alana,,False,,all_different,Alana,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Alana,Alana,Alana,Alana,Alana,True,True,unanimous,Alana,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,Mike,No Werewolf,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Mitchell,No Werewolf,No Werewolf,,False,,all_different,No Werewolf,True,False,False
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Brett,Brett,Brett,Brett,Brett,True,False,unanimous,Brett,True,True,False
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Dan,Dan,Dan,Dan,Dan,True,True,unanimous,Dan,True,True,True
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,Brett,Brett,True,True,unanimous,Brett,True,True,True
