model,decoding_group,run_label,category,is_substantive,n_justifications,n_present,prevalence
Gemma 4 4B,Stochastic,run_3,Uncertainty,True,191,80,0.418848167539267
Gemma 4 4B,Stochastic,run_3,Other,False,191,2,0.010471204188481676
Gemma 4 4B,Greedy,greedy_t0,Mechanical,True,191,14,0.07329842931937172
Gemma 4 4B,Greedy,greedy_t0,Testimony,True,191,137,0.7172774869109948
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,True,191,103,0.5392670157068062
Gemma 4 4B,Greedy,greedy_t0,Behavioral,True,191,96,0.5026178010471204
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,True,191,38,0.19895287958115182
Gemma 4 4B,Greedy,greedy_t0,Payoff,True,191,137,0.7172774869109948
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,True,191,77,0.4031413612565445
Gemma 4 4B,Greedy,greedy_t0,Other,False,191,2,0.010471204188481676
Gemma 4 31B,Stochastic,run_1,Mechanical,True,191,101,0.5287958115183246
Gemma 4 31B,Stochastic,run_1,Testimony,True,191,185,0.9685863874345549
Gemma 4 31B,Stochastic,run_1,SocialJudgment,True,191,51,0.2670157068062827
Gemma 4 31B,Stochastic,run_1,Behavioral,True,191,118,0.6178010471204188
Gemma 4 31B,Stochastic,run_1,ClaimComparison,True,191,113,0.5916230366492147
Gemma 4 31B,Stochastic,run_1,Payoff,True,191,59,0.3089005235602094
Gemma 4 31B,Stochastic,run_1,Uncertainty,True,191,22,0.11518324607329843
Gemma 4 31B,Stochastic,run_1,Other,False,191,5,0.02617801047120419
Gemma 4 31B,Stochastic,run_2,Mechanical,True,191,101,0.5287958115183246
Gemma 4 31B,Stochastic,run_2,Testimony,True,191,190,0.9947643979057592
Gemma 4 31B,Stochastic,run_2,SocialJudgment,True,191,64,0.33507853403141363
Gemma 4 31B,Stochastic,run_2,Behavioral,True,191,119,0.6230366492146597
Gemma 4 31B,Stochastic,run_2,ClaimComparison,True,191,103,0.5392670157068062
Gemma 4 31B,Stochastic,run_2,Payoff,True,191,44,0.23036649214659685
Gemma 4 31B,Stochastic,run_2,Uncertainty,True,191,24,0.1256544502617801
Gemma 4 31B,Stochastic,run_2,Other,False,191,4,0.020942408376963352
Gemma 4 31B,Stochastic,run_3,Mechanical,True,191,101,0.5287958115183246
Gemma 4 31B,Stochastic,run_3,Testimony,True,191,188,0.9842931937172775
Gemma 4 31B,Stochastic,run_3,SocialJudgment,True,191,56,0.2931937172774869
Gemma 4 31B,Stochastic,run_3,Behavioral,True,191,116,0.6073298429319371
Gemma 4 31B,Stochastic,run_3,ClaimComparison,True,191,112,0.5863874345549738
Gemma 4 31B,Stochastic,run_3,Payoff,True,191,55,0.2879581151832461
Gemma 4 31B,Stochastic,run_3,Uncertainty,True,191,16,0.08376963350785341
Gemma 4 31B,Stochastic,run_3,Other,False,191,7,0.03664921465968586
Gemma 4 31B,Greedy,greedy_t0,Mechanical,True,191,103,0.5392670157068062
Gemma 4 31B,Greedy,greedy_t0,Testimony,True,191,189,0.9895287958115183
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,True,191,58,0.3036649214659686
Gemma 4 31B,Greedy,greedy_t0,Behavioral,True,191,117,0.612565445026178
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,True,191,114,0.5968586387434555
Gemma 4 31B,Greedy,greedy_t0,Payoff,True,191,56,0.2931937172774869
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,True,191,15,0.07853403141361257
Gemma 4 31B,Greedy,greedy_t0,Other,False,191,6,0.031413612565445025
