justification_id,model_under_annotation,is_correct,vote,sentence_id,text,rule_mentioned,category,use,evidence_span,other_description
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,Mitchell,2,"James strongly accuses Mitchell of being the Werewolf, and Mitchell's subsequent distress over losing his Tanner story reinforces suspicion.",False,Behavioral,used,Mitchell's subsequent distress over losing his Tanner story,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,Mitchell,3,"Given the strong consensus in the discussion that Mitchell is the Werewolf, eliminating him is the best way for Team Village to win.",True,Social,used,strong consensus in the discussion that Mitchell is the Werewolf,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,Mitchell,3,"Given the strong consensus in the discussion that Mitchell is the Werewolf, eliminating him is the best way for Team Village to win.",True,Payoff,used,eliminating him is the best way for Team Village to win,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2B,False,Justin,1,"Based on the transcript, James and Mike both directly accuse Justin of being the Werewolf, which is the critical condition for Team Village to win.",False,Social,used,James and Mike both directly accuse Justin of being the Werewolf,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2B,False,Justin,2,"While the discussion is highly confusing due to role swaps, the final accusations point strongly toward Justin being the Werewolf.",True,Social,used,the final accusations point strongly toward Justin being the Werewolf,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2B,False,Justin,3,Eliminating him maximizes the chance of Team Village achieving its goal of surviving the night.,True,Payoff,used,Eliminating him maximizes the chance of Team Village achieving its goal of surviving the night,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,No Werewolf,1,"The discussion is highly confusing due to multiple role swaps and conflicting claims regarding who is the Robber, Insomniac, and Tanner.",True,Consistency,used,"conflicting claims regarding who is the Robber, Insomniac, and Tanner",
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,No Werewolf,2,"While Mitchell expresses suspicion that a Werewolf is present, there is no concrete evidence or successful night action to confirm any player's identity.",False,Social,discounted,Mitchell expresses suspicion that a Werewolf is present,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,No Werewolf,2,"While Mitchell expresses suspicion that a Werewolf is present, there is no concrete evidence or successful night action to confirm any player's identity.",False,Consistency,used,there is no concrete evidence or successful night action to confirm any player's identity,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,No Werewolf,3,"Since I cannot confidently identify a Werewolf, I must assume the possibility that all Werewolf cards are in the center, which would result in a Team Village win.",True,Payoff,used,"all Werewolf cards are in the center, which would result in a Team Village win",
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,James,1,"The discussion strongly suggests that James is a Werewolf, as both Paul and Justin accuse him, and James himself confirms that they are werewolves.",False,Social,used,both Paul and Justin accuse him,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,James,1,"The discussion strongly suggests that James is a Werewolf, as both Paul and Justin accuse him, and James himself confirms that they are werewolves.",False,Testimony,used,James himself confirms that they are werewolves,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,James,2,"Since Team Village wins by eliminating a Werewolf, voting for James is the most strategic move to achieve this objective.",True,Payoff,used,"Team Village wins by eliminating a Werewolf, voting for James is the most strategic move to achieve this objective",
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,James,3,"Although the transcript is confusing due to role swaps, the consensus points toward James being the target.",True,Social,used,the consensus points toward James being the target,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,James,2,"Justin confirms James was the Robber, which is a role that can manipulate information.",True,Testimony,used,Justin confirms James was the Robber,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,James,3,"Given the lack of clear confirmation of a Werewolf, James is the most suspicious player due to his involvement in the Robber action and the subsequent uncertainty surrounding the night phase.",True,Consistency,used,lack of clear confirmation of a Werewolf,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,James,3,"Given the lack of clear confirmation of a Werewolf, James is the most suspicious player due to his involvement in the Robber action and the subsequent uncertainty surrounding the night phase.",True,Deduction,used,his involvement in the Robber action and the subsequent uncertainty surrounding the night phase,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,James,4,Eliminating him maximizes the chance of removing a Werewolf and securing a victory for Team Village.,True,Payoff,used,maximizes the chance of removing a Werewolf and securing a victory for Team Village,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,No Werewolf,2,"Mike claims he saw a Werewolf, while Justin claims he did not, leading to uncertainty.",False,Consistency,used,"Mike claims he saw a Werewolf, while Justin claims he did not",
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,No Werewolf,3,"However, the consensus leans towards the idea that the situation is confusing and potentially involves the Tanner trying to manipulate votes.",False,Social,used,consensus leans towards the idea that the situation is confusing and potentially involves the Tanner trying to manipulate votes,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,No Werewolf,4,"Since there is no conclusive evidence pointing to a Werewolf, and given the high level of distrust and confusion, it is safer to assume no Werewolf is present, which satisfies the condition for Team Village to win if all Werewolf cards are in the center.",True,Payoff,used,"it is safer to assume no Werewolf is present, which satisfies the condition for Team Village to win if all Werewolf cards are in the center",
2B__Youtube__Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8__Game1__run_2,2B,True,Justin,1,"Justin claimed to be the Werewolf during the discussion phase, which is a strong indicator, even though roles may have swapped.",True,Testimony,used,Justin claimed to be the Werewolf during the discussion phase,
2B__Youtube__Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8__Game1__run_2,2B,True,Justin,2,"Mitchell, who claimed to be the Seer, also saw a Werewolf card in the center during the night actions.",True,Testimony,mentioned,"Mitchell, who claimed to be the Seer, also saw a Werewolf card in the center during the night actions",
2B__Youtube__Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8__Game1__run_2,2B,True,Justin,3,"Since Team Village needs to eliminate a Werewolf to win, voting out the player who claims or is strongly suspected of being the Werewolf is the most logical move.",True,Payoff,used,"Since Team Village needs to eliminate a Werewolf to win, voting out the player who claims or is strongly suspected of being the Werewolf is the most logical move",
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,Jack,1,Jack claimed to be the Troublemaker and stated that he swapped cards with Brent.,False,Testimony,discounted,Jack claimed to be the Troublemaker and stated that he swapped cards with Brent,
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,Jack,2,"However, according to the game rules, the Troublemaker swaps the cards of two other players and cannot swap their own card.",True,Deduction,used,the Troublemaker swaps the cards of two other players and cannot swap their own card,
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,Jack,3,"Furthermore, the moderator (Erin) mentioned at the end of the game that she may have moved too quickly and not given the Troublemaker a chance to act, meaning Jack's claim to have performed a swap was a fabrication.",False,Testimony,used,the moderator (Erin) mentioned at the end of the game that she may have moved too quickly and not given the Troublemaker a chance to act,
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,Jack,3,"Furthermore, the moderator (Erin) mentioned at the end of the game that she may have moved too quickly and not given the Troublemaker a chance to act, meaning Jack's claim to have performed a swap was a fabrication.",False,Consistency,used,meaning Jack's claim to have performed a swap was a fabrication,
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,Jack,4,This deception strongly indicates that Jack is a Werewolf.,False,Behavioral,used,This deception strongly indicates that Jack is a Werewolf,
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,31B,False,Sian,1,"Sian is the only player who did not claim a role and remained silent throughout the discussion, which is highly suspicious.",False,Behavioral,used,"did not claim a role and remained silent throughout the discussion, which is highly suspicious",
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,31B,False,Sian,2,"The other five players provided roles (Troublemaker, Robber, Doppelganger, Hunter, and Seer) that are largely consistent with one another, and Sukeshi (claiming Seer) specifically confirmed Elliot's role as the Troublemaker.",False,Consistency,used,"provided roles (Troublemaker, Robber, Doppelganger, Hunter, and Seer) that are largely consistent with one another",
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,31B,False,Sian,2,"The other five players provided roles (Troublemaker, Robber, Doppelganger, Hunter, and Seer) that are largely consistent with one another, and Sukeshi (claiming Seer) specifically confirmed Elliot's role as the Troublemaker.",False,Testimony,used,Sukeshi (claiming Seer) specifically confirmed Elliot's role as the Troublemaker,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game1__run_3,31B,True,Mitchell,1,Mitchell claims to be the Troublemaker but states that he swapped his own card with Alvin's.,False,Testimony,used,Mitchell claims to be the Troublemaker but states that he swapped his own card with Alvin's.,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game1__run_3,31B,True,Mitchell,3,"This contradiction indicates that Mitchell is lying about his role, making him the most likely candidate for the Werewolf.",False,Consistency,used,This contradiction indicates that Mitchell is lying about his role,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,Caitlynn,1,"Justin admits to being the starting Werewolf and states he was the only one, having seen the Robber card in the center.",False,Testimony,used,"Justin admits to being the starting Werewolf and states he was the only one, having seen the Robber card in the center.",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,Caitlynn,2,Dan claims to be the Troublemaker and states he swapped the cards of Justin and Caitlynn.,True,Testimony,used,Dan claims to be the Troublemaker and states he swapped the cards of Justin and Caitlynn.,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,Caitlynn,3,"If these claims are true, the Werewolf card was moved from Justin to Caitlynn, making Caitlynn the current Werewolf.",True,Deduction,used,"If these claims are true, the Werewolf card was moved from Justin to Caitlynn, making Caitlynn the current Werewolf.",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,Caitlynn,4,"Mitchell, claiming to be the Seer, supports the honesty of the players involved, and Caitlynn's claim of being a Villager is consistent with a Werewolf's attempt to deceive.",False,Social,used,"Mitchell, claiming to be the Seer, supports the honesty of the players involved",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,Caitlynn,4,"Mitchell, claiming to be the Seer, supports the honesty of the players involved, and Caitlynn's claim of being a Villager is consistent with a Werewolf's attempt to deceive.",False,Behavioral,used,Caitlynn's claim of being a Villager is consistent with a Werewolf's attempt to deceive,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,1,Mike claims to be the Seer and states he saw two werewolves in the center.,True,Testimony,used,Mike claims to be the Seer,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,1,Mike claims to be the Seer and states he saw two werewolves in the center.,True,Testimony,used,states he saw two werewolves in the center,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,2,"If this is true, no player is a werewolf.",False,Deduction,used,"If this is true, no player is a werewolf",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,3,"The conflicting claims of James and Justin (both claiming Troublemaker) and Mitchell's confusing claims (starting as Robber, stealing from Justin, and mentioning the Tanner) suggest a mix of Robber, Troublemaker, and Tanner roles.",True,Consistency,used,conflicting claims of James and Justin (both claiming Troublemaker),
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,3,"The conflicting claims of James and Justin (both claiming Troublemaker) and Mitchell's confusing claims (starting as Robber, stealing from Justin, and mentioning the Tanner) suggest a mix of Robber, Troublemaker, and Tanner roles.",True,Behavioral,used,Mitchell's confusing claims,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,3,"The conflicting claims of James and Justin (both claiming Troublemaker) and Mitchell's confusing claims (starting as Robber, stealing from Justin, and mentioning the Tanner) suggest a mix of Robber, Troublemaker, and Tanner roles.",True,Testimony,used,"starting as Robber, stealing from Justin, and mentioning the Tanner",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,4,"Specifically, if Mitchell (Robber) stole the Tanner card from Justin, and James (Troublemaker) then swapped Justin and Mitchell, Justin would end the game as the Tanner.",True,Deduction,used,"if Mitchell (Robber) stole the Tanner card from Justin, and James (Troublemaker) then swapped Justin and Mitchell, Justin would end the game as the Tanner",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,No Werewolf,5,This scenario is consistent with Mike's claim that no werewolves are among the players.,False,Consistency,used,This scenario is consistent with Mike's claim that no werewolves are among the players,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,1,James claims to be the Seer and states that he saw two werewolves in the center of the table.,False,Testimony,used,James claims to be the Seer,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,1,James claims to be the Seer and states that he saw two werewolves in the center of the table.,False,Testimony,used,states that he saw two werewolves in the center of the table,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,2,"Justin claims to be the Troublemaker and says he did not switch any cards, and Mitchell claims to be the Insomniac and confirms he did not change roles.",False,Testimony,used,Justin claims to be the Troublemaker,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,2,"Justin claims to be the Troublemaker and says he did not switch any cards, and Mitchell claims to be the Insomniac and confirms he did not change roles.",False,Testimony,used,says he did not switch any cards,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,2,"Justin claims to be the Troublemaker and says he did not switch any cards, and Mitchell claims to be the Insomniac and confirms he did not change roles.",False,Testimony,used,Mitchell claims to be the Insomniac,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,2,"Justin claims to be the Troublemaker and says he did not switch any cards, and Mitchell claims to be the Insomniac and confirms he did not change roles.",False,Testimony,used,confirms he did not change roles,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,3,These claims are internally consistent and suggest that no player currently holds a werewolf card.,False,Consistency,used,These claims are internally consistent,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,No Werewolf,3,These claims are internally consistent and suggest that no player currently holds a werewolf card.,False,Deduction,used,suggest that no player currently holds a werewolf card,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,1,Mitchell's claims are logically contradictory.,False,Consistency,used,Mitchell's claims are logically contradictory,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,2,"He asserts he was a Minion who saw Justin as a Werewolf, and that James (the Troublemaker) swapped their cards, which would make Mitchell the Werewolf.",True,Testimony,used,"He asserts he was a Minion who saw Justin as a Werewolf, and that James (the Troublemaker) swapped their cards",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,2,"He asserts he was a Minion who saw Justin as a Werewolf, and that James (the Troublemaker) swapped their cards, which would make Mitchell the Werewolf.",True,Deduction,used,"James (the Troublemaker) swapped their cards, which would make Mitchell the Werewolf",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,3,"He then confusingly claims to be an Insomniac, a role that cannot be achieved through a Troublemaker swap between a Minion and a Werewolf.",True,Testimony,used,claims to be an Insomniac,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,3,"He then confusingly claims to be an Insomniac, a role that cannot be achieved through a Troublemaker swap between a Minion and a Werewolf.",True,Deduction,used,a role that cannot be achieved through a Troublemaker swap between a Minion and a Werewolf,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,4,This inconsistency strongly suggests Mitchell is lying to frame Justin and hide his own identity as the Werewolf.,False,Consistency,used,This inconsistency strongly suggests Mitchell is lying,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,Mitchell,4,This inconsistency strongly suggests Mitchell is lying to frame Justin and hide his own identity as the Werewolf.,False,Behavioral,used,lying to frame Justin and hide his own identity as the Werewolf,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game5__run_2,31B,True,James,1,James claimed to be the Robber and stated he robbed Justin.,False,Testimony,used,James claimed to be the Robber and stated he robbed Justin.,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game5__run_2,31B,True,James,2,Mike (the Seer) and Justin both confirmed that Justin's starting role was a Werewolf.,False,Testimony,used,Mike (the Seer) and Justin both confirmed that Justin's starting role was a Werewolf.,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game5__run_2,31B,True,James,3,"Since the Robber swaps cards with the target, James took the Werewolf card from Justin, making James the Werewolf at the end of the night.",True,Deduction,used,"Since the Robber swaps cards with the target, James took the Werewolf card from Justin, making James the Werewolf at the end of the night.",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,1,"Justin claims to be the Minion and states that no werewolves woke up during the night, a claim confirmed by Mike, who claims to be the Seer.",False,Testimony,used,Justin claims to be the Minion and states that no werewolves woke up during the night,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,1,"Justin claims to be the Minion and states that no werewolves woke up during the night, a claim confirmed by Mike, who claims to be the Seer.",False,Testimony,used,"confirmed by Mike, who claims to be the Seer",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,1,"Justin claims to be the Minion and states that no werewolves woke up during the night, a claim confirmed by Mike, who claims to be the Seer.",False,Consistency,used,a claim confirmed by Mike,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,2,"Mitchell claims to be the Robber and stole from James, but if no one started as a werewolf, the Robber could not have stolen that role.",True,Testimony,mentioned,Mitchell claims to be the Robber and stole from James,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,2,"Mitchell claims to be the Robber and stole from James, but if no one started as a werewolf, the Robber could not have stolen that role.",True,Deduction,used,"if no one started as a werewolf, the Robber could not have stolen that role",
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,3,"The only way a werewolf could be present is if the Drunk swapped a card from the center, but there is no evidence for this.",True,Deduction,used,The only way a werewolf could be present is if the Drunk swapped a card from the center,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,No Werewolf,4,Justin's attempt to push the vote toward Caitlynn is consistent with a Minion trying to trick the village into voting someone out to secure a Team Werewolf win when no werewolves are present.,True,Behavioral,used,Justin's attempt to push the vote toward Caitlynn is consistent with a Minion trying to trick the village into voting someone out to secure a Team Werewolf win when no werewolves are present,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,31B,False,Justin,1,Paul claims he was the Robber and stole from Justin.,True,Testimony,used,claims he was the Robber and stole from Justin,
