justification_id,model_under_annotation,is_correct,sentence_id,text,rule_mentioned,n_annotations,is_labelled,categories
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,2B,True,2,"No player has claimed the Werewolf role, and there is no evidence presented in the transcript to suggest a Werewolf is present.",False,1,True,Other
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,2B,True,3,"Following the rule that if no Werewolf is believed to be present, Team Village wins if no one dies, I conclude that no Werewolf is currently active.",True,1,True,Payoff
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,1,"The discussion transcript is filled with role claims and role swaps, making it impossible to definitively identify the Werewolf.",True,1,True,Consistency
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,2,"While Kaelan initially claimed to see the Werewolf, the subsequent confusion and role changes suggest that the information gathered is unreliable.",True,2,True,Consistency|Testimony
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,3,"Since I cannot confirm any player holds the Werewolf card, I must assume the Werewolf is currently in the center role pool.",False,1,True,Other
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2B,True,1,"Dan directly accused Mike of being the Werewolf, which is the clearest indication of a Werewolf role in the discussion.",False,1,True,Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2B,True,2,"While the transcript is filled with role swaps and accusations, Dan's assertion serves as the strongest lead for Team Village to pursue.",False,1,True,Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2B,True,3,Eliminating Mike based on this direct accusation maximizes the chance of winning the game by removing a Werewolf.,True,1,True,Payoff
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2B,True,1,The discussion strongly suggests that Mike is the Werewolf.,False,0,False,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2B,True,2,"Multiple players, including Justin and James, accuse Mike of being the Werewolf, and Mike himself claims to have seen two werewolves.",False,2,True,Social|Testimony
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2B,True,3,"Since Team Village wins by eliminating a Werewolf, voting for Mike is the optimal strategy to achieve this goal.",True,1,True,Payoff
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,1,"The discussion heavily focuses on conflicting role claims, particularly regarding the Tanner role and who switched cards.",False,0,False,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,2,"James strongly accuses Mitchell of being the Werewolf, and Mitchell's subsequent distress over losing his Tanner story reinforces suspicion.",False,2,True,Behavioral|Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,3,"Given the strong consensus in the discussion that Mitchell is the Werewolf, eliminating him is the best way for Team Village to win.",True,2,True,Payoff|Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2B,False,1,"Based on the transcript, James and Mike both directly accuse Justin of being the Werewolf, which is the critical condition for Team Village to win.",False,1,True,Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2B,False,2,"While the discussion is highly confusing due to role swaps, the final accusations point strongly toward Justin being the Werewolf.",True,1,True,Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2B,False,3,Eliminating him maximizes the chance of Team Village achieving its goal of surviving the night.,True,1,True,Payoff
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,1,"The discussion is highly confusing due to multiple role swaps and conflicting claims regarding who is the Robber, Insomniac, and Tanner.",True,1,True,Consistency
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,2,"While Mitchell expresses suspicion that a Werewolf is present, there is no concrete evidence or successful night action to confirm any player's identity.",False,2,True,Consistency|Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2B,False,3,"Since I cannot confidently identify a Werewolf, I must assume the possibility that all Werewolf cards are in the center, which would result in a Team Village win.",True,1,True,Payoff
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,1,"The discussion strongly suggests that James is a Werewolf, as both Paul and Justin accuse him, and James himself confirms that they are werewolves.",False,2,True,Social|Testimony
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,2,"Since Team Village wins by eliminating a Werewolf, voting for James is the most strategic move to achieve this objective.",True,1,True,Payoff
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game1__run_2,2B,False,3,"Although the transcript is confusing due to role swaps, the consensus points toward James being the target.",True,1,True,Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,1,"The transcript shows significant confusion regarding the night actions, specifically involving the Robber role and accusations between Justin and Mitchell.",False,0,False,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,2,"Justin confirms James was the Robber, which is a role that can manipulate information.",True,1,True,Testimony
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,3,"Given the lack of clear confirmation of a Werewolf, James is the most suspicious player due to his involvement in the Robber action and the subsequent uncertainty surrounding the night phase.",True,2,True,Consistency|Deduction
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019__Game2__run_2,2B,False,4,Eliminating him maximizes the chance of removing a Werewolf and securing a victory for Team Village.,True,1,True,Payoff
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,1,The discussion revolves around conflicting information regarding the presence of a Werewolf.,False,0,False,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,2,"Mike claims he saw a Werewolf, while Justin claims he did not, leading to uncertainty.",False,1,True,Consistency
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,3,"However, the consensus leans towards the idea that the situation is confusing and potentially involves the Tanner trying to manipulate votes.",False,1,True,Social
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game1__run_2,2B,False,4,"Since there is no conclusive evidence pointing to a Werewolf, and given the high level of distrust and confusion, it is safer to assume no Werewolf is present, which satisfies the condition for Team Village to win if all Werewolf cards are in the center.",True,1,True,Payoff
2B__Youtube__Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8__Game1__run_2,2B,True,1,"Justin claimed to be the Werewolf during the discussion phase, which is a strong indicator, even though roles may have swapped.",True,1,True,Testimony
2B__Youtube__Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8__Game1__run_2,2B,True,2,"Mitchell, who claimed to be the Seer, also saw a Werewolf card in the center during the night actions.",True,1,True,Testimony
2B__Youtube__Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8__Game1__run_2,2B,True,3,"Since Team Village needs to eliminate a Werewolf to win, voting out the player who claims or is strongly suspected of being the Werewolf is the most logical move.",True,1,True,Payoff
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,1,Jack claimed to be the Troublemaker and stated that he swapped cards with Brent.,False,1,True,Testimony
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,2,"However, according to the game rules, the Troublemaker swaps the cards of two other players and cannot swap their own card.",True,1,True,Deduction
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,3,"Furthermore, the moderator (Erin) mentioned at the end of the game that she may have moved too quickly and not given the Troublemaker a chance to act, meaning Jack's claim to have performed a swap was a fabrication.",False,2,True,Consistency|Testimony
31B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,31B,True,4,This deception strongly indicates that Jack is a Werewolf.,False,1,True,Behavioral
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,31B,False,1,"Sian is the only player who did not claim a role and remained silent throughout the discussion, which is highly suspicious.",False,1,True,Behavioral
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,31B,False,2,"The other five players provided roles (Troublemaker, Robber, Doppelganger, Hunter, and Seer) that are largely consistent with one another, and Sukeshi (claiming Seer) specifically confirmed Elliot's role as the Troublemaker.",False,2,True,Consistency|Testimony
31B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,31B,False,3,"Given the lack of any other suspects, Sian is the most likely candidate to be a Werewolf or the Tanner.",False,0,False,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game1__run_3,31B,True,1,Mitchell claims to be the Troublemaker but states that he swapped his own card with Alvin's.,False,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game1__run_3,31B,True,2,"According to the game rules, the Troublemaker swaps the cards of two other players and cannot swap their own card.",True,0,False,
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game1__run_3,31B,True,3,"This contradiction indicates that Mitchell is lying about his role, making him the most likely candidate for the Werewolf.",False,1,True,Consistency
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,1,"Justin admits to being the starting Werewolf and states he was the only one, having seen the Robber card in the center.",False,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,2,Dan claims to be the Troublemaker and states he swapped the cards of Justin and Caitlynn.,True,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,3,"If these claims are true, the Werewolf card was moved from Justin to Caitlynn, making Caitlynn the current Werewolf.",True,1,True,Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_3,31B,True,4,"Mitchell, claiming to be the Seer, supports the honesty of the players involved, and Caitlynn's claim of being a Villager is consistent with a Werewolf's attempt to deceive.",False,2,True,Behavioral|Social
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,1,Mike claims to be the Seer and states he saw two werewolves in the center.,True,2,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,2,"If this is true, no player is a werewolf.",False,1,True,Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,3,"The conflicting claims of James and Justin (both claiming Troublemaker) and Mitchell's confusing claims (starting as Robber, stealing from Justin, and mentioning the Tanner) suggest a mix of Robber, Troublemaker, and Tanner roles.",True,3,True,Behavioral|Consistency|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,4,"Specifically, if Mitchell (Robber) stole the Tanner card from Justin, and James (Troublemaker) then swapped Justin and Mitchell, Justin would end the game as the Tanner.",True,1,True,Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_3,31B,False,5,This scenario is consistent with Mike's claim that no werewolves are among the players.,False,1,True,Consistency
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,1,James claims to be the Seer and states that he saw two werewolves in the center of the table.,False,2,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,2,"Justin claims to be the Troublemaker and says he did not switch any cards, and Mitchell claims to be the Insomniac and confirms he did not change roles.",False,4,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game8__run_1,31B,True,3,These claims are internally consistent and suggest that no player currently holds a werewolf card.,False,2,True,Consistency|Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,1,Mitchell's claims are logically contradictory.,False,1,True,Consistency
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,2,"He asserts he was a Minion who saw Justin as a Werewolf, and that James (the Troublemaker) swapped their cards, which would make Mitchell the Werewolf.",True,2,True,Deduction|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,3,"He then confusingly claims to be an Insomniac, a role that cannot be achieved through a Troublemaker swap between a Minion and a Werewolf.",True,2,True,Deduction|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_1,31B,False,4,This inconsistency strongly suggests Mitchell is lying to frame Justin and hide his own identity as the Werewolf.,False,2,True,Behavioral|Consistency
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game5__run_2,31B,True,1,James claimed to be the Robber and stated he robbed Justin.,False,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game5__run_2,31B,True,2,Mike (the Seer) and Justin both confirmed that Justin's starting role was a Werewolf.,False,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game5__run_2,31B,True,3,"Since the Robber swaps cards with the target, James took the Werewolf card from Justin, making James the Werewolf at the end of the night.",True,1,True,Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,1,"Justin claims to be the Minion and states that no werewolves woke up during the night, a claim confirmed by Mike, who claims to be the Seer.",False,3,True,Consistency|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,2,"Mitchell claims to be the Robber and stole from James, but if no one started as a werewolf, the Robber could not have stolen that role.",True,2,True,Deduction|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,3,"The only way a werewolf could be present is if the Drunk swapped a card from the center, but there is no evidence for this.",True,1,True,Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game7__greedy_t0,31B,True,4,Justin's attempt to push the vote toward Caitlynn is consistent with a Minion trying to trick the village into voting someone out to secure a Team Werewolf win when no werewolves are present.,True,1,True,Behavioral
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,31B,False,1,Paul claims he was the Robber and stole from Justin.,True,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,31B,False,2,"He later explains a complex sequence (Line 79) where he believes he acted as the Troublemaker and swapped Justin and Mitchell, which would only happen if he stole the Troublemaker card from Justin.",True,2,True,Deduction|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,31B,False,3,"If Paul (Robber) stole the Troublemaker card from Justin and then swapped Justin (now Robber) with Mitchell (Werewolf), Justin would end the night as the Werewolf.",True,1,True,Deduction
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,31B,False,4,"Mitchell's claim to be the Insomniac is likely a bluff to avoid suspicion, as it contradicts the Robber/Troublemaker logic Paul is describing.",False,2,True,Behavioral|Consistency
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018__Game3__run_1,31B,False,1,"Justin and Mike both claim to be the Seer, meaning one is likely lying.",False,1,True,Consistency
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018__Game3__run_1,31B,False,2,"While Justin admits to lying about the contents of the center cards to bait Mike, James (who claims a power role) strongly defends Justin and explicitly states, 'We're killing Mike.'",False,3,True,Social|Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018__Game3__run_1,31B,False,3,"Mike, Caitlynn, and Mitchell are all coordinating to push the vote toward Justin, which is a common strategy for Team Werewolf to frame a Village player.",False,1,True,Behavioral
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018__Game3__run_1,31B,False,4,"Given James's support for Justin and Mike's insistence on framing him, Mike is the most likely Werewolf.",False,2,True,Behavioral|Social
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game4__run_1,31B,False,1,"Both Mitchell and Mike admit to being Werewolves, with Mitchell explicitly stating, 'me and Mike, we had a plan...",False,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game4__run_1,31B,False,2,two werewolves'.,False,1,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game4__run_1,31B,False,3,"While the discussion is chaotic and involves claims of role swaps, the admission of being on the Werewolf team is the strongest evidence available.",True,2,True,Testimony
31B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game4__run_1,31B,False,4,"Mitchell is actively pushing for Mike to be voted out, and Justin agrees, making Mike the most probable target for a Village victory.",True,1,True,Social
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game5__greedy_t0,4B,True,1,"The discussion is highly chaotic, involving numerous role swaps and conflicting accusations, making definitive identification impossible.",True,1,True,Consistency
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game5__greedy_t0,4B,True,2,"However, Elliot made the most direct and unambiguous accusation in the transcript, stating that Chris is the Werewolf (159).",False,1,True,Social
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game5__greedy_t0,4B,True,3,"While this is merely an accusation and not proof, it represents the strongest single piece of evidence pointing toward a specific player's alignment.",False,1,True,Social
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game5__greedy_t0,4B,True,4,"To maximize the chance of Team Village winning, I am choosing the player who was most directly accused of being a Werewolf.",True,2,True,Payoff|Social
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_3,4B,False,1,Sian is the most consistently targeted and suspicious player throughout the discussion.,False,1,True,Social
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_3,4B,False,2,"She maintains extreme silence and offers minimal, evasive responses ('No comment,' 'I was sleeping soundly'), which the other players interpret as signs of guilt.",False,2,True,Behavioral|Social
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_3,4B,False,3,"While the discussion involves complex role swaps, Sian's lack of participation and her defensive demeanor make her the prime suspect for a Werewolf or a role that benefits from being eliminated.",True,1,True,Behavioral
4B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_3,4B,False,4,"Given the collective momentum of the group, targeting Sian is the most logical move to achieve Team Village's win condition.",True,2,True,Payoff|Social
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game8__greedy_t0,4B,False,1,"The discussion transcript shows a strong consensus among several players, particularly Tyler and Clint, who repeatedly accuse Erin of being a Werewolf.",False,1,True,Social
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game8__greedy_t0,4B,False,2,"Tyler and Clint's accusations are consistent throughout the latter half of the conversation, despite the confusion caused by role swaps.",True,1,True,Consistency
4B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game8__greedy_t0,4B,False,3,"While Margaret raises suspicions about Tyler's claims regarding the Robber/Insomniac roles, the collective focus and repeated accusations against Erin make her the most probable target for elimination to ensure Team Village wins.",True,3,True,Payoff|Social
4B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game6__run_2,4B,True,1,"The public discussion transcript focuses heavily on complex role swaps (Doppelganger, Robber, Tanner, Drunk) and identifying who held which role.",True,0,False,
4B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game6__run_2,4B,True,2,"Despite the confusion and accusations, no player has ever claimed to be a Werewolf, nor has any player been definitively identified as one.",False,1,True,Other
4B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game6__run_2,4B,True,3,"Given the lack of any evidence pointing toward a Werewolf, the most logical conclusion is that the Werewolf cards are currently in the role pool, allowing Team Village to win under the condition that no Werewolf is present among the players.",True,2,True,Other|Payoff
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game3__run_2,4B,False,1,Alvin is the most suspicious player because he immediately and aggressively accused Justin of being a Werewolf while claiming the Seer role.,False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game3__run_2,4B,False,2,"However, both James and Mitchell expressed deep skepticism regarding Alvin's motives and consistency, suggesting he might be lying or manipulating the situation.",False,1,True,Social
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game3__run_2,4B,False,3,"A Werewolf often attempts to control the narrative and deflect suspicion, which aligns with Alvin's behavior of making a strong accusation and then attempting to defend the accused.",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game3__run_2,4B,False,4,"Therefore, Alvin presents the highest risk and is the most likely candidate for a Werewolf.",False,0,False,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game5__greedy_t0,4B,True,1,"The discussion quickly escalated into accusations, and the majority of the players converged on Mitchell as the primary suspect.",False,1,True,Social
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game5__greedy_t0,4B,True,2,"Mitchell made several strong claims, including asserting he was the Seer and later claiming to have seen the Werewolf, which led to intense scrutiny.",False,1,True,Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game5__greedy_t0,4B,True,3,"Despite Mitchell's claims, the collective suspicion from James, Justin, and even Alvin ultimately pointed toward Mitchell, suggesting he was attempting to mislead the group.",False,2,True,Behavioral|Social
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game5__greedy_t0,4B,True,4,"To maximize the chance of Team Village winning, the most heavily suspected player should be eliminated.",True,1,True,Payoff
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game3__run_1,4B,True,1,Justin is the most suspicious player because he explicitly claimed to be a Werewolf during the discussion (Line 45).,False,1,True,Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game3__run_1,4B,True,2,"While this could be a bluff, it is a significant piece of self-incrimination that aligns with typical Werewolf deception tactics.",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game3__run_1,4B,True,3,"Furthermore, he is actively involved in confirming this narrative with Mitchell, suggesting a coordinated effort.",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game3__run_1,4B,True,4,"To ensure Team Village wins, the most logical target is the player who has openly admitted to being a Werewolf.",True,2,True,Payoff|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_3,4B,True,1,"Mitchell, claiming to be a Minion, provides the most direct and consistent evidence pointing to a Werewolf.",False,2,True,Social|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_3,4B,True,2,"Mitchell states that they saw Justin as a Werewolf (58, 86), and this claim is supported by James and others in the discussion.",False,2,True,Social|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_3,4B,True,3,"While Mitchell could potentially be lying, the weight of the testimony and the direct accusation makes Justin the primary suspect.",False,3,True,Behavioral|Social|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game11__run_3,4B,True,4,Voting out Justin is the most logical move for Team Village to ensure a win condition is met.,True,1,True,Payoff
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game3__run_1,4B,True,1,"Paul is the most heavily implicated player, as he repeatedly and forcefully asserts that he was a Werewolf throughout the discussion.",False,1,True,Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game3__run_1,4B,True,2,"While Mitchell and Justin are actively trying to guide the vote against him, Paul's insistence on his WW status makes him the primary target.",False,2,True,Social|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game3__run_1,4B,True,3,"Eliminating Paul is the clearest path to ensuring Team Village wins, provided he is indeed a Werewolf.",True,1,True,Payoff
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game3__run_1,4B,True,4,His defensive and aggressive behavior further suggests he is attempting to mislead the group.,False,1,True,Behavioral
