relation_id,justification_id,model,game_id,run_label,decoding_group,sentence_id,sentence_text,char_spans,start,end,raw_sense,top_level,confidence,provenance,source_form
10,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,Stochastic,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",98-102,98,102,Expansion.Conjunction,Expansion,0.9980027079582214,standard_discopy,also
11,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,Stochastic,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",140-145,140,145,Comparison.Contrast,Comparison,0.7150723338127136,standard_discopy,while
12,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,Stochastic,3,"If Chris is indeed the Werewolf, this vote ensures victory.",331-333,331,333,Contingency.Condition,Contingency,0.8260804414749146,standard_discopy,if
13,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,Stochastic,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",138-143,138,143,Comparison.Contrast,Comparison,0.5680708289146423,standard_discopy,while
14,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,Stochastic,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",167-172,167,172,Comparison.Contrast,Comparison,0.7370336055755615,standard_discopy,while
15,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",325-330,325,330,Contingency.Cause,Contingency,0.9569286704063416,standard_discopy,since
16,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",376-379,376,379,Expansion.Conjunction,Expansion,0.9161108136177064,standard_discopy,and
17,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, voting Sian out is the best strategic move based on the current public discussion.",272-277,272,277,Contingency.Cause,Contingency,0.9615426659584044,standard_discopy,since
18,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,Stochastic,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",114-121,114,121,Comparison.Contrast,Comparison,0.7711325883865356,standard_discopy,however
19,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,Stochastic,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",180-183,180,183,Expansion.Conjunction,Expansion,0.994491696357727,standard_discopy,and
20,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,Stochastic,3,"Since Team Village needs to eliminate a Werewolf, targeting the player most strongly suspected of holding the Werewolf card is the best course of action.",234-239,234,239,Contingency.Cause,Contingency,0.9905577898025512,standard_discopy,since
21,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,Stochastic,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",104-109,104,109,Comparison.Contrast,Comparison,0.7291952967643738,standard_discopy,while
22,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",246-251,246,251,Contingency.Cause,Contingency,0.9897527694702148,standard_discopy,since
23,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",270-272,270,272,Contingency.Condition,Contingency,0.9918799996376038,standard_discopy,if
24,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",296-299,296,299,Expansion.Conjunction,Expansion,0.99960058927536,standard_discopy,and
25,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",313-316,313,316,Expansion.Conjunction,Expansion,0.8787733912467957,standard_discopy,and
26,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,Stochastic,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",293-295,293,295,Temporal.Synchrony,Temporal,0.7826177477836609,standard_discopy,as
27,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,Stochastic,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",104-112,104,112,Comparison.Contrast,Comparison,0.5397620797157288,standard_discopy,although
28,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,Stochastic,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",246-251,246,251,Contingency.Cause,Contingency,0.9950640797615052,standard_discopy,since
29,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,Stochastic,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",153-158,153,158,Comparison.Contrast,Comparison,0.8461140990257263,standard_discopy,while
30,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,Stochastic,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",221-224,221,224,Expansion.Conjunction,Expansion,0.9925092458724976,standard_discopy,and
31,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,Stochastic,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",257-262,257,262,Contingency.Cause,Contingency,0.9839854836463928,standard_discopy,since
32,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,Stochastic,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",281-283,281,283,Contingency.Condition,Contingency,0.992497742176056,standard_discopy,if
33,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,Stochastic,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present.",356-359,356,359,Expansion.Conjunction,Expansion,0.8900889754295349,standard_discopy,and
34,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,Stochastic,2,"Since Team Village needs to eliminate a Werewolf, voting for Sean targets the player most strongly implicated in the suspected Werewolf scheme.",160-165,160,165,Contingency.Cause,Contingency,0.9754761457443236,standard_discopy,since
35,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,Stochastic,2,"Clint claimed to be the Drunk, and the conversation quickly devolved into accusations about who was the Robber and Troublemaker.",109-112,109,112,Expansion.Conjunction,Expansion,0.9297742247581482,standard_discopy,and
36,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,Stochastic,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote.",303-306,303,306,Expansion.Conjunction,Expansion,0.8278405070304871,standard_discopy,and
37,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,Stochastic,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote.",312-322,312,322,Temporal.Asynchronous,Temporal,0.9786977171897888,standard_discopy,ultimately
38,16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,Stochastic,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf.",129-136,129,136,Comparison.Contrast,Comparison,0.7566187381744385,standard_discopy,however
39,16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,Stochastic,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf.",209-212,209,212,Expansion.Conjunction,Expansion,0.9517034292221068,standard_discopy,and
40,16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,Stochastic,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf.",219-223,219,223,Expansion.Conjunction,Expansion,0.9914100766181946,standard_discopy,also
41,17,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,run_1,Stochastic,1,"The discussion strongly indicates that Erin is the primary suspect for being the Werewolf, as Tyler and Clint both point towards her as the culprit.",91-93,91,93,Temporal.Synchrony,Temporal,0.6276008486747742,standard_discopy,as
42,18,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,run_1,Stochastic,2,"Clint and Margaret converge on Tyler being the Werewolf, and Erin also expresses suspicion toward him.",166-169,166,169,Expansion.Conjunction,Expansion,0.980886161327362,standard_discopy,and
43,18,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,run_1,Stochastic,2,"Clint and Margaret converge on Tyler being the Werewolf, and Erin also expresses suspicion toward him.",175-179,175,179,Expansion.Conjunction,Expansion,0.9859066009521484,standard_discopy,also
44,18,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, voting for Tyler is the strongest strategic move based on the current public consensus.",212-217,212,217,Contingency.Cause,Contingency,0.9277470111846924,standard_discopy,since
45,19,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and Team Village wins if no Werewolves are present and no one dies, I must assume the 'no Werewolf' condition is possible.",206-211,206,211,Contingency.Cause,Contingency,0.9994379878044128,standard_discopy,since
46,19,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and Team Village wins if no Werewolves are present and no one dies, I must assume the 'no Werewolf' condition is possible.",257-260,257,260,Expansion.Conjunction,Expansion,0.8900291919708252,standard_discopy,and
47,19,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and Team Village wins if no Werewolves are present and no one dies, I must assume the 'no Werewolf' condition is possible.",279-281,279,281,Contingency.Condition,Contingency,0.9941133856773376,standard_discopy,if
48,19,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and Team Village wins if no Werewolves are present and no one dies, I must assume the 'no Werewolf' condition is possible.",308-311,308,311,Expansion.Conjunction,Expansion,0.9992814660072328,standard_discopy,and
49,20,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,run_1,Stochastic,2,"Although Hunter later claimed to be the Werewolf, Sean's direct accusation provides the strongest immediate evidence for Team Village.",92-100,92,100,Comparison.Contrast,Comparison,0.7334751486778259,standard_discopy,although
50,20,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,run_1,Stochastic,2,"Although Hunter later claimed to be the Werewolf, Sean's direct accusation provides the strongest immediate evidence for Team Village.",108-113,108,113,Temporal.Asynchronous,Temporal,0.949250876903534,standard_discopy,later
51,21,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, and I cannot definitively identify one, I must conclude that no Werewolf is present based on the available information.",253-258,253,258,Contingency.Cause,Contingency,0.9223930835723876,standard_discopy,since
52,21,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, and I cannot definitively identify one, I must conclude that no Werewolf is present based on the available information.",304-307,304,307,Expansion.Conjunction,Expansion,0.8675646781921387,standard_discopy,and
53,22,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,run_1,Stochastic,2,"While players are attempting to deduce their roles (e.g., Jacob suggesting he is the Villager), there is no definitive evidence presented in the transcript to confirm that any player is the Werewolf.",110-115,110,115,Comparison.Contrast,Comparison,0.7582521438598633,standard_discopy,while
54,22,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and given the ambiguity, the safest strategy is to assume no Werewolf is currently active.",310-315,310,315,Contingency.Cause,Contingency,0.984878957271576,standard_discopy,since
55,22,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and given the ambiguity, the safest strategy is to assume no Werewolf is currently active.",334-336,334,336,Contingency.Condition,Contingency,0.9936205744743348,standard_discopy,if
56,22,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,run_1,Stochastic,3,"Since Team Village wins if no Werewolf is present and no one dies, and given the ambiguity, the safest strategy is to assume no Werewolf is currently active.",360-363,360,363,Expansion.Conjunction,Expansion,0.9994593262672424,standard_discopy,and
57,23,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,run_1,Stochastic,3,"Since Team Village wins by eliminating a Werewolf, voting Sean out is the strongest move based on the available evidence.",277-282,277,282,Contingency.Cause,Contingency,0.9106317162513732,standard_discopy,since
58,24,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,run_1,Stochastic,3,"Since Team Village wins if no player is a Werewolf and all Werewolf cards are in the center, this is the safest strategic choice to guarantee a victory.",309-314,309,314,Contingency.Cause,Contingency,0.9963459372520448,standard_discopy,since
59,24,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,run_1,Stochastic,3,"Since Team Village wins if no player is a Werewolf and all Werewolf cards are in the center, this is the safest strategic choice to guarantee a victory.",333-335,333,335,Contingency.Condition,Contingency,0.99062180519104,standard_discopy,if
60,24,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,run_1,Stochastic,3,"Since Team Village wins if no player is a Werewolf and all Werewolf cards are in the center, this is the safest strategic choice to guarantee a victory.",360-363,360,363,Expansion.Conjunction,Expansion,0.9984715580940248,standard_discopy,and
61,25,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,run_1,Stochastic,3,"Since no player explicitly claims to be the Werewolf, and the identified roles appear to be Village-aligned, I conclude that there is no Werewolf present among the players.",241-246,241,246,Contingency.Cause,Contingency,0.9986270666122437,standard_discopy,since
62,25,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,run_1,Stochastic,3,"Since no player explicitly claims to be the Werewolf, and the identified roles appear to be Village-aligned, I conclude that there is no Werewolf present among the players.",295-298,295,298,Expansion.Conjunction,Expansion,0.995621383190155,standard_discopy,and
63,26,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,run_1,Stochastic,2,"Furthermore, Kevin was identified as the Minion, a role aligned with Team Werewolf.",125-136,125,136,Expansion.Conjunction,Expansion,0.9981729984283448,standard_discopy,furthermore
64,27,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,run_1,Stochastic,2,"Since Team Village wins by eliminating a Werewolf, voting for Daniel is the most logical move based on the shared suspicion expressed in the transcript.",134-139,134,139,Contingency.Cause,Contingency,0.956503689289093,standard_discopy,since
65,27,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,run_1,Stochastic,3,"Although Daniel is identified as a Minion, the strong accusation makes him the primary target for elimination.",287-295,287,295,Comparison.Contrast,Comparison,0.7478855848312378,standard_discopy,although
66,28,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,run_1,Stochastic,1,"Kaelan explicitly accuses Daniel of being the Werewolf in the transcript, stating, 'You were the Werewolf, and now he's the Werewolf.'",107-110,107,110,Expansion.Conjunction,Expansion,0.8719030618667603,standard_discopy,and
67,28,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,run_1,Stochastic,2,"Since Team Village needs to eliminate a Werewolf to win, Daniel is the primary target.",135-140,135,140,Contingency.Cause,Contingency,0.9964392781257628,standard_discopy,since
68,28,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,run_1,Stochastic,3,"Although roles are ambiguous, this direct accusation provides the strongest basis for a vote.",222-230,222,230,Comparison.Contrast,Comparison,0.6785691976547241,standard_discopy,although
69,29,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,run_1,Stochastic,2,"Since there is no direct evidence or accusation pointing towards a Werewolf, I cannot justify a vote.",167-172,167,172,Contingency.Cause,Contingency,0.9904828071594238,standard_discopy,since
70,30,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,run_1,Stochastic,3,"Since I have no verifiable information pointing to a Werewolf, I must conclude that either no Werewolf is present, or the information required to identify them is missing.",299-304,299,304,Contingency.Cause,Contingency,0.9993184804916382,standard_discopy,since
71,30,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,run_1,Stochastic,3,"Since I have no verifiable information pointing to a Werewolf, I must conclude that either no Werewolf is present, or the information required to identify them is missing.",383-389;414-416,383,416,Expansion.Alternative,Expansion,0.8140721321105957,standard_discopy,either or
72,30,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,run_1,Stochastic,3,"Since I have no verifiable information pointing to a Werewolf, I must conclude that either no Werewolf is present, or the information required to identify them is missing.",414-416,414,416,Expansion.Conjunction,Expansion,0.7121457457542419,standard_discopy,or
73,31,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,run_1,Stochastic,2,"Since Team Village wins by eliminating a Werewolf, voting out the Minion is the most logical move based on the current information.",116-121,116,121,Contingency.Cause,Contingency,0.9751562476158142,standard_discopy,since
74,31,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,run_1,Stochastic,3,"While other players are suspected of being the Tanner or Villager, Kaelan's confirmed alignment provides the strongest basis for accusing a Werewolf.",248-253,248,253,Comparison.Contrast,Comparison,0.8600026965141296,standard_discopy,while
75,32,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,Stochastic,1,"The discussion revolves around role identification and swaps (Mason, Troublemaker, Drunk, Tanner), but there is no explicit evidence or accusation pointing towards a Werewolf.",99-102,99,102,Comparison.Contrast,Comparison,0.6184972524642944,standard_discopy,but
76,32,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,Stochastic,2,"Since Team Village wins if no Werewolf is present and no one dies, and I have no information suggesting a Werewolf is active, the safest choice is to assume no Werewolf is present.",176-181,176,181,Contingency.Cause,Contingency,0.9906717538833618,standard_discopy,since
77,32,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,Stochastic,2,"Since Team Village wins if no Werewolf is present and no one dies, and I have no information suggesting a Werewolf is active, the safest choice is to assume no Werewolf is present.",200-202,200,202,Contingency.Condition,Contingency,0.9897043108940125,standard_discopy,if
78,32,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,Stochastic,2,"Since Team Village wins if no Werewolf is present and no one dies, and I have no information suggesting a Werewolf is active, the safest choice is to assume no Werewolf is present.",226-229,226,229,Expansion.Conjunction,Expansion,0.9993488192558287,standard_discopy,and
79,32,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,Stochastic,2,"Since Team Village wins if no Werewolf is present and no one dies, and I have no information suggesting a Werewolf is active, the safest choice is to assume no Werewolf is present.",243-246,243,246,Expansion.Conjunction,Expansion,0.9137669205665588,standard_discopy,and
80,33,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,run_1,Stochastic,2,"However, Jessica was openly suspicious and initiated a vote for herself, which is often a tactic used by players who are trying to deflect suspicion or are themselves the Werewolf.",138-145,138,145,Comparison.Contrast,Comparison,0.7408208250999451,standard_discopy,however
81,33,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,run_1,Stochastic,3,"Since Team Village needs to eliminate a Werewolf, targeting the most suspicious player is the best strategic move to maximize the chance of winning.",319-324,319,324,Contingency.Cause,Contingency,0.9951813817024232,standard_discopy,since
82,34,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,run_1,Stochastic,2,"Jessica claims to be the Minion, a Werewolf aligned role, and Daniel suggests Jessica could be the Werewolf.",166-169,166,169,Expansion.Conjunction,Expansion,0.9246658086776732,standard_discopy,and
83,34,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,run_1,Stochastic,3,"However, there is no concrete evidence or confirmed Werewolf action in the transcript.",217-224,217,224,Comparison.Contrast,Comparison,0.7648885846138,standard_discopy,however
84,34,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,run_1,Stochastic,4,"Since I cannot definitively identify a Werewolf, the safest move is to assume the Werewolf card is in the center, which results in a Team Village win.",304-309,304,309,Contingency.Cause,Contingency,0.9981694221496582,standard_discopy,since
85,35,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,run_1,Stochastic,3,"Since I cannot confidently identify a Werewolf based solely on this discussion, I must conclude that no Werewolf is present among the players.",270-275,270,275,Contingency.Cause,Contingency,0.9976022839546204,standard_discopy,since
