justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text
6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,or,Expansion,or,160,162,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf."
6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,and,Expansion,and,179,182,,0,,contiguous,2,"Chris and Sukeshi explicitly suggest killing her, indicating a strong belief that she is a threat."
6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,since,Contingency,Since,272,277,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, voting Sian out is the best strategic move based on the current public discussion."
7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,with,Contingency,with,36,40,,0,,contiguous,1,"The discussion is highly confusing, with multiple players claiming different roles, especially the Villager role."
7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,however,Comparison,However,114,121,,0,,contiguous,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf."
7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,and,Expansion,and,128,131,,0,,contiguous,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf."
7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,given,Contingency,Given,215,220,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice."
7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,and,Expansion,and,251,254,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice."
7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,for,Contingency,for,308,311,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice."
8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,51,54,,0,,contiguous,1,"The discussion is heavily focused on role swapping and identity confusion, making it difficult to determine true roles."
8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,152,155,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf."
8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,180,183,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf."
8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,as,Temporal,as,210,212,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf."
8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,since,Contingency,Since,234,239,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf, targeting the player most strongly suspected of holding the Werewolf card is the best course of action."
8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,418,421,,0,,contiguous,4,Sean's conflicting statements and the general suspicion surrounding his identity make him a high-priority target.
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,53,56,,0,,contiguous,1,The discussion is highly confusing due to role swaps and conflicting claims about who holds which card.
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,while,Comparison,While,104,109,,0,,contiguous,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript."
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,or,Expansion,or,198,200,,0,,contiguous,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript."
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,since,Contingency,Since,246,251,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active."
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,if,Contingency,if,270,272,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active."
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,296,299,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active."
9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,313,316,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active."
10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,particularly,Expansion,particularly,59,71,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck."
10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,when,Temporal,when,72,76,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck."
10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,and,Expansion,and,135,138,,0,,contiguous,2,"Hunter and Sean explicitly claimed to be Werewolves, which makes them the primary suspects."
10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,for,Contingency,for,281,284,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf."
10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,as,Temporal,as,293,295,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf."
10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,with,Contingency,with,364,368,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf."
11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,although,Comparison,Although,104,112,,0,,contiguous,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation."
11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,and,Expansion,and,158,161,,0,,contiguous,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation."
11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,since,Contingency,Since,246,251,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move."
11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,as,Temporal,as,354,356,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move."
12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,60,63,,0,,contiguous,1,"The discussion transcript reveals significant role swapping and confusion among the players, making it impossible to definitively identify the Werewolf."
12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,while,Comparison,While,153,158,,0,,contiguous,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain."
12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,221,224,,0,,contiguous,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain."
12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,since,Contingency,Since,257,262,,0,,contiguous,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present."
12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,if,Contingency,if,281,283,,0,,contiguous,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present."
12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,356,359,,0,,contiguous,3,"Since Team Village wins if no Werewolves are present (i.e., all Werewolf cards are in the center), and I lack concrete evidence of a Werewolf being active, the safest strategy is to assume no Werewolf is present."
13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,with,Contingency,with,77,81,,0,,contiguous,1,"The discussion centers heavily on the possibility that Zack is the Werewolf, with Jacob suggesting Sean is the Robber who switched cards with Zack to cover up."
13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,with,Contingency,with,137,141,,0,,contiguous,1,"The discussion centers heavily on the possibility that Zack is the Werewolf, with Jacob suggesting Sean is the Robber who switched cards with Zack to cover up."
13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,since,Contingency,Since,160,165,,0,,contiguous,2,"Since Team Village needs to eliminate a Werewolf, voting for Sean targets the player most strongly implicated in the suspected Werewolf scheme."
13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,for,Contingency,for,217,220,,0,,contiguous,2,"Since Team Village needs to eliminate a Werewolf, voting for Sean targets the player most strongly implicated in the suspected Werewolf scheme."
14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,and,Expansion,and,48,51,,0,,contiguous,1,"The discussion centers heavily on role swapping and double bluffs, suggesting that players are actively trying to mislead others about their identities."
14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,and,Expansion,and,188,191,,0,,contiguous,2,"Tyler claims the Troublemaker role and engages in complex arguments designed to deflect suspicion, which aligns with the behavior of a Werewolf trying to sow discord."
14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,with,Contingency,with,265,269,,0,,contiguous,2,"Tyler claims the Troublemaker role and engages in complex arguments designed to deflect suspicion, which aligns with the behavior of a Werewolf trying to sow discord."
14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,given,Contingency,Given,320,325,,0,,contiguous,3,"Given the high level of deception and the focus on who is lying, Tyler is the most likely candidate to be the Werewolf."
14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,and,Expansion,and,354,357,,0,,contiguous,3,"Given the high level of deception and the focus on who is lying, Tyler is the most likely candidate to be the Werewolf."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,48,51,,0,,contiguous,1,The discussion centers heavily on card swapping and identifying the Werewolf.
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,109,112,,0,,contiguous,2,"Clint claimed to be the Drunk, and the conversation quickly devolved into accusations about who was the Robber and Troublemaker."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,189,192,,0,,contiguous,2,"Clint claimed to be the Drunk, and the conversation quickly devolved into accusations about who was the Robber and Troublemaker."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,216,219,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,290,293,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,and,Expansion,and,303,306,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,ultimately,Temporal,ultimately,312,322,,0,,contiguous,3,"Margaret and Erin repeatedly suggest Clint is the Werewolf based on his statements and actions, and Erin ultimately casts a vote."
15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,given,Contingency,Given,337,342,,0,,contiguous,4,"Given the high level of suspicion directed at Clint, he is the primary target to eliminate a potential Werewolf."
16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,however,Comparison,However,129,136,,0,,contiguous,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf."
16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,and,Expansion,and,209,212,,0,,contiguous,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf."
16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,also,Expansion,also,219,223,,0,,contiguous,2,"However, Margaret makes a direct accusation that Erin pulled the Werewolf card, and Tyler also suggests Erin might be the Werewolf."
16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,given,Contingency,Given,261,266,,0,,contiguous,3,"Given the goal is to eliminate a Werewolf, targeting the player who is the subject of the most direct suspicion is the most logical move to maximize the chance of winning."
17,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,run_1,1,Stochastic,for,Contingency,for,67,70,,0,,contiguous,1,"The discussion strongly indicates that Erin is the primary suspect for being the Werewolf, as Tyler and Clint both point towards her as the culprit."
17,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,run_1,1,Stochastic,as,Temporal,as,91,93,,0,,contiguous,1,"The discussion strongly indicates that Erin is the primary suspect for being the Werewolf, as Tyler and Clint both point towards her as the culprit."
