stage,model,run_label,category,n_justifications,n_present,prevalence_pct
base,Gemma 4 4B,run_3,ClaimComparison,191,38,19.895287958115183
base,Gemma 4 4B,run_3,Payoff,191,136,71.20418848167539
base,Gemma 4 4B,run_3,Uncertainty,191,80,41.8848167539267
base,Gemma 4 4B,run_3,Other,191,2,1.0471204188481675
ft,Gemma 4 4B,run_1,Mechanical,191,16,8.37696335078534
ft,Gemma 4 4B,run_1,Testimony,191,141,73.82198952879581
ft,Gemma 4 4B,run_1,SocialJudgment,191,112,58.63874345549738
ft,Gemma 4 4B,run_1,Behavioral,191,129,67.5392670157068
ft,Gemma 4 4B,run_1,ClaimComparison,191,29,15.18324607329843
ft,Gemma 4 4B,run_1,Payoff,191,157,82.19895287958116
ft,Gemma 4 4B,run_1,Uncertainty,191,43,22.5130890052356
ft,Gemma 4 4B,run_1,Other,191,1,0.5235602094240838
ft,Gemma 4 4B,run_2,Mechanical,191,14,7.329842931937172
ft,Gemma 4 4B,run_2,Testimony,191,138,72.25130890052355
ft,Gemma 4 4B,run_2,SocialJudgment,191,106,55.497382198952884
ft,Gemma 4 4B,run_2,Behavioral,191,128,67.01570680628272
ft,Gemma 4 4B,run_2,ClaimComparison,191,34,17.801047120418847
ft,Gemma 4 4B,run_2,Payoff,191,160,83.7696335078534
ft,Gemma 4 4B,run_2,Uncertainty,191,45,23.56020942408377
ft,Gemma 4 4B,run_2,Other,191,2,1.0471204188481675
ft,Gemma 4 4B,run_3,Mechanical,191,15,7.853403141361256
ft,Gemma 4 4B,run_3,Testimony,191,134,70.15706806282722
ft,Gemma 4 4B,run_3,SocialJudgment,191,101,52.879581151832454
ft,Gemma 4 4B,run_3,Behavioral,191,118,61.78010471204188
ft,Gemma 4 4B,run_3,ClaimComparison,191,31,16.230366492146597
ft,Gemma 4 4B,run_3,Payoff,191,156,81.67539267015707
ft,Gemma 4 4B,run_3,Uncertainty,191,39,20.418848167539267
ft,Gemma 4 4B,run_3,Other,191,2,1.0471204188481675
base,Gemma 4 31B,run_1,Mechanical,188,100,53.191489361702125
base,Gemma 4 31B,run_1,Testimony,188,182,96.80851063829788
base,Gemma 4 31B,run_1,SocialJudgment,188,50,26.595744680851062
base,Gemma 4 31B,run_1,Behavioral,188,115,61.170212765957444
base,Gemma 4 31B,run_1,ClaimComparison,188,110,58.51063829787234
base,Gemma 4 31B,run_1,Payoff,188,57,30.319148936170215
base,Gemma 4 31B,run_1,Uncertainty,188,22,11.702127659574469
base,Gemma 4 31B,run_1,Other,188,5,2.6595744680851063
base,Gemma 4 31B,run_2,Mechanical,188,101,53.72340425531915
base,Gemma 4 31B,run_2,Testimony,188,187,99.46808510638297
base,Gemma 4 31B,run_2,SocialJudgment,188,64,34.04255319148936
base,Gemma 4 31B,run_2,Behavioral,188,117,62.23404255319149
base,Gemma 4 31B,run_2,ClaimComparison,188,101,53.72340425531915
base,Gemma 4 31B,run_2,Payoff,188,43,22.872340425531913
base,Gemma 4 31B,run_2,Uncertainty,188,23,12.23404255319149
base,Gemma 4 31B,run_2,Other,188,4,2.127659574468085
base,Gemma 4 31B,run_3,Mechanical,188,100,53.191489361702125
base,Gemma 4 31B,run_3,Testimony,188,185,98.40425531914893
base,Gemma 4 31B,run_3,SocialJudgment,188,56,29.78723404255319
base,Gemma 4 31B,run_3,Behavioral,188,113,60.1063829787234
base,Gemma 4 31B,run_3,ClaimComparison,188,109,57.97872340425532
base,Gemma 4 31B,run_3,Payoff,188,54,28.723404255319153
base,Gemma 4 31B,run_3,Uncertainty,188,16,8.51063829787234
base,Gemma 4 31B,run_3,Other,188,7,3.723404255319149
ft,Gemma 4 31B,run_1,Mechanical,188,90,47.87234042553192
ft,Gemma 4 31B,run_1,Testimony,188,186,98.93617021276596
ft,Gemma 4 31B,run_1,SocialJudgment,188,58,30.851063829787233
ft,Gemma 4 31B,run_1,Behavioral,188,125,66.48936170212765
ft,Gemma 4 31B,run_1,ClaimComparison,188,117,62.23404255319149
ft,Gemma 4 31B,run_1,Payoff,188,35,18.617021276595743
ft,Gemma 4 31B,run_1,Uncertainty,188,18,9.574468085106384
ft,Gemma 4 31B,run_1,Other,188,2,1.0638297872340425
ft,Gemma 4 31B,run_2,Mechanical,188,101,53.72340425531915
ft,Gemma 4 31B,run_2,Testimony,188,185,98.40425531914893
ft,Gemma 4 31B,run_2,SocialJudgment,188,65,34.57446808510639
ft,Gemma 4 31B,run_2,Behavioral,188,124,65.95744680851064
ft,Gemma 4 31B,run_2,ClaimComparison,188,105,55.85106382978723
ft,Gemma 4 31B,run_2,Payoff,188,28,14.893617021276595
ft,Gemma 4 31B,run_2,Uncertainty,188,17,9.042553191489363
ft,Gemma 4 31B,run_2,Other,188,4,2.127659574468085
ft,Gemma 4 31B,run_3,Mechanical,188,88,46.808510638297875
ft,Gemma 4 31B,run_3,Testimony,188,188,100.0
ft,Gemma 4 31B,run_3,SocialJudgment,188,65,34.57446808510639
ft,Gemma 4 31B,run_3,Behavioral,188,126,67.02127659574468
ft,Gemma 4 31B,run_3,ClaimComparison,188,115,61.170212765957444
ft,Gemma 4 31B,run_3,Payoff,188,39,20.74468085106383
ft,Gemma 4 31B,run_3,Uncertainty,188,18,9.574468085106384
ft,Gemma 4 31B,run_3,Other,188,3,1.5957446808510638
