marker,provisional_category,possible_categories,n_possible_categories,category_scores,dominance_share,exact_tie,assignment_method,possible_senses,is_discontinuous,components,n_components,component_variants_json,assigned_category,manually_overridden,matching_mode,use_for_contiguous_matching,use_for_discontinuous_matching,included_in_matching,use_for_matching
on the contrary,Comparison,Comparison,1,Comparison: 4,1.0,False,highest summed DiMLex frequency,Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition,False,,1,[],Comparison,False,contiguous,True,False,True,True
on the one hand on the other hand,Comparison,Comparison,1,Comparison: 1,1.0,False,highest summed DiMLex frequency,Comparison.Contrast,True,on the one hand ... on the other hand,2,"[[""on the one hand"", ""on the other hand""]]",Comparison,False,discontinuous,False,True,True,False
on the other hand,Comparison,Comparison | Expansion,2,Comparison: 36 | Expansion: 1,0.972972972972973,False,highest summed DiMLex frequency,Comparison | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Expansion.Conjunction,False,,1,[],Comparison,False,contiguous,True,False,True,True
regardless,Comparison,Comparison,1,Comparison: 2,1.0,False,highest summed DiMLex frequency,Comparison.Concession.Contra-expectation,False,,1,[],Comparison,False,contiguous,True,False,True,True
still,Comparison,Comparison | Temporal,2,Comparison: 187 | Temporal: 3,0.9842105263157894,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Temporal.Asynchronous.Precedence | Temporal.Synchrony,False,,1,[],Comparison,False,contiguous,True,False,True,True
though,Comparison,Comparison,1,Comparison: 320,1.0,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition,False,,1,[],Comparison,False,contiguous,True,False,True,True
whereas,Comparison,Comparison,1,Comparison: 5,1.0,False,highest summed DiMLex frequency,Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition,False,,1,[],Comparison,False,contiguous,True,False,True,True
while,Comparison,Comparison | Temporal | Expansion,3,Comparison: 516 | Temporal: 202 | Expansion: 63,0.6606914212548015,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Expansion.Conjunction | Expansion.List | Temporal.Synchrony,False,,1,[],Comparison,False,contiguous,True,False,True,True
yet,Comparison,Comparison | Expansion,2,Comparison: 98 | Expansion: 3,0.9702970297029703,False,highest summed DiMLex frequency,Comparison | Comparison.Concession.Contra-expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Expansion.Conjunction,False,,1,[],Comparison,False,contiguous,True,False,True,True
accordingly,Contingency,Contingency,1,Contingency: 5,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
after all,Contingency,Contingency | Expansion,2,Contingency: 1 | Expansion: 1,0.5,True,largest number of DiMLex sense entries,Contingency.Pragmatic Cause.Justification | Expansion.Conjunction,False,,1,[],Contingency,False,contiguous,True,False,True,True
as a result,Contingency,Contingency,1,Contingency: 78,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
as a result of,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency.Cause.Reason,False,,1,[],Contingency,False,contiguous,True,False,True,True
as long as,Contingency,Contingency | Temporal,2,Contingency: 16 | Temporal: 8,0.6666666666666666,False,highest summed DiMLex frequency,Contingency.Condition.Factual present | Contingency.Condition.General | Contingency.Condition.Hypothetical | Temporal.Synchrony,False,,1,[],Contingency,False,contiguous,True,False,True,True
because,Contingency,Contingency,1,Contingency: 858,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Reason | Contingency.Pragmatic cause.Justification | Contingency.Pragmatic condition.Implicit assertion,False,,1,[],Contingency,False,contiguous,True,False,True,True
because of,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency.Cause.Reason,False,,1,[],Contingency,False,contiguous,True,False,True,True
consequently,Contingency,Contingency,1,Contingency: 10,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
for,Contingency,Contingency,1,Contingency: 3,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Reason,False,,1,[],Contingency,False,contiguous,True,False,True,True
given,Contingency,Contingency,1,Contingency: 3,1.0,False,largest number of DiMLex sense entries,Contingency.Cause.Reason | Contingency.Condition.General | Contingency.Pragmatic Cause.Justification,False,,1,[],Contingency,False,contiguous,True,False,True,True
given that,Contingency,Contingency,1,Contingency: 3,1.0,False,largest number of DiMLex sense entries,Contingency.Cause.Reason | Contingency.Condition.General | Contingency.Pragmatic Cause.Justification,False,,1,[],Contingency,False,contiguous,True,False,True,True
hence,Contingency,Contingency,1,Contingency: 4,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
if,Contingency,Contingency | Comparison | Expansion,3,Contingency: 1174 | Comparison: 48 | Expansion: 1,0.9599345870809485,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Pragmatic contrast | Contingency.Cause.Result | Contingency.Condition | Contingency.Condition.Factual past | Contingency.Condition.Factual present | Contingency.Condition.General | Contingency.Condition.Hypothetical | Contingency.Condition.Unreal past | Contingency.Condition.Unreal present | Contingency.Pragmatic condition.Implicit assertion | Contingency.Pragmatic condition.Relevance | Expansion.Restatement.Specification,False,,1,[],Contingency,False,contiguous,True,False,True,True
if and when,Contingency,Contingency,1,Contingency: 3,1.0,False,highest summed DiMLex frequency,Contingency.Condition.General | Contingency.Condition.Hypothetical,False,,1,[],Contingency,False,contiguous,True,False,True,True
if then,Contingency,Contingency,1,Contingency: 38,1.0,False,highest summed DiMLex frequency,Contingency.Condition.Factual present | Contingency.Condition.General | Contingency.Condition.Hypothetical | Contingency.Condition.Unreal past | Contingency.Pragmatic condition.Implicit assertion,True,if ... then,2,"[[""if"", ""then""]]",Contingency,False,discontinuous,False,True,True,False
in case,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency.Condition.General,False,,1,[],Contingency,False,contiguous,True,False,True,True
in response to,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency.Cause.Reason,False,,1,[],Contingency,False,contiguous,True,False,True,True
in this way,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
insofar as,Contingency,Contingency,1,Contingency: 1,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Reason,False,,1,[],Contingency,False,contiguous,True,False,True,True
irrespective of,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency,False,,1,[],Contingency,False,contiguous,True,False,True,True
lest,Contingency,Contingency | Expansion,2,Contingency: 1 | Expansion: 1,0.5,True,highest summed DiMLex frequency,Contingency.Condition.Hypothetical | Expansion.Alternative.Disjunctive,False,,1,[],Contingency,False,contiguous,True,False,True,True
now that,Contingency,Contingency | Temporal,2,Contingency: 15 | Temporal: 7,0.6818181818181818,False,highest summed DiMLex frequency,Contingency.Cause.Reason | Contingency.Cause.Result | Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Contingency,False,contiguous,True,False,True,True
since,Contingency,Contingency | Temporal,2,Contingency: 96 | Temporal: 88,0.5217391304347826,False,highest summed DiMLex frequency,Contingency.Cause.Reason | Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Contingency,False,contiguous,True,False,True,True
so,Contingency,Contingency,1,Contingency: 263,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Reason | Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
so that,Contingency,Contingency,1,Contingency: 31,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
thereby,Contingency,Contingency,1,Contingency: 12,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
therefore,Contingency,Contingency,1,Contingency: 26,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
thus,Contingency,Contingency,1,Contingency: 112,1.0,False,highest summed DiMLex frequency,Contingency.Cause.Result,False,,1,[],Contingency,False,contiguous,True,False,True,True
whatever,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency,False,,1,[],Contingency,False,contiguous,True,False,True,True
when/then,Contingency,Contingency,1,Contingency: 1,1.0,False,largest number of DiMLex sense entries,Contingency.Conditon,True,when ... then,2,"[[""when"", ""then""]]",Contingency,False,discontinuous,False,True,True,False
with,Contingency,Contingency | Expansion,2,Contingency: 3 | Expansion: 2,0.6,False,largest number of DiMLex sense entries,Contingency.Cause.Reason | Contingency.Cause.Result | Expansion.Conjunction | Expansion.Restatement.Specification,False,,1,[],Contingency,False,contiguous,True,False,True,True
without,Contingency,Contingency | Expansion,2,Contingency: 2 | Expansion: 1,0.6666666666666666,False,largest number of DiMLex sense entries,Contingency.Condition.General | Contingency.Condition.Unreal Past | Expansion.Conjunction,False,,1,[],Contingency,False,contiguous,True,False,True,True
additionally,Expansion,Expansion,1,Expansion: 7,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
also,Expansion,Expansion | Temporal,2,Expansion: 1745 | Temporal: 1,0.9994272623138603,False,highest summed DiMLex frequency,Expansion.Conjunction | Expansion.List | Expansion.Restatement.Specification | Temporal.Synchrony,False,,1,[],Expansion,False,contiguous,True,False,True,True
alternatively,Expansion,Expansion,1,Expansion: 6,1.0,False,highest summed DiMLex frequency,Expansion.Alternative | Expansion.Alternative.Disjunctive,False,,1,[],Expansion,False,contiguous,True,False,True,True
and,Expansion,Expansion | Contingency | Comparison | Temporal,4,Expansion: 2905 | Contingency: 68 | Comparison: 22 | Temporal: 5,0.9683333333333334,False,highest summed DiMLex frequency,Comparison.Concession.Contra-expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Contingency.Cause.Result | Contingency.Condition.General | Contingency.Condition.Hypothetical | Expansion | Expansion.Conjunction | Expansion.Instantiation | Expansion.List | Expansion.Restatement.Generalization | Expansion.Restatement.Specification | Temporal.Asynchronous.Precedence,False,,1,[],Expansion,False,contiguous,True,False,True,True
anyway,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
as an alternative,Expansion,Expansion,1,Expansion: 2,1.0,False,highest summed DiMLex frequency,Expansion.Alternative.Disjunctive,False,,1,[],Expansion,False,contiguous,True,False,True,True
as if,Expansion,Expansion | Comparison,2,Expansion: 11 | Comparison: 5,0.6875,False,highest summed DiMLex frequency,Comparison.Concession.Contra-expectation | Comparison.Pragmatic concession | Expansion,False,,1,[],Expansion,False,contiguous,True,False,True,True
as well,Expansion,Expansion,1,Expansion: 6,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
aside from,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
besides,Expansion,Expansion | Comparison,2,Expansion: 18 | Comparison: 1,0.9473684210526315,False,highest summed DiMLex frequency,Comparison.Contrast.Juxtaposition | Expansion.Alternative.Conjunctive | Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
either or,Expansion,Expansion,1,Expansion: 4,1.0,False,highest summed DiMLex frequency,Expansion.Alternative | Expansion.Alternative.Conjunctive | Expansion.Alternative.Disjunctive,True,either ... or,2,"[[""either"", ""or""]]",Expansion,False,discontinuous,False,True,True,False
else,Expansion,Expansion,1,Expansion: 1,1.0,False,highest summed DiMLex frequency,Expansion.Alternative,False,,1,[],Expansion,False,contiguous,True,False,True,True
essentially,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Instantiation,False,,1,[],Expansion,False,contiguous,True,False,True,True
except,Expansion,Expansion,1,Expansion: 10,1.0,False,highest summed DiMLex frequency,Expansion.Alternative.Disjunctive | Expansion.Exception,False,,1,[],Expansion,False,contiguous,True,False,True,True
except that,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Exception,False,,1,[],Expansion,False,contiguous,True,False,True,True
finally,Expansion,Expansion | Temporal,2,Expansion: 20 | Temporal: 12,0.625,False,highest summed DiMLex frequency,Expansion | Expansion.Conjunction | Expansion.List | Temporal.Asynchronous.Precedence,False,,1,[],Expansion,False,contiguous,True,False,True,True
for example,Expansion,Expansion,1,Expansion: 196,1.0,False,highest summed DiMLex frequency,Expansion.Instantiation | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
for instance,Expansion,Expansion,1,Expansion: 98,1.0,False,highest summed DiMLex frequency,Expansion.Instantiation,False,,1,[],Expansion,False,contiguous,True,False,True,True
for one,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Instantiation,False,,1,[],Expansion,False,contiguous,True,False,True,True
for one thing,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Instantiation,False,,1,[],Expansion,False,contiguous,True,False,True,True
further,Expansion,Expansion,1,Expansion: 9,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
furthermore,Expansion,Expansion,1,Expansion: 11,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
in addition,Expansion,Expansion,1,Expansion: 165,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
in addition to,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
in any case,Expansion,Expansion,1,Expansion: 2,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction | Expansion.Restatement.Generalization,False,,1,[],Expansion,False,contiguous,True,False,True,True
in any event,Expansion,Expansion,1,Expansion: 2,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction | Expansion.Restatement.Generalization,False,,1,[],Expansion,False,contiguous,True,False,True,True
in essence,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
in fact,Expansion,Expansion | Comparison,2,Expansion: 76 | Comparison: 6,0.926829268292683,False,highest summed DiMLex frequency,Comparison | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Expansion | Expansion.Conjunction | Expansion.Instantiation | Expansion.Restatement | Expansion.Restatement.Generalization | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
in other words,Expansion,Expansion,1,Expansion: 17,1.0,False,highest summed DiMLex frequency,Expansion.Restatement | Expansion.Restatement.Equivalence | Expansion.Restatement.Generalization,False,,1,[],Expansion,False,contiguous,True,False,True,True
in particular,Expansion,Expansion,1,Expansion: 15,1.0,False,highest summed DiMLex frequency,Expansion.Instantiation | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
in short,Expansion,Expansion,1,Expansion: 4,1.0,False,highest summed DiMLex frequency,Expansion.Restatement.Generalization,False,,1,[],Expansion,False,contiguous,True,False,True,True
in sum,Expansion,Expansion,1,Expansion: 2,1.0,False,highest summed DiMLex frequency,Expansion.Restatement.Generalization,False,,1,[],Expansion,False,contiguous,True,False,True,True
in the end,Expansion,Expansion | Comparison | Contingency | Temporal,4,Expansion: 5 | Comparison: 2 | Contingency: 1 | Temporal: 1,0.5555555555555556,False,highest summed DiMLex frequency,Comparison.Concession.Contra-expectation | Comparison.Contrast.Juxtaposition | Contingency.Cause.Result | Expansion | Expansion.Conjunction | Expansion.Restatement.Generalization | Expansion.Restatement.Specification | Temporal.Asynchronous.Precedence,False,,1,[],Expansion,False,contiguous,True,False,True,True
indeed,Expansion,Expansion | Contingency | Comparison,3,Expansion: 99 | Contingency: 4 | Comparison: 1,0.9519230769230769,False,highest summed DiMLex frequency,Comparison | Contingency.Pragmatic cause.Justification | Expansion | Expansion.Conjunction | Expansion.Instantiation | Expansion.Restatement | Expansion.Restatement.Equivalence | Expansion.Restatement.Generalization | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
instead,Expansion,Expansion | Comparison,2,Expansion: 109 | Comparison: 3,0.9732142857142857,False,highest summed DiMLex frequency,Comparison.Contrast | Comparison.Contrast.Juxtaposition | Expansion.Alternative | Expansion.Alternative.Chosen alternative,False,,1,[],Expansion,False,contiguous,True,False,True,True
likewise,Expansion,Expansion,1,Expansion: 8,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
moreover,Expansion,Expansion,1,Expansion: 101,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction | Expansion.List,False,,1,[],Expansion,False,contiguous,True,False,True,True
neither nor,Expansion,Expansion | Comparison,2,Expansion: 2 | Comparison: 1,0.6666666666666666,False,highest summed DiMLex frequency,Comparison.Contrast.Opposition | Expansion.Alternative.Disjunctive | Expansion.Conjunction,True,neither ... nor,2,"[[""neither"", ""nor""]]",Expansion,False,discontinuous,False,True,True,False
nor,Expansion,Expansion | Comparison,2,Expansion: 30 | Comparison: 1,0.967741935483871,False,highest summed DiMLex frequency,Comparison.Contrast | Expansion.Alternative | Expansion.Alternative.Conjunctive | Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
not only/but,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Conjunction,True,not only ... but,2,"[[""not only"", ""but""]]",Expansion,False,discontinuous,False,True,True,False
or,Expansion,Expansion | Contingency | Comparison,3,Expansion: 95 | Contingency: 2 | Comparison: 1,0.9693877551020408,False,highest summed DiMLex frequency,Comparison.Contrast | Contingency.Pragmatic condition.Implicit assertion | Expansion | Expansion.Alternative | Expansion.Alternative.Conjunctive | Expansion.Alternative.Disjunctive | Expansion.Conjunction | Expansion.Restatement | Expansion.Restatement.Equivalence,False,,1,[],Expansion,False,contiguous,True,False,True,True
otherwise,Expansion,Expansion,1,Expansion: 24,1.0,False,highest summed DiMLex frequency,Expansion.Alternative.Conjunctive | Expansion.Alternative.Disjunctive | Expansion.Exception,False,,1,[],Expansion,False,contiguous,True,False,True,True
overall,Expansion,Expansion,1,Expansion: 12,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction | Expansion.Restatement | Expansion.Restatement.Generalization | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
particularly,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
plus,Expansion,Expansion,1,Expansion: 1,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
quite the contrary,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Alternative.Chosen Alternative,False,,1,[],Expansion,False,contiguous,True,False,True,True
rather,Expansion,Expansion | Comparison,2,Expansion: 13 | Comparison: 4,0.7647058823529411,False,highest summed DiMLex frequency,Comparison.Contrast | Comparison.Contrast.Juxtaposition | Expansion.Alternative.Chosen alternative | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
rather than,Expansion,Expansion,1,Expansion: 1,1.0,False,largest number of DiMLex sense entries,Expansion.Alternative.Chosen Alternative,False,,1,[],Expansion,False,contiguous,True,False,True,True
separately,Expansion,Expansion,1,Expansion: 74,1.0,False,highest summed DiMLex frequency,Expansion.Alternative | Expansion.Conjunction | Expansion.List,False,,1,[],Expansion,False,contiguous,True,False,True,True
similarly,Expansion,Expansion,1,Expansion: 18,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction,False,,1,[],Expansion,False,contiguous,True,False,True,True
specifically,Expansion,Expansion,1,Expansion: 10,1.0,False,highest summed DiMLex frequency,Expansion.Conjunction | Expansion.Restatement.Specification,False,,1,[],Expansion,False,contiguous,True,False,True,True
unless,Expansion,Expansion | Contingency,2,Expansion: 94 | Contingency: 1,0.9894736842105263,False,highest summed DiMLex frequency,Contingency.Condition.Hypothetical | Expansion.Alternative.Disjunctive,False,,1,[],Expansion,False,contiguous,True,False,True,True
after,Temporal,Temporal | Comparison,2,Temporal: 575 | Comparison: 2,0.9965337954939342,False,highest summed DiMLex frequency,Comparison.Concession.Expectation | Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
after that,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
afterward,Temporal,Temporal,1,Temporal: 11,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Precedence,False,,1,[],Temporal,False,contiguous,True,False,True,True
as,Temporal,Temporal | Contingency | Comparison | Expansion,4,Temporal: 522 | Contingency: 214 | Comparison: 5 | Expansion: 2,0.702557200538358,False,highest summed DiMLex frequency,Comparison | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast.Opposition | Contingency.Cause.Reason | Contingency.Pragmatic cause.Justification | Expansion | Expansion.Conjunction | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
as soon as,Temporal,Temporal,1,Temporal: 20,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
at that point,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Synchronous,False,,1,[],Temporal,False,contiguous,True,False,True,True
