model,decoding_group,semantic_category,discourse_relation,n_runs,mean_localization_rate,sd_localization_rate,min_localization_rate,max_localization_rate,total_n_with_both,total_n_same_sentence
Gemma 4 2B,Greedy,SocialJudgment,Any explicit,1,0.851063829787234,,0.851063829787234,0.851063829787234,94,80
Gemma 4 2B,Greedy,Behavioral,Comparison,1,0.6842105263157895,,0.6842105263157895,0.6842105263157895,19,13
Gemma 4 2B,Greedy,Behavioral,Contingency,1,0.4090909090909091,,0.4090909090909091,0.4090909090909091,22,9
Gemma 4 2B,Greedy,Behavioral,Expansion,1,0.5384615384615384,,0.5384615384615384,0.5384615384615384,13,7
Gemma 4 2B,Greedy,Behavioral,Temporal,1,1.0,,1.0,1.0,3,3
Gemma 4 2B,Greedy,Behavioral,Any explicit,1,0.7272727272727273,,0.7272727272727273,0.7272727272727273,33,24
Gemma 4 2B,Greedy,ClaimComparison,Comparison,1,0.8,,0.8,0.8,10,8
Gemma 4 2B,Greedy,ClaimComparison,Contingency,1,0.1111111111111111,,0.1111111111111111,0.1111111111111111,9,1
Gemma 4 2B,Greedy,ClaimComparison,Expansion,1,0.8,,0.8,0.8,10,8
Gemma 4 2B,Greedy,ClaimComparison,Temporal,1,0.8,,0.8,0.8,5,4
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,0.8666666666666667,,0.8666666666666667,0.8666666666666667,15,13
Gemma 4 2B,Greedy,Payoff,Comparison,1,0.08411214953271028,,0.08411214953271028,0.08411214953271028,107,9
Gemma 4 2B,Greedy,Payoff,Contingency,1,0.9487179487179487,,0.9487179487179487,0.9487179487179487,117,111
Gemma 4 2B,Greedy,Payoff,Expansion,1,0.36666666666666664,,0.36666666666666664,0.36666666666666664,90,33
Gemma 4 2B,Greedy,Payoff,Temporal,1,0.0,,0.0,0.0,24,0
Gemma 4 2B,Greedy,Payoff,Any explicit,1,0.7142857142857143,,0.7142857142857143,0.7142857142857143,168,120
Gemma 4 2B,Greedy,Uncertainty,Comparison,1,0.6593406593406593,,0.6593406593406593,0.6593406593406593,91,60
Gemma 4 2B,Greedy,Uncertainty,Contingency,1,0.5222222222222223,,0.5222222222222223,0.5222222222222223,90,47
Gemma 4 2B,Greedy,Uncertainty,Expansion,1,0.5806451612903226,,0.5806451612903226,0.5806451612903226,62,36
Gemma 4 2B,Greedy,Uncertainty,Temporal,1,0.0,,0.0,0.0,11,0
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,0.7416666666666667,,0.7416666666666667,0.7416666666666667,120,89
Gemma 4 4B,Stochastic,Mechanical,Comparison,3,0.5333333333333333,0.15275252316519464,0.4,0.7,30,16
Gemma 4 4B,Stochastic,Mechanical,Contingency,3,0.373015873015873,0.11251941967268117,0.2857142857142857,0.5,20,7
Gemma 4 4B,Stochastic,Mechanical,Expansion,3,0.2642857142857143,0.12916529514303662,0.14285714285714285,0.4,16,4
Gemma 4 4B,Stochastic,Mechanical,Temporal,3,0.5888888888888889,0.0838870492807861,0.5,0.6666666666666666,10,6
Gemma 4 4B,Stochastic,Mechanical,Any explicit,3,0.7222222222222222,0.09622504486493767,0.6666666666666666,0.8333333333333334,39,28
Gemma 4 4B,Stochastic,Testimony,Comparison,3,0.5707185411935091,0.007552682833662393,0.5641025641025641,0.5789473684210527,354,202
Gemma 4 4B,Stochastic,Testimony,Contingency,3,0.5314814814814816,0.10305684502204836,0.46296296296296297,0.65,148,77
Gemma 4 4B,Stochastic,Testimony,Expansion,3,0.5676580333625988,0.01854429213708355,0.5522388059701493,0.5882352941176471,199,113
Gemma 4 4B,Stochastic,Testimony,Temporal,3,0.8497649352138517,0.011301832263069534,0.8421052631578947,0.8627450980392157,134,114
Gemma 4 4B,Stochastic,Testimony,Any explicit,3,0.8186117126410147,0.020440613457709107,0.8029197080291971,0.841726618705036,419,343
Gemma 4 4B,Stochastic,SocialJudgment,Comparison,3,0.7194092827004219,0.05330270171269998,0.6582278481012658,0.7558139534883721,251,181
Gemma 4 4B,Stochastic,SocialJudgment,Contingency,3,0.34,0.05291502622129183,0.3,0.4,75,26
Gemma 4 4B,Stochastic,SocialJudgment,Expansion,3,0.7118406285072952,0.10251520815345465,0.6136363636363636,0.8181818181818182,153,110
Gemma 4 4B,Stochastic,SocialJudgment,Temporal,3,0.5522251500512371,0.071215030474002,0.4722222222222222,0.6086956521739131,92,50
Gemma 4 4B,Stochastic,SocialJudgment,Any explicit,3,0.8200349637320139,0.06799787226874734,0.7628865979381443,0.8952380952380953,303,249
Gemma 4 4B,Stochastic,Behavioral,Comparison,3,0.7516111375955647,0.0518056042157071,0.7096774193548387,0.8095238095238095,264,198
Gemma 4 4B,Stochastic,Behavioral,Contingency,3,0.36764346764346767,0.060445480155578935,0.3076923076923077,0.42857142857142855,84,31
Gemma 4 4B,Stochastic,Behavioral,Expansion,3,0.6346532702915683,0.08433970431281926,0.5555555555555556,0.723404255319149,140,89
Gemma 4 4B,Stochastic,Behavioral,Temporal,3,0.5377292852624921,0.10028944700261552,0.45,0.6470588235294118,105,56
Gemma 4 4B,Stochastic,Behavioral,Any explicit,3,0.8171265565286521,0.05549445146672811,0.7837837837837838,0.8811881188118812,315,257
Gemma 4 4B,Stochastic,ClaimComparison,Comparison,3,0.5652130325814536,0.12222385194072699,0.44,0.6842105263157895,72,40
Gemma 4 4B,Stochastic,ClaimComparison,Contingency,3,0.3007936507936508,0.10911760421448362,0.2,0.4166666666666667,24,8
Gemma 4 4B,Stochastic,ClaimComparison,Expansion,3,0.4349128540305011,0.19502770853646795,0.23529411764705882,0.625,51,22
Gemma 4 4B,Stochastic,ClaimComparison,Temporal,3,0.9326599326599326,0.05918651795032644,0.8888888888888888,1.0,63,59
Gemma 4 4B,Stochastic,ClaimComparison,Any explicit,3,0.8747904243367038,0.028820172429396117,0.8421052631578947,0.896551724137931,102,89
Gemma 4 4B,Stochastic,Payoff,Comparison,3,0.20180765987500418,0.030555913181702653,0.17543859649122806,0.23529411764705882,329,66
Gemma 4 4B,Stochastic,Payoff,Contingency,3,0.562716049382716,0.06817363989138499,0.5111111111111111,0.64,149,84
Gemma 4 4B,Stochastic,Payoff,Expansion,3,0.32866899883391637,0.05063613999560995,0.27586206896551724,0.37681159420289856,196,65
Gemma 4 4B,Stochastic,Payoff,Temporal,3,0.05000000000000001,0.05,0.0,0.1,104,5
Gemma 4 4B,Stochastic,Payoff,Any explicit,3,0.41536679694574435,0.0510480540427454,0.3609022556390977,0.4621212121212121,395,164
Gemma 4 4B,Stochastic,Uncertainty,Comparison,3,0.5284550695509599,0.08986172692180991,0.42857142857142855,0.6027397260273972,217,115
Gemma 4 4B,Stochastic,Uncertainty,Contingency,3,0.30994623655913983,0.09574837130210931,0.2,0.375,80,25
Gemma 4 4B,Stochastic,Uncertainty,Expansion,3,0.22154882154882158,0.021220136372510075,0.2,0.24242424242424243,104,23
Gemma 4 4B,Stochastic,Uncertainty,Temporal,3,0.11596638655462184,0.054310684477500926,0.07142857142857142,0.17647058823529413,41,5
Gemma 4 4B,Stochastic,Uncertainty,Any explicit,3,0.56046783625731,0.09772895686515734,0.4533333333333333,0.6447368421052632,235,132
Gemma 4 4B,Greedy,Mechanical,Comparison,1,0.2222222222222222,,0.2222222222222222,0.2222222222222222,9,2
Gemma 4 4B,Greedy,Mechanical,Contingency,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,9,6
Gemma 4 4B,Greedy,Mechanical,Expansion,1,0.0,,0.0,0.0,5,0
Gemma 4 4B,Greedy,Mechanical,Temporal,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,3,2
Gemma 4 4B,Greedy,Mechanical,Any explicit,1,0.5714285714285714,,0.5714285714285714,0.5714285714285714,14,8
Gemma 4 4B,Greedy,Testimony,Comparison,1,0.67,,0.67,0.67,100,67
Gemma 4 4B,Greedy,Testimony,Contingency,1,0.37735849056603776,,0.37735849056603776,0.37735849056603776,53,20
Gemma 4 4B,Greedy,Testimony,Expansion,1,0.5079365079365079,,0.5079365079365079,0.5079365079365079,63,32
Gemma 4 4B,Greedy,Testimony,Temporal,1,0.8723404255319149,,0.8723404255319149,0.8723404255319149,47,41
Gemma 4 4B,Greedy,Testimony,Any explicit,1,0.7481481481481481,,0.7481481481481481,0.7481481481481481,135,101
Gemma 4 4B,Greedy,SocialJudgment,Comparison,1,0.7692307692307693,,0.7692307692307693,0.7692307692307693,78,60
Gemma 4 4B,Greedy,SocialJudgment,Contingency,1,0.23076923076923078,,0.23076923076923078,0.23076923076923078,26,6
Gemma 4 4B,Greedy,SocialJudgment,Expansion,1,0.8,,0.8,0.8,60,48
Gemma 4 4B,Greedy,SocialJudgment,Temporal,1,0.6296296296296297,,0.6296296296296297,0.6296296296296297,27,17
Gemma 4 4B,Greedy,SocialJudgment,Any explicit,1,0.8235294117647058,,0.8235294117647058,0.8235294117647058,102,84
Gemma 4 4B,Greedy,Behavioral,Comparison,1,0.6197183098591549,,0.6197183098591549,0.6197183098591549,71,44
Gemma 4 4B,Greedy,Behavioral,Contingency,1,0.19047619047619047,,0.19047619047619047,0.19047619047619047,21,4
Gemma 4 4B,Greedy,Behavioral,Expansion,1,0.5957446808510638,,0.5957446808510638,0.5957446808510638,47,28
Gemma 4 4B,Greedy,Behavioral,Temporal,1,0.45714285714285713,,0.45714285714285713,0.45714285714285713,35,16
Gemma 4 4B,Greedy,Behavioral,Any explicit,1,0.7096774193548387,,0.7096774193548387,0.7096774193548387,93,66
Gemma 4 4B,Greedy,ClaimComparison,Comparison,1,0.5238095238095238,,0.5238095238095238,0.5238095238095238,21,11
Gemma 4 4B,Greedy,ClaimComparison,Contingency,1,0.0,,0.0,0.0,6,0
Gemma 4 4B,Greedy,ClaimComparison,Expansion,1,0.4,,0.4,0.4,15,6
Gemma 4 4B,Greedy,ClaimComparison,Temporal,1,0.92,,0.92,0.92,25,23
Gemma 4 4B,Greedy,ClaimComparison,Any explicit,1,0.8611111111111112,,0.8611111111111112,0.8611111111111112,36,31
Gemma 4 4B,Greedy,Payoff,Comparison,1,0.14705882352941177,,0.14705882352941177,0.14705882352941177,102,15
Gemma 4 4B,Greedy,Payoff,Contingency,1,0.6538461538461539,,0.6538461538461539,0.6538461538461539,52,34
Gemma 4 4B,Greedy,Payoff,Expansion,1,0.3611111111111111,,0.3611111111111111,0.3611111111111111,72,26
Gemma 4 4B,Greedy,Payoff,Temporal,1,0.08108108108108109,,0.08108108108108109,0.08108108108108109,37,3
Gemma 4 4B,Greedy,Payoff,Any explicit,1,0.4444444444444444,,0.4444444444444444,0.4444444444444444,135,60
Gemma 4 4B,Greedy,Uncertainty,Comparison,1,0.484375,,0.484375,0.484375,64,31
Gemma 4 4B,Greedy,Uncertainty,Contingency,1,0.21212121212121213,,0.21212121212121213,0.21212121212121213,33,7
Gemma 4 4B,Greedy,Uncertainty,Expansion,1,0.13513513513513514,,0.13513513513513514,0.13513513513513514,37,5
Gemma 4 4B,Greedy,Uncertainty,Temporal,1,0.06666666666666667,,0.06666666666666667,0.06666666666666667,15,1
Gemma 4 4B,Greedy,Uncertainty,Any explicit,1,0.4805194805194805,,0.4805194805194805,0.4805194805194805,77,37
Gemma 4 31B,Stochastic,Mechanical,Comparison,3,0.41230936819172115,0.05964238812853056,0.35294117647058826,0.4722222222222222,104,43
Gemma 4 31B,Stochastic,Mechanical,Contingency,3,0.8007123020641406,0.03590227090256249,0.7638888888888888,0.8356164383561644,221,177
Gemma 4 31B,Stochastic,Mechanical,Expansion,3,0.5106732348111659,0.09656761434705345,0.4107142857142857,0.603448275862069,170,87
Gemma 4 31B,Stochastic,Mechanical,Temporal,3,0.42612612612612616,0.04832065356798178,0.3783783783783784,0.475,117,50
Gemma 4 31B,Stochastic,Mechanical,Any explicit,3,0.8248701112747504,0.040168188376805795,0.7857142857142857,0.865979381443299,291,240
Gemma 4 31B,Stochastic,Testimony,Comparison,3,0.7155081347254924,0.024757267607242946,0.6923076923076923,0.7415730337078652,254,182
Gemma 4 31B,Stochastic,Testimony,Contingency,3,0.46712407089765584,0.06523838085587497,0.4090909090909091,0.5377358490566038,326,152
Gemma 4 31B,Stochastic,Testimony,Expansion,3,0.7732856618995233,0.021396244147234417,0.75,0.7920792079207921,304,235
Gemma 4 31B,Stochastic,Testimony,Temporal,3,0.8714363714363715,0.03728442993403599,0.8311688311688312,0.9047619047619048,235,205
Gemma 4 31B,Stochastic,Testimony,Any explicit,3,0.8355467196182619,0.05750099132406481,0.7734806629834254,0.8870056497175142,540,451
Gemma 4 31B,Stochastic,SocialJudgment,Comparison,3,0.59375,0.0569961845303737,0.53125,0.6428571428571429,88,52
Gemma 4 31B,Stochastic,SocialJudgment,Contingency,3,0.27563218390804595,0.060360917395207984,0.20689655172413793,0.32,74,20
Gemma 4 31B,Stochastic,SocialJudgment,Expansion,3,0.6448302469135802,0.08311968927172034,0.59375,0.7407407407407407,89,57
Gemma 4 31B,Stochastic,SocialJudgment,Temporal,3,0.42227905655015624,0.09464195566889069,0.3333333333333333,0.5217391304347826,61,26
Gemma 4 31B,Stochastic,SocialJudgment,Any explicit,3,0.6978685089952038,0.06611207160795199,0.6290322580645161,0.7608695652173914,162,112
Gemma 4 31B,Stochastic,Behavioral,Comparison,3,0.6300431212711914,0.049134390620396,0.5909090909090909,0.6851851851851852,177,111
Gemma 4 31B,Stochastic,Behavioral,Contingency,3,0.409352789623312,0.07530519801783878,0.32857142857142857,0.47761194029850745,201,82
Gemma 4 31B,Stochastic,Behavioral,Expansion,3,0.4947940947940948,0.0714403095667324,0.4153846153846154,0.5538461538461539,196,97
Gemma 4 31B,Stochastic,Behavioral,Temporal,3,0.4286772486772487,0.10425579205591741,0.3333333333333333,0.54,167,71
Gemma 4 31B,Stochastic,Behavioral,Any explicit,3,0.6837808971620385,0.0478391025058933,0.6371681415929203,0.7327586206896551,342,234
Gemma 4 31B,Stochastic,ClaimComparison,Comparison,3,0.5799543501611171,0.0318610638224328,0.543859649122807,0.6041666666666666,154,89
Gemma 4 31B,Stochastic,ClaimComparison,Contingency,3,0.3685344827586207,0.0989268742890388,0.3103448275862069,0.4827586206896552,180,66
Gemma 4 31B,Stochastic,ClaimComparison,Expansion,3,0.49987746224305357,0.09928079306128851,0.3870967741935484,0.5740740740740741,181,90
Gemma 4 31B,Stochastic,ClaimComparison,Temporal,3,0.8274580194601381,0.05320085829080883,0.7966101694915254,0.8888888888888888,177,146
Gemma 4 31B,Stochastic,ClaimComparison,Any explicit,3,0.8154993418643549,0.01546323524888251,0.8058252427184466,0.8333333333333334,320,261
Gemma 4 31B,Stochastic,Payoff,Comparison,3,0.44762436595467453,0.11375998459201637,0.3793103448275862,0.5789473684210527,74,32
Gemma 4 31B,Stochastic,Payoff,Contingency,3,0.7542689120556001,0.008759209863920573,0.7441860465116279,0.76,122,92
Gemma 4 31B,Stochastic,Payoff,Expansion,3,0.6126984126984126,0.048872394661398894,0.5714285714285714,0.6666666666666666,93,57
Gemma 4 31B,Stochastic,Payoff,Temporal,3,0.15638888888888888,0.08919521868932795,0.0625,0.24,59,10
Gemma 4 31B,Stochastic,Payoff,Any explicit,3,0.802591628713945,0.04556427080147948,0.75,0.8301886792452831,155,125
Gemma 4 31B,Stochastic,Uncertainty,Comparison,3,0.6777777777777777,0.01924500897298752,0.6666666666666666,0.7,40,27
Gemma 4 31B,Stochastic,Uncertainty,Contingency,3,0.3444444444444444,0.15030832509409647,0.2,0.5,27,10
Gemma 4 31B,Stochastic,Uncertainty,Expansion,3,0.47222222222222227,0.11097213530798986,0.4,0.6,37,18
Gemma 4 31B,Stochastic,Uncertainty,Temporal,3,0.2642857142857143,0.12916529514303662,0.14285714285714285,0.4,16,4
Gemma 4 31B,Stochastic,Uncertainty,Any explicit,3,0.6707729468599034,0.023101437152604102,0.65,0.6956521739130435,58,39
Gemma 4 31B,Greedy,Mechanical,Comparison,1,0.45454545454545453,,0.45454545454545453,0.45454545454545453,44,20
Gemma 4 31B,Greedy,Mechanical,Contingency,1,0.8507462686567164,,0.8507462686567164,0.8507462686567164,67,57
Gemma 4 31B,Greedy,Mechanical,Expansion,1,0.5,,0.5,0.5,68,34
Gemma 4 31B,Greedy,Mechanical,Temporal,1,0.36585365853658536,,0.36585365853658536,0.36585365853658536,41,15
Gemma 4 31B,Greedy,Mechanical,Any explicit,1,0.84375,,0.84375,0.84375,96,81
Gemma 4 31B,Greedy,Testimony,Comparison,1,0.7469879518072289,,0.7469879518072289,0.7469879518072289,83,62
Gemma 4 31B,Greedy,Testimony,Contingency,1,0.42,,0.42,0.42,100,42
Gemma 4 31B,Greedy,Testimony,Expansion,1,0.7142857142857143,,0.7142857142857143,0.7142857142857143,119,85
Gemma 4 31B,Greedy,Testimony,Temporal,1,0.8888888888888888,,0.8888888888888888,0.8888888888888888,81,72
Gemma 4 31B,Greedy,Testimony,Any explicit,1,0.85,,0.85,0.85,180,153
Gemma 4 31B,Greedy,SocialJudgment,Comparison,1,0.5,,0.5,0.5,34,17
Gemma 4 31B,Greedy,SocialJudgment,Contingency,1,0.3,,0.3,0.3,20,6
Gemma 4 31B,Greedy,SocialJudgment,Expansion,1,0.6111111111111112,,0.6111111111111112,0.6111111111111112,36,22
Gemma 4 31B,Greedy,SocialJudgment,Temporal,1,0.5217391304347826,,0.5217391304347826,0.5217391304347826,23,12
Gemma 4 31B,Greedy,SocialJudgment,Any explicit,1,0.6785714285714286,,0.6785714285714286,0.6785714285714286,56,38
Gemma 4 31B,Greedy,Behavioral,Comparison,1,0.631578947368421,,0.631578947368421,0.631578947368421,57,36
Gemma 4 31B,Greedy,Behavioral,Contingency,1,0.3620689655172414,,0.3620689655172414,0.3620689655172414,58,21
Gemma 4 31B,Greedy,Behavioral,Expansion,1,0.3918918918918919,,0.3918918918918919,0.3918918918918919,74,29
Gemma 4 31B,Greedy,Behavioral,Temporal,1,0.3333333333333333,,0.3333333333333333,0.3333333333333333,57,19
Gemma 4 31B,Greedy,Behavioral,Any explicit,1,0.6086956521739131,,0.6086956521739131,0.6086956521739131,115,70
Gemma 4 31B,Greedy,ClaimComparison,Comparison,1,0.5185185185185185,,0.5185185185185185,0.5185185185185185,54,28
Gemma 4 31B,Greedy,ClaimComparison,Contingency,1,0.42592592592592593,,0.42592592592592593,0.42592592592592593,54,23
Gemma 4 31B,Greedy,ClaimComparison,Expansion,1,0.48,,0.48,0.48,75,36
Gemma 4 31B,Greedy,ClaimComparison,Temporal,1,0.8909090909090909,,0.8909090909090909,0.8909090909090909,55,49
Gemma 4 31B,Greedy,ClaimComparison,Any explicit,1,0.7657657657657657,,0.7657657657657657,0.7657657657657657,111,85
Gemma 4 31B,Greedy,Payoff,Comparison,1,0.391304347826087,,0.391304347826087,0.391304347826087,23,9
Gemma 4 31B,Greedy,Payoff,Contingency,1,0.7692307692307693,,0.7692307692307693,0.7692307692307693,39,30
Gemma 4 31B,Greedy,Payoff,Expansion,1,0.5384615384615384,,0.5384615384615384,0.5384615384615384,39,21
Gemma 4 31B,Greedy,Payoff,Temporal,1,0.15789473684210525,,0.15789473684210525,0.15789473684210525,19,3
Gemma 4 31B,Greedy,Payoff,Any explicit,1,0.8301886792452831,,0.8301886792452831,0.8301886792452831,53,44
Gemma 4 31B,Greedy,Uncertainty,Comparison,1,0.7,,0.7,0.7,10,7
Gemma 4 31B,Greedy,Uncertainty,Contingency,1,0.7142857142857143,,0.7142857142857143,0.7142857142857143,7,5
Gemma 4 31B,Greedy,Uncertainty,Expansion,1,0.5,,0.5,0.5,10,5
Gemma 4 31B,Greedy,Uncertainty,Temporal,1,0.125,,0.125,0.125,8,1
Gemma 4 31B,Greedy,Uncertainty,Any explicit,1,0.9333333333333333,,0.9333333333333333,0.9333333333333333,15,14
