model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_category,n_justifications_with_both,conditional_prevalence,low_support_diagnostic
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion,114,63,0.5526315789473685,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal,114,16,0.14035087719298245,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Any explicit,114,112,0.9824561403508771,False
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison,7,5,0.7142857142857143,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency,7,6,0.8571428571428571,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion,7,5,0.7142857142857143,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal,7,0,0.0,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Any explicit,7,6,0.8571428571428571,True
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison,99,56,0.5656565656565656,False
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency,99,53,0.5353535353535354,False
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion,99,45,0.45454545454545453,False
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal,99,21,0.21212121212121213,False
Gemma 4 2B,Stochastic,run_2,Testimony,Any explicit,99,94,0.9494949494949495,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison,109,66,0.6055045871559633,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency,109,55,0.5045871559633027,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion,109,50,0.45871559633027525,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal,109,18,0.1651376146788991,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Any explicit,109,103,0.944954128440367,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison,31,17,0.5483870967741935,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency,31,21,0.6774193548387096,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion,31,14,0.45161290322580644,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal,31,3,0.0967741935483871,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Any explicit,31,29,0.9354838709677419,False
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison,13,4,0.3076923076923077,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency,13,10,0.7692307692307693,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion,13,8,0.6153846153846154,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal,13,7,0.5384615384615384,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Any explicit,13,13,1.0,True
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison,178,111,0.6235955056179775,False
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency,178,105,0.5898876404494382,False
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion,178,85,0.47752808988764045,False
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal,178,23,0.12921348314606743,False
Gemma 4 2B,Stochastic,run_2,Payoff,Any explicit,178,170,0.9550561797752809,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Comparison,114,86,0.7543859649122807,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Contingency,114,69,0.6052631578947368,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Expansion,114,58,0.5087719298245614,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Temporal,114,10,0.08771929824561403,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Any explicit,114,109,0.956140350877193,False
Gemma 4 2B,Stochastic,run_3,Mechanical,Comparison,6,4,0.6666666666666666,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Contingency,6,4,0.6666666666666666,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Expansion,6,2,0.3333333333333333,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Temporal,6,2,0.3333333333333333,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Any explicit,6,6,1.0,True
Gemma 4 2B,Stochastic,run_3,Testimony,Comparison,103,58,0.5631067961165048,False
Gemma 4 2B,Stochastic,run_3,Testimony,Contingency,103,64,0.6213592233009708,False
Gemma 4 2B,Stochastic,run_3,Testimony,Expansion,103,44,0.42718446601941745,False
Gemma 4 2B,Stochastic,run_3,Testimony,Temporal,103,16,0.1553398058252427,False
Gemma 4 2B,Stochastic,run_3,Testimony,Any explicit,103,99,0.9611650485436893,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Comparison,107,58,0.5420560747663551,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Contingency,107,60,0.5607476635514018,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Expansion,107,49,0.45794392523364486,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Temporal,107,15,0.14018691588785046,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Any explicit,107,105,0.9813084112149533,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Comparison,34,16,0.47058823529411764,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Contingency,34,15,0.4411764705882353,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Expansion,34,17,0.5,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Temporal,34,6,0.17647058823529413,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Any explicit,34,33,0.9705882352941176,False
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Comparison,15,10,0.6666666666666666,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Contingency,15,7,0.4666666666666667,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Expansion,15,8,0.5333333333333333,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Temporal,15,4,0.26666666666666666,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Any explicit,15,15,1.0,True
Gemma 4 2B,Stochastic,run_3,Payoff,Comparison,172,100,0.5813953488372093,False
Gemma 4 2B,Stochastic,run_3,Payoff,Contingency,172,112,0.6511627906976745,False
Gemma 4 2B,Stochastic,run_3,Payoff,Expansion,172,75,0.436046511627907,False
Gemma 4 2B,Stochastic,run_3,Payoff,Temporal,172,20,0.11627906976744186,False
Gemma 4 2B,Stochastic,run_3,Payoff,Any explicit,172,167,0.9709302325581395,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Comparison,114,84,0.7368421052631579,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Contingency,114,77,0.6754385964912281,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Expansion,114,51,0.4473684210526316,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Temporal,114,12,0.10526315789473684,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Any explicit,114,112,0.9824561403508771,False
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Comparison,5,2,0.4,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Contingency,5,4,0.8,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Expansion,5,2,0.4,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Temporal,5,1,0.2,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Any explicit,5,5,1.0,True
Gemma 4 2B,Greedy,greedy_t0,Testimony,Comparison,104,69,0.6634615384615384,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Contingency,104,66,0.6346153846153846,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Expansion,104,54,0.5192307692307693,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Temporal,104,20,0.19230769230769232,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Any explicit,104,101,0.9711538461538461,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Comparison,97,62,0.6391752577319587,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Contingency,97,58,0.5979381443298969,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Expansion,97,50,0.5154639175257731,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Temporal,97,15,0.15463917525773196,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Any explicit,97,94,0.9690721649484536,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Comparison,34,19,0.5588235294117647,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Contingency,34,22,0.6470588235294118,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Expansion,34,13,0.38235294117647056,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Temporal,34,3,0.08823529411764706,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Any explicit,34,33,0.9705882352941176,False
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Comparison,15,10,0.6666666666666666,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Contingency,15,9,0.6,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Expansion,15,10,0.6666666666666666,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Temporal,15,5,0.3333333333333333,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Any explicit,15,15,1.0,True
Gemma 4 2B,Greedy,greedy_t0,Payoff,Comparison,172,107,0.622093023255814,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Contingency,172,117,0.6802325581395349,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Expansion,172,90,0.5232558139534884,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Temporal,172,24,0.13953488372093023,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Any explicit,172,168,0.9767441860465116,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Comparison,122,91,0.7459016393442623,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Contingency,122,90,0.7377049180327869,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Expansion,122,62,0.5081967213114754,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Temporal,122,11,0.09016393442622951,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Any explicit,122,120,0.9836065573770492,False
Gemma 4 4B,Stochastic,run_1,Mechanical,Comparison,15,10,0.6666666666666666,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Contingency,15,7,0.4666666666666667,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Expansion,15,7,0.4666666666666667,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Temporal,15,5,0.3333333333333333,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Any explicit,15,15,1.0,True
Gemma 4 4B,Stochastic,run_1,Testimony,Comparison,148,123,0.831081081081081,False
Gemma 4 4B,Stochastic,run_1,Testimony,Contingency,148,54,0.36486486486486486,False
Gemma 4 4B,Stochastic,run_1,Testimony,Expansion,148,64,0.43243243243243246,False
Gemma 4 4B,Stochastic,run_1,Testimony,Temporal,148,51,0.34459459459459457,False
Gemma 4 4B,Stochastic,run_1,Testimony,Any explicit,148,143,0.9662162162162162,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Comparison,108,86,0.7962962962962963,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Contingency,108,25,0.23148148148148148,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Expansion,108,44,0.4074074074074074,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Temporal,108,36,0.3333333333333333,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Any explicit,108,101,0.9351851851851852,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Comparison,118,93,0.788135593220339,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Contingency,118,28,0.23728813559322035,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Expansion,118,47,0.3983050847457627,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Temporal,118,40,0.3389830508474576,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Any explicit,118,111,0.940677966101695,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Comparison,36,25,0.6944444444444444,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Contingency,36,7,0.19444444444444445,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Expansion,36,16,0.4444444444444444,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Temporal,36,23,0.6388888888888888,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Any explicit,36,35,0.9722222222222222,False
Gemma 4 4B,Stochastic,run_1,Payoff,Comparison,140,114,0.8142857142857143,False
Gemma 4 4B,Stochastic,run_1,Payoff,Contingency,140,54,0.38571428571428573,False
Gemma 4 4B,Stochastic,run_1,Payoff,Expansion,140,58,0.4142857142857143,False
Gemma 4 4B,Stochastic,run_1,Payoff,Temporal,140,40,0.2857142857142857,False
Gemma 4 4B,Stochastic,run_1,Payoff,Any explicit,140,133,0.95,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Comparison,76,70,0.9210526315789473,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Contingency,76,25,0.32894736842105265,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Expansion,76,33,0.4342105263157895,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Temporal,76,14,0.18421052631578946,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Any explicit,76,75,0.9868421052631579,False
Gemma 4 4B,Stochastic,run_2,Mechanical,Comparison,13,10,0.7692307692307693,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Contingency,13,9,0.6923076923076923,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Expansion,13,4,0.3076923076923077,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Temporal,13,2,0.15384615384615385,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Any explicit,13,12,0.9230769230769231,True
Gemma 4 4B,Stochastic,run_2,Testimony,Comparison,143,117,0.8181818181818182,False
Gemma 4 4B,Stochastic,run_2,Testimony,Contingency,143,54,0.3776223776223776,False
Gemma 4 4B,Stochastic,run_2,Testimony,Expansion,143,68,0.4755244755244755,False
Gemma 4 4B,Stochastic,run_2,Testimony,Temporal,143,45,0.3146853146853147,False
Gemma 4 4B,Stochastic,run_2,Testimony,Any explicit,143,139,0.972027972027972,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Comparison,110,86,0.7818181818181819,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Contingency,110,30,0.2727272727272727,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Expansion,110,55,0.5,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Temporal,110,33,0.3,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Any explicit,110,105,0.9545454545454546,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Comparison,107,87,0.8130841121495327,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Contingency,107,30,0.2803738317757009,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Expansion,107,45,0.4205607476635514,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Temporal,107,34,0.3177570093457944,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Any explicit,107,103,0.9626168224299065,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Comparison,31,19,0.6129032258064516,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Contingency,31,5,0.16129032258064516,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Expansion,31,18,0.5806451612903226,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Temporal,31,18,0.5806451612903226,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Any explicit,31,29,0.9354838709677419,False
Gemma 4 4B,Stochastic,run_2,Payoff,Comparison,136,102,0.75,False
Gemma 4 4B,Stochastic,run_2,Payoff,Contingency,136,50,0.36764705882352944,False
Gemma 4 4B,Stochastic,run_2,Payoff,Expansion,136,69,0.5073529411764706,False
Gemma 4 4B,Stochastic,run_2,Payoff,Temporal,136,34,0.25,False
Gemma 4 4B,Stochastic,run_2,Payoff,Any explicit,136,132,0.9705882352941176,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Comparison,88,74,0.8409090909090909,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Contingency,88,31,0.3522727272727273,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Expansion,88,36,0.4090909090909091,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Temporal,88,17,0.19318181818181818,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Any explicit,88,84,0.9545454545454546,False
Gemma 4 4B,Stochastic,run_3,Mechanical,Comparison,12,10,0.8333333333333334,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Contingency,12,4,0.3333333333333333,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Expansion,12,5,0.4166666666666667,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Temporal,12,3,0.25,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Any explicit,12,12,1.0,True
Gemma 4 4B,Stochastic,run_3,Testimony,Comparison,141,114,0.8085106382978723,False
Gemma 4 4B,Stochastic,run_3,Testimony,Contingency,141,40,0.28368794326241137,False
Gemma 4 4B,Stochastic,run_3,Testimony,Expansion,141,67,0.475177304964539,False
Gemma 4 4B,Stochastic,run_3,Testimony,Temporal,141,38,0.2695035460992908,False
Gemma 4 4B,Stochastic,run_3,Testimony,Any explicit,141,137,0.9716312056737588,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Comparison,104,79,0.7596153846153846,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Contingency,104,20,0.19230769230769232,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Expansion,104,54,0.5192307692307693,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Temporal,104,23,0.22115384615384615,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Any explicit,104,97,0.9326923076923077,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Comparison,108,84,0.7777777777777778,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Contingency,108,26,0.24074074074074073,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Expansion,108,48,0.4444444444444444,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Temporal,108,31,0.28703703703703703,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Any explicit,108,101,0.9351851851851852,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Comparison,38,28,0.7368421052631579,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Contingency,38,12,0.3157894736842105,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Expansion,38,17,0.4473684210526316,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Temporal,38,22,0.5789473684210527,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Any explicit,38,38,1.0,False
Gemma 4 4B,Stochastic,run_3,Payoff,Comparison,136,113,0.8308823529411765,False
Gemma 4 4B,Stochastic,run_3,Payoff,Contingency,136,45,0.33088235294117646,False
Gemma 4 4B,Stochastic,run_3,Payoff,Expansion,136,69,0.5073529411764706,False
Gemma 4 4B,Stochastic,run_3,Payoff,Temporal,136,30,0.22058823529411764,False
Gemma 4 4B,Stochastic,run_3,Payoff,Any explicit,136,130,0.9558823529411765,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Comparison,80,73,0.9125,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Contingency,80,24,0.3,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Expansion,80,35,0.4375,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Temporal,80,10,0.125,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Any explicit,80,76,0.95,False
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Comparison,14,9,0.6428571428571429,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Contingency,14,9,0.6428571428571429,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Expansion,14,5,0.35714285714285715,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Temporal,14,3,0.21428571428571427,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Any explicit,14,14,1.0,True
Gemma 4 4B,Greedy,greedy_t0,Testimony,Comparison,137,100,0.7299270072992701,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Contingency,137,53,0.38686131386861317,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Expansion,137,63,0.45985401459854014,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Temporal,137,47,0.34306569343065696,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Any explicit,137,135,0.9854014598540146,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Comparison,103,78,0.7572815533980582,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Contingency,103,26,0.2524271844660194,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Expansion,103,60,0.5825242718446602,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Temporal,103,27,0.2621359223300971,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Any explicit,103,102,0.9902912621359223,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Comparison,96,71,0.7395833333333334,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Contingency,96,21,0.21875,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Expansion,96,47,0.4895833333333333,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Temporal,96,35,0.3645833333333333,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Any explicit,96,93,0.96875,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Comparison,38,21,0.5526315789473685,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Contingency,38,6,0.15789473684210525,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Expansion,38,15,0.39473684210526316,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Temporal,38,25,0.6578947368421053,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Any explicit,38,36,0.9473684210526315,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Comparison,137,102,0.7445255474452555,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Contingency,137,52,0.3795620437956204,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Expansion,137,72,0.5255474452554745,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Temporal,137,37,0.27007299270072993,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Any explicit,137,135,0.9854014598540146,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Comparison,77,64,0.8311688311688312,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Contingency,77,33,0.42857142857142855,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Expansion,77,37,0.4805194805194805,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Temporal,77,15,0.19480519480519481,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Any explicit,77,77,1.0,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Comparison,101,36,0.3564356435643564,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Contingency,101,76,0.7524752475247525,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Expansion,101,56,0.5544554455445545,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Temporal,101,40,0.39603960396039606,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Any explicit,101,97,0.9603960396039604,False
Gemma 4 31B,Stochastic,run_1,Testimony,Comparison,185,89,0.4810810810810811,False
Gemma 4 31B,Stochastic,run_1,Testimony,Contingency,185,110,0.5945945945945946,False
Gemma 4 31B,Stochastic,run_1,Testimony,Expansion,185,99,0.5351351351351351,False
Gemma 4 31B,Stochastic,run_1,Testimony,Temporal,185,84,0.4540540540540541,False
Gemma 4 31B,Stochastic,run_1,Testimony,Any explicit,185,177,0.9567567567567568,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Comparison,51,28,0.5490196078431373,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Contingency,51,20,0.39215686274509803,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Expansion,51,27,0.5294117647058824,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Temporal,51,17,0.3333333333333333,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Any explicit,51,46,0.9019607843137255,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Comparison,118,66,0.559322033898305,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Contingency,118,67,0.5677966101694916,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Expansion,118,65,0.5508474576271186,False
