model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications,support,joint_prevalence,prevalence_category,prevalence_relation,lift,low_support_diagnostic
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal,191,31,0.16230366492146597,0.6492146596858639,0.2094240837696335,1.19375,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Any explicit,191,122,0.6387434554973822,0.6492146596858639,0.9842931937172775,0.9995710363761152,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison,191,15,0.07853403141361257,0.16230366492146597,0.5654450261780105,0.8557347670250895,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency,191,15,0.07853403141361257,0.16230366492146597,0.5549738219895288,0.8718807060255629,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion,191,13,0.06806282722513089,0.16230366492146597,0.5235602094240838,0.8009677419354838,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal,191,8,0.041884816753926704,0.16230366492146597,0.2094240837696335,1.2322580645161292,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Any explicit,191,29,0.1518324607329843,0.16230366492146597,0.9842931937172775,0.9504118050789292,False
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison,191,11,0.05759162303664921,0.08900523560209424,0.5654450261780105,1.1443355119825709,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency,191,6,0.031413612565445025,0.08900523560209424,0.5549738219895288,0.6359600443951164,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion,191,9,0.04712041884816754,0.08900523560209424,0.5235602094240838,1.0111764705882353,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal,191,11,0.05759162303664921,0.08900523560209424,0.2094240837696335,3.0897058823529413,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Any explicit,191,17,0.08900523560209424,0.08900523560209424,0.9842931937172775,1.0159574468085106,True
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison,191,101,0.5287958115183246,0.8952879581151832,0.5654450261780105,1.0445635694173705,False
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency,191,98,0.5130890052356021,0.8952879581151832,0.5549738219895288,1.0326602670197504,False
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion,191,89,0.46596858638743455,0.8952879581151832,0.5235602094240838,0.994093567251462,False
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal,191,34,0.17801047120418848,0.8952879581151832,0.2094240837696335,0.9494152046783626,False
Gemma 4 2B,Stochastic,run_1,Payoff,Any explicit,191,169,0.8848167539267016,0.8952879581151832,0.9842931937172775,1.0040749035709842,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison,191,77,0.4031413612565445,0.5968586387434555,0.5654450261780105,1.194525666016894,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency,191,69,0.3612565445026178,0.5968586387434555,0.5549738219895288,1.0906156901688184,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion,191,63,0.3298429319371728,0.5968586387434555,0.5235602094240838,1.0555263157894739,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal,191,16,0.08376963350785341,0.5968586387434555,0.2094240837696335,0.6701754385964913,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Any explicit,191,112,0.5863874345549738,0.5968586387434555,0.9842931937172775,0.9981336319522209,False
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison,191,5,0.02617801047120419,0.03664921465968586,0.6020942408376964,1.1863354037267082,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency,191,6,0.031413612565445025,0.03664921465968586,0.6020942408376964,1.4236024844720498,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion,191,5,0.02617801047120419,0.03664921465968586,0.4816753926701571,1.4829192546583851,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal,191,0,0.0,0.03664921465968586,0.14136125654450263,0.0,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Any explicit,191,6,0.031413612565445025,0.03664921465968586,0.9581151832460733,0.8946135831381734,True
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison,191,56,0.2931937172774869,0.518324607329843,0.6020942408376964,0.9394817742643827,False
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency,191,53,0.2774869109947644,0.518324607329843,0.6020942408376964,0.8891523935002196,False
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion,191,45,0.2356020942408377,0.518324607329843,0.4816753926701571,0.9436758893280631,False
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal,191,21,0.1099476439790576,0.518324607329843,0.14136125654450263,1.5005611672278336,False
Gemma 4 2B,Stochastic,run_2,Testimony,Any explicit,191,94,0.49214659685863876,0.518324607329843,0.9581151832460733,0.9910029254291549,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison,191,66,0.34554973821989526,0.5706806282722513,0.6020942408376964,1.0056641404068607,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency,191,55,0.2879581151832461,0.5706806282722513,0.6020942408376964,0.8380534503390508,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion,191,50,0.2617801047120419,0.5706806282722513,0.4816753926701571,0.9523334662943759,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal,191,18,0.09424083769633508,0.5706806282722513,0.14136125654450263,1.1681957186544343,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Any explicit,191,103,0.5392670157068062,0.5706806282722513,0.9581151832460733,0.9862635985361208,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison,191,17,0.08900523560209424,0.16230366492146597,0.6020942408376964,0.9107994389901822,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency,191,21,0.1099476439790576,0.16230366492146597,0.6020942408376964,1.1251051893408133,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion,191,14,0.07329842931937172,0.16230366492146597,0.4816753926701571,0.9375876577840111,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal,191,3,0.015706806282722512,0.16230366492146597,0.14136125654450263,0.6845878136200716,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Any explicit,191,29,0.1518324607329843,0.16230366492146597,0.9581151832460733,0.9763793407368236,False
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison,191,4,0.020942408376963352,0.06806282722513089,0.6020942408376964,0.5110367892976588,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency,191,10,0.05235602094240838,0.06806282722513089,0.6020942408376964,1.2775919732441472,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion,191,8,0.041884816753926704,0.06806282722513089,0.4816753926701571,1.2775919732441472,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal,191,7,0.03664921465968586,0.06806282722513089,0.14136125654450263,3.809116809116808,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Any explicit,191,13,0.06806282722513089,0.06806282722513089,0.9581151832460733,1.0437158469945356,True
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison,191,111,0.581151832460733,0.9319371727748691,0.6020942408376964,1.0357107962872496,False
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency,191,105,0.5497382198952879,0.9319371727748691,0.6020942408376964,0.9797264289203711,False
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion,191,85,0.44502617801047123,0.9319371727748691,0.4816753926701571,0.991389838788471,False
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal,191,23,0.12041884816753927,0.9319371727748691,0.14136125654450263,0.9140657511444027,False
Gemma 4 2B,Stochastic,run_2,Payoff,Any explicit,191,170,0.8900523560209425,0.9319371727748691,0.9581151832460733,0.9968072696015228,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Comparison,191,86,0.450261780104712,0.5968586387434555,0.6020942408376964,1.2529366895499618,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Contingency,191,69,0.3612565445026178,0.5968586387434555,0.6020942408376964,1.0052631578947369,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Expansion,191,58,0.3036649214659686,0.5968586387434555,0.4816753926701571,1.0562547673531655,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Temporal,191,10,0.05235602094240838,0.5968586387434555,0.14136125654450263,0.6205328135152696,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Any explicit,191,109,0.5706806282722513,0.5968586387434555,0.9581151832460733,0.9979388361614419,False
Gemma 4 2B,Stochastic,run_3,Mechanical,Comparison,191,4,0.020942408376963352,0.031413612565445025,0.5759162303664922,1.1575757575757575,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Contingency,191,4,0.020942408376963352,0.031413612565445025,0.6387434554973822,1.0437158469945356,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Expansion,191,2,0.010471204188481676,0.031413612565445025,0.44502617801047123,0.7490196078431373,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Temporal,191,2,0.010471204188481676,0.031413612565445025,0.13089005235602094,2.5466666666666673,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Any explicit,191,6,0.031413612565445025,0.031413612565445025,0.9738219895287958,1.0268817204301075,True
Gemma 4 2B,Stochastic,run_3,Testimony,Comparison,191,58,0.3036649214659686,0.5392670157068062,0.5759162303664922,0.9777581641659312,False
Gemma 4 2B,Stochastic,run_3,Testimony,Contingency,191,64,0.33507853403141363,0.5392670157068062,0.6387434554973822,0.9727837020531594,False
Gemma 4 2B,Stochastic,run_3,Testimony,Expansion,191,44,0.23036649214659685,0.5392670157068062,0.44502617801047123,0.9599086236436323,False
Gemma 4 2B,Stochastic,run_3,Testimony,Temporal,191,16,0.08376963350785341,0.5392670157068062,0.13089005235602094,1.1867961165048544,False
Gemma 4 2B,Stochastic,run_3,Testimony,Any explicit,191,99,0.518324607329843,0.5392670157068062,0.9738219895287958,0.9870028186658317,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Comparison,191,58,0.3036649214659686,0.5602094240837696,0.5759162303664922,0.9412064570943075,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Contingency,191,60,0.31413612565445026,0.5602094240837696,0.6387434554973822,0.8778918339206373,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Expansion,191,49,0.25654450261780104,0.5602094240837696,0.44502617801047123,1.0290269378779549,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Temporal,191,15,0.07853403141361257,0.5602094240837696,0.13089005235602094,1.0710280373831775,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Any explicit,191,105,0.5497382198952879,0.5602094240837696,0.9738219895287958,1.0076876695809467,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Comparison,191,16,0.08376963350785341,0.17801047120418848,0.5759162303664922,0.8171122994652407,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Contingency,191,15,0.07853403141361257,0.17801047120418848,0.6387434554973822,0.6906943105110896,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Expansion,191,17,0.08900523560209424,0.17801047120418848,0.44502617801047123,1.1235294117647059,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Temporal,191,6,0.031413612565445025,0.17801047120418848,0.13089005235602094,1.3482352941176472,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Any explicit,191,33,0.17277486910994763,0.17801047120418848,0.9738219895287958,0.9966793168880456,False
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Comparison,191,10,0.05235602094240838,0.07853403141361257,0.5759162303664922,1.1575757575757575,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Contingency,191,7,0.03664921465968586,0.07853403141361257,0.6387434554973822,0.7306010928961748,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Expansion,191,8,0.041884816753926704,0.07853403141361257,0.44502617801047123,1.1984313725490197,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Temporal,191,4,0.020942408376963352,0.07853403141361257,0.13089005235602094,2.037333333333333,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Any explicit,191,15,0.07853403141361257,0.07853403141361257,0.9738219895287958,1.0268817204301075,True
Gemma 4 2B,Stochastic,run_3,Payoff,Comparison,191,100,0.5235602094240838,0.900523560209424,0.5759162303664922,1.0095137420718814,False
Gemma 4 2B,Stochastic,run_3,Payoff,Contingency,191,112,0.5863874345549738,0.900523560209424,0.6387434554973822,1.019443385436523,False
Gemma 4 2B,Stochastic,run_3,Payoff,Expansion,191,75,0.39267015706806285,0.900523560209424,0.44502617801047123,0.9798221614227086,False
Gemma 4 2B,Stochastic,run_3,Payoff,Temporal,191,20,0.10471204188481675,0.900523560209424,0.13089005235602094,0.8883720930232558,False
Gemma 4 2B,Stochastic,run_3,Payoff,Any explicit,191,167,0.8743455497382199,0.900523560209424,0.9738219895287958,0.9970305076269067,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Comparison,191,84,0.4397905759162304,0.5968586387434555,0.5759162303664922,1.2794258373205742,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Contingency,191,77,0.4031413612565445,0.5968586387434555,0.6387434554973822,1.0574489502444635,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Expansion,191,51,0.2670157068062827,0.5968586387434555,0.44502617801047123,1.0052631578947369,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Temporal,191,12,0.06282722513089005,0.5968586387434555,0.13089005235602094,0.8042105263157895,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Any explicit,191,112,0.5863874345549738,0.5968586387434555,0.9738219895287958,1.008866251650632,False
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Comparison,191,2,0.010471204188481676,0.02617801047120419,0.6230366492146597,0.6420168067226891,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Contingency,191,4,0.020942408376963352,0.02617801047120419,0.675392670157068,1.1844961240310077,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Expansion,191,2,0.010471204188481676,0.02617801047120419,0.5078534031413613,0.7876288659793814,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Temporal,191,1,0.005235602094240838,0.02617801047120419,0.13089005235602094,1.528,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Any explicit,191,5,0.02617801047120419,0.02617801047120419,0.9738219895287958,1.0268817204301075,True
Gemma 4 2B,Greedy,greedy_t0,Testimony,Comparison,191,69,0.3612565445026178,0.5445026178010471,0.6230366492146597,1.0648836457659987,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Contingency,191,66,0.34554973821989526,0.5445026178010471,0.675392670157068,0.9396243291592128,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Expansion,191,54,0.28272251308900526,0.5445026178010471,0.5078534031413613,1.0224028548770816,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Temporal,191,20,0.10471204188481675,0.5445026178010471,0.13089005235602094,1.4692307692307691,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Any explicit,191,101,0.5287958115183246,0.5445026178010471,0.9738219895287958,0.9972601323407773,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Comparison,191,62,0.32460732984293195,0.5078534031413613,0.6230366492146597,1.0259031447630598,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Contingency,191,58,0.3036649214659686,0.5078534031413613,0.675392670157068,0.8853192679613202,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Expansion,191,50,0.2617801047120419,0.5078534031413613,0.5078534031413613,1.0149856520352853,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Temporal,191,15,0.07853403141361257,0.5078534031413613,0.13089005235602094,1.181443298969072,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Any explicit,191,94,0.49214659685863876,0.5078534031413613,0.9738219895287958,0.9951224919631969,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Comparison,191,19,0.09947643979057591,0.17801047120418848,0.6230366492146597,0.8969352446861096,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Contingency,191,22,0.11518324607329843,0.17801047120418848,0.675392670157068,0.9580483356133151,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Expansion,191,13,0.06806282722513089,0.17801047120418848,0.5078534031413613,0.7528805336567617,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Temporal,191,3,0.015706806282722512,0.17801047120418848,0.13089005235602094,0.6741176470588236,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Any explicit,191,33,0.17277486910994763,0.17801047120418848,0.9738219895287958,0.9966793168880456,False
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Comparison,191,10,0.05235602094240838,0.07853403141361257,0.6230366492146597,1.0700280112044818,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Contingency,191,9,0.04712041884816754,0.07853403141361257,0.675392670157068,0.8883720930232558,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Expansion,191,10,0.05235602094240838,0.07853403141361257,0.5078534031413613,1.3127147766323022,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Temporal,191,5,0.02617801047120419,0.07853403141361257,0.13089005235602094,2.5466666666666664,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Any explicit,191,15,0.07853403141361257,0.07853403141361257,0.9738219895287958,1.0268817204301075,True
Gemma 4 2B,Greedy,greedy_t0,Payoff,Comparison,191,107,0.5602094240837696,0.900523560209424,0.6230366492146597,0.9984854406879031,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Contingency,191,117,0.612565445026178,0.900523560209424,0.675392670157068,1.0071660356949703,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Expansion,191,90,0.4712041884816754,0.900523560209424,0.5078534031413613,1.0303284584032606,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Temporal,191,24,0.1256544502617801,0.900523560209424,0.13089005235602094,1.066046511627907,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Any explicit,191,168,0.8795811518324608,0.900523560209424,0.9738219895287958,1.0030007501875469,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Comparison,191,91,0.47643979057591623,0.6387434554973822,0.6230366492146597,1.1972034715525552,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Contingency,191,90,0.4712041884816754,0.6387434554973822,0.675392670157068,1.0922607701105604,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Expansion,191,62,0.32460732984293195,0.6387434554973822,0.5078534031413613,1.0006760182524927,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Temporal,191,11,0.05759162303664921,0.6387434554973822,0.13089005235602094,0.6888524590163934,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Any explicit,191,120,0.6282722513089005,0.6387434554973822,0.9738219895287958,1.0100475938656794,False
Gemma 4 4B,Stochastic,run_1,Mechanical,Comparison,191,10,0.05235602094240838,0.07853403141361257,0.8115183246073299,0.8215053763440859,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Contingency,191,7,0.03664921465968586,0.07853403141361257,0.3507853403141361,1.3303482587064677,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Expansion,191,7,0.03664921465968586,0.07853403141361257,0.418848167539267,1.1141666666666667,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Temporal,191,5,0.02617801047120419,0.07853403141361257,0.3089005235602094,1.07909604519774,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Any explicit,191,15,0.07853403141361257,0.07853403141361257,0.9581151832460733,1.0437158469945356,True
Gemma 4 4B,Stochastic,run_1,Testimony,Comparison,191,123,0.643979057591623,0.774869109947644,0.8115183246073299,1.024106364428945,False
Gemma 4 4B,Stochastic,run_1,Testimony,Contingency,191,54,0.28272251308900526,0.774869109947644,0.3507853403141361,1.0401371520774505,False
Gemma 4 4B,Stochastic,run_1,Testimony,Expansion,191,64,0.33507853403141363,0.774869109947644,0.418848167539267,1.0324324324324325,False
Gemma 4 4B,Stochastic,run_1,Testimony,Temporal,191,51,0.2670157068062827,0.774869109947644,0.3089005235602094,1.1155519926706368,False
Gemma 4 4B,Stochastic,run_1,Testimony,Any explicit,191,143,0.7486910994764397,0.774869109947644,0.9581151832460733,1.0084551764879632,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Comparison,191,86,0.450261780104712,0.5654450261780105,0.8115183246073299,0.981242532855436,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Contingency,191,25,0.13089005235602094,0.5654450261780105,0.3507853403141361,0.6598949695964621,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Expansion,191,44,0.23036649214659685,0.5654450261780105,0.418848167539267,0.9726851851851851,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Temporal,191,36,0.18848167539267016,0.5654450261780105,0.3089005235602094,1.07909604519774,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Any explicit,191,101,0.5287958115183246,0.5654450261780105,0.9581151832460733,0.9760675976522971,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Comparison,191,93,0.4869109947643979,0.6178010471204188,0.8115183246073299,0.971186440677966,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Contingency,191,28,0.14659685863874344,0.6178010471204188,0.3507853403141361,0.6764482671388818,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Expansion,191,47,0.24607329842931938,0.6178010471204188,0.418848167539267,0.9509533898305085,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Temporal,191,40,0.2094240837696335,0.6178010471204188,0.3089005235602094,1.097385808675668,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Any explicit,191,111,0.581151832460733,0.6178010471204188,0.9581151832460733,0.9818005001389276,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Comparison,191,25,0.13089005235602094,0.18848167539267016,0.8115183246073299,0.8557347670250894,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Contingency,191,7,0.03664921465968586,0.18848167539267016,0.3507853403141361,0.5543117744610282,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Expansion,191,16,0.08376963350785341,0.18848167539267016,0.418848167539267,1.0611111111111111,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Temporal,191,23,0.12041884816753927,0.18848167539267016,0.3089005235602094,2.068267419962335,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Any explicit,191,35,0.18324607329842932,0.18848167539267016,0.9581151832460733,1.0147237401335762,False
Gemma 4 4B,Stochastic,run_1,Payoff,Comparison,191,114,0.5968586387434555,0.7329842931937173,0.8115183246073299,1.0034101382488478,False
Gemma 4 4B,Stochastic,run_1,Payoff,Contingency,191,54,0.28272251308900526,0.7329842931937173,0.3507853403141361,1.0995735607675907,False
Gemma 4 4B,Stochastic,run_1,Payoff,Expansion,191,58,0.3036649214659686,0.7329842931937173,0.418848167539267,0.9891071428571429,False
Gemma 4 4B,Stochastic,run_1,Payoff,Temporal,191,40,0.2094240837696335,0.7329842931937173,0.3089005235602094,0.9249394673123487,False
Gemma 4 4B,Stochastic,run_1,Payoff,Any explicit,191,133,0.6963350785340314,0.7329842931937173,0.9581151832460733,0.9915300546448088,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Comparison,191,70,0.36649214659685864,0.39790575916230364,0.8115183246073299,1.134974533106961,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Contingency,191,25,0.13089005235602094,0.39790575916230364,0.3507853403141361,0.9377454831107621,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Expansion,191,33,0.17277486910994763,0.39790575916230364,0.418848167539267,1.0366776315789474,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Temporal,191,14,0.07329842931937172,0.39790575916230364,0.3089005235602094,0.596342551293488,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Any explicit,191,75,0.39267015706806285,0.39790575916230364,0.9581151832460733,1.0299827437446076,False
Gemma 4 4B,Stochastic,run_2,Mechanical,Comparison,191,10,0.05235602094240838,0.06806282722513089,0.7905759162303665,0.9730005094243505,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Contingency,191,9,0.04712041884816754,0.06806282722513089,0.3612565445026178,1.9163879598662206,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Expansion,191,4,0.020942408376963352,0.06806282722513089,0.4607329842931937,0.6678321678321678,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Temporal,191,2,0.010471204188481676,0.06806282722513089,0.27225130890052357,0.5650887573964497,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Any explicit,191,12,0.06282722513089005,0.06806282722513089,0.9685863874345549,0.953014553014553,True
Gemma 4 4B,Stochastic,run_2,Testimony,Comparison,191,117,0.612565445026178,0.7486910994764397,0.7905759162303665,1.0349187236604456,False
Gemma 4 4B,Stochastic,run_2,Testimony,Contingency,191,54,0.28272251308900526,0.7486910994764397,0.3612565445026178,1.0453025235633933,False
Gemma 4 4B,Stochastic,run_2,Testimony,Expansion,191,68,0.35602094240837695,0.7486910994764397,0.4607329842931937,1.0321042593769867,False
Gemma 4 4B,Stochastic,run_2,Testimony,Temporal,191,45,0.2356020942408377,0.7486910994764397,0.27225130890052357,1.1558633674018288,False
Gemma 4 4B,Stochastic,run_2,Testimony,Any explicit,191,139,0.7277486910994765,0.7486910994764397,0.9685863874345549,1.0035532035532035,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Comparison,191,86,0.450261780104712,0.5759162303664922,0.7905759162303665,0.9889223359422034,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Contingency,191,30,0.15706806282722513,0.5759162303664922,0.3612565445026178,0.7549407114624505,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Expansion,191,55,0.2879581151832461,0.5759162303664922,0.4607329842931937,1.0852272727272727,False
