justification_id,model,game_id,run_label,decoding_group,n_sentences,n_sent_Mechanical,sem_Mechanical,n_sent_Testimony,sem_Testimony,n_sent_SocialJudgment,sem_SocialJudgment,n_sent_Behavioral,sem_Behavioral,n_sent_ClaimComparison,sem_ClaimComparison,n_sent_Payoff,sem_Payoff,n_sent_Uncertainty,sem_Uncertainty,n_sent_Other,sem_Other,n_disc_Comparison,disc_Comparison,n_disc_Contingency,disc_Contingency,n_disc_Expansion,disc_Expansion,n_disc_Temporal,disc_Temporal,n_sense_Comparison.Contrast,sense_Comparison.Contrast,n_sense_Comparison.Concession,sense_Comparison.Concession,n_sense_Contingency.Cause,sense_Contingency.Cause,n_sense_Contingency.Condition,sense_Contingency.Condition,n_sense_Expansion.Conjunction,sense_Expansion.Conjunction,n_sense_Expansion.Alternative,sense_Expansion.Alternative,n_sense_Expansion.Restatement,sense_Expansion.Restatement,n_sense_Temporal.Asynchronous,sense_Temporal.Asynchronous,n_sense_Temporal.Synchrony,sense_Temporal.Synchrony,n_relations,has_any_relation,vote,voted_player_end_role,is_correct,n_words,n_semantic_categories
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game6__run_1,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,Stochastic,3,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,Hunter,Villager,False,68,2
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game7__run_1,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,Stochastic,3,0,False,0,False,3,True,0,False,0,False,1,True,0,False,0,False,1,True,1,True,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,2,True,Hunter,Robber,False,59,2
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game8__run_1,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,Stochastic,3,0,False,0,False,1,True,0,False,0,False,1,True,3,True,0,False,1,True,2,True,2,True,0,False,1,True,0,False,1,True,1,True,2,True,0,False,0,False,0,False,0,False,5,True,No Werewolf,,False,76,3
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game9__run_1,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,Stochastic,3,0,False,0,False,1,True,0,False,0,False,2,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Sean,Villager,False,60,2
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game10__run_1,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,Stochastic,3,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,Tyler,Werewolf,True,71,2
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_1,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,Stochastic,4,0,False,1,True,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,2,True,1,True,0,False,0,False,0,False,0,False,2,True,0,False,0,False,1,True,0,False,3,True,Clint,Werewolf,True,71,2
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game7__run_1,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,1,True,0,False,1,True,0,False,2,True,0,False,1,True,0,False,0,False,0,False,2,True,0,False,0,False,0,False,0,False,3,True,Erin,Hunter,False,73,3
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game8__run_1,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,run_1,Stochastic,2,0,False,0,False,1,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,Erin,Troublemaker,False,52,2
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game9__run_1,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,2,True,0,False,0,False,0,False,1,True,0,False,2,True,0,False,0,False,0,False,0,False,3,True,Tyler,Werewolf,True,52,2
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__run_1,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,run_1,Stochastic,3,0,False,0,False,0,False,1,True,0,False,1,True,2,True,0,False,0,False,2,True,2,True,0,False,0,False,0,False,1,True,1,True,2,True,0,False,0,False,0,False,0,False,4,True,No Werewolf,,False,62,3
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game2__run_1,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,run_1,Stochastic,3,0,False,2,True,2,True,0,False,0,False,0,False,1,True,0,False,1,True,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,2,True,Hunter,Seer,False,60,3
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game3__run_1,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,1,True,2,True,0,False,0,False,1,True,1,True,0,False,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,2,True,No Werewolf,,False,63,2
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game4__run_1,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,1,True,3,True,0,False,1,True,2,True,1,True,0,False,1,True,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,4,True,No Werewolf,,False,77,2
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game5__run_1,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,run_1,Stochastic,3,0,False,0,False,1,True,1,True,0,False,1,True,1,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Sean,Werewolf,True,59,4
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game1__run_1,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,run_1,Stochastic,3,0,False,1,True,0,False,0,False,0,False,1,True,1,True,0,False,0,False,2,True,1,True,0,False,0,False,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,3,True,No Werewolf,,False,80,3
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__run_1,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,run_1,Stochastic,3,2,True,1,True,0,False,0,False,0,False,0,False,2,True,0,False,0,False,1,True,1,True,0,False,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,2,True,No Werewolf,,True,62,3
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game3__run_1,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,run_1,Stochastic,4,0,False,2,True,0,False,0,False,0,False,2,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,Jessica,Werewolf,True,63,2
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_1,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,run_1,Stochastic,3,0,False,0,False,3,True,0,False,0,False,1,True,0,False,0,False,1,True,1,True,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,2,True,Daniel,Robber,False,62,2
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game5__run_1,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,1,True,0,False,1,True,1,True,1,True,0,False,1,True,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,3,True,Daniel,Tanner,False,50,3
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game6__run_1,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,run_1,Stochastic,2,0,False,0,False,0,False,0,False,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,No Werewolf,,True,42,1
2B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game10__run_1,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,0,False,3,True,0,False,0,False,1,True,2,True,0,False,0,False,0,False,1,True,0,False,1,True,1,True,0,False,0,False,0,False,3,True,No Werewolf,,False,71,1
2B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game11__run_1,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,run_1,Stochastic,3,0,False,2,True,1,True,0,False,0,False,2,True,0,False,0,False,1,True,1,True,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,2,True,Kaelan,Villager,False,63,3
2B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game12__run_1,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,Stochastic,2,0,False,0,False,0,False,0,False,0,False,1,True,2,True,0,False,1,True,2,True,2,True,0,False,1,True,0,False,1,True,1,True,2,True,0,False,0,False,0,False,0,False,5,True,No Werewolf,,True,57,2
2B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game7__run_1,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,run_1,Stochastic,3,0,False,0,False,0,False,1,True,0,False,1,True,1,True,0,False,1,True,1,True,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,2,True,Jessica,Werewolf,True,71,3
2B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game8__run_1,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,run_1,Stochastic,4,0,False,1,True,1,True,0,False,0,False,1,True,2,True,0,False,1,True,1,True,1,True,0,False,1,True,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,3,True,No Werewolf,,True,71,4
2B__Ego4D__62c4bc58-3776-4791-ac30-4c9ca5619503__Game9__run_1,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,No Werewolf,,False,63,1
2B__Ego4D__64076f60-f3fc-4ee6-93e1-3489d8ec7b12__Game3__run_1,Gemma 4 2B,Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,run_1,Stochastic,3,0,False,2,True,0,False,0,False,0,False,3,True,0,False,0,False,0,False,2,True,2,True,0,False,0,False,0,False,2,True,0,False,2,True,0,False,0,False,0,False,0,False,4,True,Jack,Robber,False,63,2
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game1__run_1,Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,run_1,Stochastic,3,0,False,1,True,1,True,0,False,0,False,1,True,2,True,0,False,1,True,0,False,1,True,1,True,1,True,0,False,0,False,0,False,1,True,0,False,0,False,1,True,0,False,3,True,Elliot,Werewolf,True,58,4
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game2__run_1,Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,2,True,0,False,0,False,0,False,2,True,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,0,False,2,True,Sukeshi,Werewolf,True,56,2
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game3__run_1,Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,run_1,Stochastic,3,0,False,1,True,0,False,2,True,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Sukeshi,Villager,False,75,3
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game1__run_1,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,run_1,Stochastic,3,0,False,1,True,1,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,1,True,2,True,Mitchell,Insomniac,False,56,3
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game2__run_1,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,run_1,Stochastic,4,0,False,1,True,2,True,0,False,0,False,1,True,1,True,0,False,1,True,1,True,0,False,1,True,1,True,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,3,True,Laura,Werewolf,True,72,4
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game3__run_1,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,run_1,Stochastic,3,0,False,1,True,1,True,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,James,Seer,False,62,3
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game4__run_1,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,1,True,3,True,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,2,True,No Werewolf,,True,71,2
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game5__run_1,Gemma 4 2B,Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,run_1,Stochastic,3,0,False,2,True,0,False,0,False,0,False,1,True,0,False,0,False,1,True,1,True,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,2,True,Laura,Werewolf,True,49,2
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game10__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,2,True,0,False,1,True,0,False,1,True,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,2,True,Justin,Robber,False,64,3
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game1__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,run_1,Stochastic,4,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,2,True,0,False,0,False,0,False,1,True,0,False,2,True,0,False,0,False,0,False,0,False,3,True,Mitchell,Werewolf,True,48,2
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game2__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,run_1,Stochastic,4,0,False,0,False,2,True,0,False,0,False,2,True,0,False,0,False,0,False,1,True,0,False,1,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,2,True,Mitchell,Villager,False,76,2
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game3__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,run_1,Stochastic,3,0,False,1,True,1,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,2,True,0,False,2,True,Justin,Robber,False,63,3
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game4__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,run_1,Stochastic,3,0,False,1,True,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,James,Villager,False,66,2
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game5__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,run_1,Stochastic,4,0,False,1,True,1,True,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,1,True,Mitchell,Werewolf,True,73,4
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game6__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,run_1,Stochastic,3,0,False,0,False,2,True,1,True,0,False,1,True,1,True,0,False,0,False,2,True,2,True,0,False,0,False,0,False,1,True,1,True,1,True,1,True,0,False,0,False,0,False,4,True,Justin,Werewolf,True,73,4
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game7__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,run_1,Stochastic,4,0,False,1,True,1,True,0,False,1,True,1,True,1,True,0,False,1,True,0,False,1,True,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,2,True,James,Werewolf,True,80,5
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game8__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,run_1,Stochastic,4,0,False,1,True,2,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,Alvin,Werewolf,True,64,3
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1__Game9__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,run_1,Stochastic,4,0,False,0,False,2,True,0,False,2,True,1,True,0,False,0,False,1,True,1,True,3,True,1,True,1,True,0,False,1,True,0,False,3,True,0,False,0,False,1,True,0,False,6,True,Mitchell,Werewolf,True,81,3
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game1__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,run_1,Stochastic,3,0,False,1,True,2,True,1,True,0,False,1,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Caitlynn,Werewolf,True,73,4
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game2__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,0,False,3,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,No Werewolf,,True,49,1
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game3__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,run_1,Stochastic,3,0,False,2,True,1,True,0,False,1,True,1,True,0,False,0,False,0,False,1,True,2,True,1,True,0,False,0,False,1,True,0,False,2,True,0,False,0,False,0,False,1,True,4,True,Justin,Werewolf,True,60,4
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,run_1,Stochastic,3,0,False,0,False,3,True,0,False,0,False,1,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Mike,Werewolf,True,60,2
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game5__run_1,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,1,True,1,True,0,False,1,True,0,False,1,True,1,True,0,False,0,False,0,False,0,False,1,True,0,False,3,True,Justin,Robber,False,60,2
