model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_category,total_words,total_relations,relations_per_100_words,mean_per_justification_density,low_support_diagnostic
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Any explicit,13,880,36,4.090909090909091,4.148815352472882,True
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison,178,11675,117,1.0021413276231264,0.9895403882992162,False
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency,178,11675,129,1.1049250535331905,1.102184332234243,False
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion,178,11675,119,1.019271948608137,0.9908020812648106,False
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal,178,11675,28,0.2398286937901499,0.25155438626322074,False
Gemma 4 2B,Stochastic,run_2,Payoff,Any explicit,178,11675,393,3.366167023554604,3.3340811880614907,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Comparison,114,7681,92,1.1977607082411144,1.1949006267589555,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Contingency,114,7681,91,1.1847415701080588,1.183278768240569,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Expansion,114,7681,80,1.0415310506444473,1.021663976566799,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Temporal,114,7681,12,0.1562296575966671,0.16677794951208194,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Any explicit,114,7681,275,3.5802629865902875,3.5666213210784052,False
Gemma 4 2B,Stochastic,run_3,Mechanical,Comparison,6,386,4,1.0362694300518134,0.9195517308956983,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Contingency,6,386,5,1.2953367875647668,1.4538702038702038,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Expansion,6,386,2,0.5181347150259067,0.43228469433288713,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Temporal,6,386,2,0.5181347150259067,0.43228469433288713,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Any explicit,6,386,13,3.3678756476683938,3.2379913234316766,True
Gemma 4 2B,Stochastic,run_3,Testimony,Comparison,103,6692,61,0.9115361625821877,0.9082383592288858,False
Gemma 4 2B,Stochastic,run_3,Testimony,Contingency,103,6692,78,1.1655708308427974,1.204569582288124,False
Gemma 4 2B,Stochastic,run_3,Testimony,Expansion,103,6692,53,0.7919904363419008,0.7613862670554707,False
Gemma 4 2B,Stochastic,run_3,Testimony,Temporal,103,6692,18,0.26897788404064554,0.26618068092681635,False
Gemma 4 2B,Stochastic,run_3,Testimony,Any explicit,103,6692,210,3.1380753138075312,3.140374889499297,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Comparison,107,6936,59,0.850634371395617,0.8469802447702285,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Contingency,107,6936,78,1.1245674740484428,1.1347891685388751,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Expansion,107,6936,61,0.8794694348327566,0.8751548750033672,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Temporal,107,6936,15,0.21626297577854672,0.21497917370003977,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Any explicit,107,6936,213,3.0709342560553634,3.07190346201251,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Comparison,34,2349,16,0.6811409110259685,0.7032038377055648,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Contingency,34,2349,19,0.8088548318433376,0.8102025271486941,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Expansion,34,2349,19,0.8088548318433376,0.8110069618390368,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Temporal,34,2349,8,0.34057045551298426,0.31566820997694317,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Any explicit,34,2349,62,2.639421030225628,2.6400815366702384,False
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Comparison,15,1020,11,1.0784313725490196,1.0696939994631596,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Contingency,15,1020,8,0.7843137254901961,0.9117500323131117,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Expansion,15,1020,8,0.7843137254901961,0.7983591102885078,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Temporal,15,1020,4,0.39215686274509803,0.397674221203633,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Any explicit,15,1020,31,3.0392156862745097,3.177477363268412,True
Gemma 4 2B,Stochastic,run_3,Payoff,Comparison,172,11114,102,0.9177613820406694,0.9174764796381003,False
Gemma 4 2B,Stochastic,run_3,Payoff,Contingency,172,11114,142,1.2776678063703437,1.2906207875700189,False
Gemma 4 2B,Stochastic,run_3,Payoff,Expansion,172,11114,91,0.818787115350009,0.7950496367717063,False
Gemma 4 2B,Stochastic,run_3,Payoff,Temporal,172,11114,22,0.19794853338132085,0.1999272597418383,False
Gemma 4 2B,Stochastic,run_3,Payoff,Any explicit,172,11114,357,3.212164837142343,3.2030741637216633,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Comparison,114,7677,86,1.1202292562198775,1.1278686261273776,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Contingency,114,7677,95,1.2374625504754462,1.2293630793251813,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Expansion,114,7677,62,0.807607138205028,0.7952039670886735,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Temporal,114,7677,13,0.16933698059137683,0.16190869310666306,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Any explicit,114,7677,256,3.3346359254917286,3.3143443656478953,False
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Comparison,5,334,2,0.5988023952095808,0.626517727051967,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Contingency,5,334,4,1.1976047904191616,1.2321369981064725,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Expansion,5,334,3,0.8982035928143712,0.9339294585196225,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Temporal,5,334,1,0.2994011976047904,0.3278688524590164,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Any explicit,5,334,10,2.9940119760479043,3.1204530361370777,True
Gemma 4 2B,Greedy,greedy_t0,Testimony,Comparison,104,6689,72,1.0763940798325609,1.0586752322242292,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Contingency,104,6689,78,1.1660935864852744,1.1603831806411704,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Expansion,104,6689,67,1.0016444909552997,1.0273141428565844,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Temporal,104,6689,20,0.2989983555090447,0.309046372881931,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Any explicit,104,6689,237,3.5431305127821795,3.5554189286039155,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Comparison,97,6023,65,1.079196413747302,1.0841140174671564,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Contingency,97,6023,64,1.0625933919973436,1.0681133031331638,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Expansion,97,6023,65,1.079196413747302,1.08896939151655,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Temporal,97,6023,15,0.2490453262493774,0.2581873064834637,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Any explicit,97,6023,209,3.470031545741325,3.4993840186003338,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Comparison,34,2372,21,0.8853288364249579,0.8681925188093385,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Contingency,34,2372,26,1.0961214165261384,1.0328708614689828,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Expansion,34,2372,18,0.7588532883642496,0.7382354036397496,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Temporal,34,2372,3,0.12647554806070826,0.12916755815583478,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Any explicit,34,2372,68,2.866779089376054,2.7684663420739053,False
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Comparison,15,982,11,1.120162932790224,1.1420108078841733,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Contingency,15,982,12,1.2219959266802445,1.1529330818984704,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Expansion,15,982,11,1.120162932790224,1.167835514574789,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Temporal,15,982,5,0.5091649694501018,0.519339035499062,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Any explicit,15,982,39,3.9714867617107945,3.982118439856494,True
Gemma 4 2B,Greedy,greedy_t0,Payoff,Comparison,172,11169,112,1.0027755394395201,0.996972920902342,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Contingency,172,11169,155,1.38776971976005,1.3642818422908392,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Expansion,172,11169,115,1.02963559853165,1.0282077275658188,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Temporal,172,11169,24,0.21488047273704003,0.22564577220660514,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Any explicit,172,11169,406,3.63506133046826,3.6151082629656055,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Comparison,122,8210,97,1.1814859926918393,1.1922523012476873,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Contingency,122,8210,123,1.4981729598051157,1.4629964395104729,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Expansion,122,8210,79,0.9622411693057247,0.950829072370638,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Temporal,122,8210,11,0.13398294762484775,0.14293869545360968,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Any explicit,122,8210,310,3.7758830694275276,3.749016508582408,False
Gemma 4 4B,Stochastic,run_1,Mechanical,Comparison,15,1235,12,0.97165991902834,0.940317415626978,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Contingency,15,1235,8,0.6477732793522267,0.7137864490927733,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Expansion,15,1235,10,0.8097165991902834,0.8578623621385113,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Temporal,15,1235,6,0.48582995951417,0.5073832235335488,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Any explicit,15,1235,36,2.91497975708502,3.0193494503918115,True
Gemma 4 4B,Stochastic,run_1,Testimony,Comparison,148,12213,149,1.2200114631949561,1.2241572221808532,False
Gemma 4 4B,Stochastic,run_1,Testimony,Contingency,148,12213,64,0.5240317694260215,0.5431451289596684,False
Gemma 4 4B,Stochastic,run_1,Testimony,Expansion,148,12213,76,0.6222877261934004,0.6323829478631161,False
Gemma 4 4B,Stochastic,run_1,Testimony,Temporal,148,12213,71,0.5813477442069925,0.5856238364428129,False
Gemma 4 4B,Stochastic,run_1,Testimony,Any explicit,148,12213,360,2.9476787030213707,2.9853091354464505,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Comparison,108,8893,98,1.101990329472619,1.1065895298724318,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Contingency,108,8893,28,0.3148543798493197,0.3254178562455329,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Expansion,108,8893,52,0.584729562577308,0.5903892232266149,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Temporal,108,8893,47,0.5285055661756438,0.5319695171363849,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Any explicit,108,8893,225,2.5300798380748906,2.5543661264809647,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Comparison,118,9951,112,1.125515023615717,1.1237452405833142,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Contingency,118,9951,31,0.3115264797507788,0.31058041871253056,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Expansion,118,9951,51,0.5125113053964425,0.5147923397830719,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Temporal,118,9951,59,0.5929052356547081,0.6024025927225036,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Any explicit,118,9951,253,2.5424580444176463,2.55152059180142,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Comparison,36,2928,31,1.0587431693989071,1.0661625791955274,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Contingency,36,2928,7,0.2390710382513661,0.23851342827987654,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Expansion,36,2928,20,0.6830601092896175,0.6901512930172944,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Temporal,36,2928,36,1.2295081967213115,1.2121570691920014,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Any explicit,36,2928,94,3.210382513661202,3.2069843696846996,False
Gemma 4 4B,Stochastic,run_1,Payoff,Comparison,140,11400,134,1.1754385964912282,1.1793788823606557,False
Gemma 4 4B,Stochastic,run_1,Payoff,Contingency,140,11400,63,0.5526315789473685,0.5738409551769305,False
Gemma 4 4B,Stochastic,run_1,Payoff,Expansion,140,11400,68,0.5964912280701754,0.6044922871373991,False
Gemma 4 4B,Stochastic,run_1,Payoff,Temporal,140,11400,50,0.43859649122807015,0.44751370157928694,False
Gemma 4 4B,Stochastic,run_1,Payoff,Any explicit,140,11400,315,2.763157894736842,2.805225826254272,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Comparison,76,6263,87,1.3891106498483154,1.4020857501240143,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Contingency,76,6263,28,0.4470700942040556,0.4389602566212081,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Expansion,76,6263,36,0.5748044068337858,0.569663736761823,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Temporal,76,6263,19,0.3033689924956091,0.3113007920226883,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Any explicit,76,6263,170,2.7143541433817657,2.7220105355297344,False
Gemma 4 4B,Stochastic,run_2,Mechanical,Comparison,13,1039,11,1.0587102983638113,1.0545483947781067,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Contingency,13,1039,10,0.9624639076034649,0.9491690005724143,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Expansion,13,1039,5,0.48123195380173245,0.5158614521177178,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Temporal,13,1039,2,0.19249278152069296,0.20922852248153456,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Any explicit,13,1039,28,2.6948989412897015,2.7288073699497732,True
Gemma 4 4B,Stochastic,run_2,Testimony,Comparison,143,11677,146,1.2503211441294853,1.2471388396535714,False
Gemma 4 4B,Stochastic,run_2,Testimony,Contingency,143,11677,72,0.6165967286118009,0.6260973916067115,False
Gemma 4 4B,Stochastic,run_2,Testimony,Expansion,143,11677,80,0.6851074762353344,0.7007938787111334,False
Gemma 4 4B,Stochastic,run_2,Testimony,Temporal,143,11677,63,0.5395221375353259,0.5322941176366797,False
Gemma 4 4B,Stochastic,run_2,Testimony,Any explicit,143,11677,361,3.0915474865119466,3.1063242276080962,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Comparison,110,8995,107,1.189549749861034,1.1937422185442872,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Contingency,110,8995,36,0.4002223457476376,0.39847971446166186,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Expansion,110,8995,66,0.7337409672040022,0.7416068365406677,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Temporal,110,8995,47,0.5225125069483046,0.5172479781383905,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Any explicit,110,8995,256,2.8460255697609784,2.8510767476850076,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Comparison,107,9057,111,1.2255713812520703,1.2244361472263507,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Contingency,107,9057,39,0.4306061609804571,0.4269693106785673,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Expansion,107,9057,51,0.5631003643590593,0.5688432973594136,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Temporal,107,9057,55,0.6072650988185934,0.612805195245939,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Any explicit,107,9057,256,2.82654300541018,2.83305395051027,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Comparison,31,2502,25,0.9992006394884093,0.9845231964503258,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Contingency,31,2502,7,0.2797761790567546,0.2840895975552981,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Expansion,31,2502,23,0.9192645883293366,0.9347390671518198,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Temporal,31,2502,28,1.1191047162270185,1.1091626825551062,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Any explicit,31,2502,83,3.317346123101519,3.3125145437125494,False
Gemma 4 4B,Stochastic,run_2,Payoff,Comparison,136,11029,128,1.160576661528697,1.1627942563651612,False
Gemma 4 4B,Stochastic,run_2,Payoff,Contingency,136,11029,66,0.5984223411007344,0.611221020746846,False
Gemma 4 4B,Stochastic,run_2,Payoff,Expansion,136,11029,82,0.7434944237918215,0.7616554637960423,False
Gemma 4 4B,Stochastic,run_2,Payoff,Temporal,136,11029,50,0.45335025840964727,0.4478331193301695,False
Gemma 4 4B,Stochastic,run_2,Payoff,Any explicit,136,11029,326,2.9558436848309,2.983503860238219,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Comparison,88,7326,95,1.2967512967512969,1.2944280394819339,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Contingency,88,7326,44,0.6006006006006006,0.5988033379681048,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Expansion,88,7326,39,0.5323505323505323,0.5201392460567675,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Temporal,88,7326,20,0.273000273000273,0.28310857139426787,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Any explicit,88,7326,198,2.7027027027027026,2.696479194901074,False
Gemma 4 4B,Stochastic,run_3,Mechanical,Comparison,12,921,13,1.4115092290988056,1.3909382344284864,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Contingency,12,921,5,0.5428881650380022,0.5920041627762216,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Expansion,12,921,8,0.8686210640608035,0.8727251977318478,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Temporal,12,921,3,0.3257328990228013,0.3274868406447354,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Any explicit,12,921,29,3.1487513572204127,3.1831544355812915,True
Gemma 4 4B,Stochastic,run_3,Testimony,Comparison,141,11571,144,1.244490536686544,1.254188555923766,False
Gemma 4 4B,Stochastic,run_3,Testimony,Contingency,141,11571,48,0.41483017889551466,0.42056694547781687,False
Gemma 4 4B,Stochastic,run_3,Testimony,Expansion,141,11571,85,0.7345951084608072,0.7351983962333607,False
Gemma 4 4B,Stochastic,run_3,Testimony,Temporal,141,11571,41,0.35433411113991875,0.35319564093249994,False
Gemma 4 4B,Stochastic,run_3,Testimony,Any explicit,141,11571,318,2.7482499351827845,2.763149538567444,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Comparison,104,8572,99,1.154923005132991,1.1587179514143215,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Contingency,104,8572,24,0.2799813345776948,0.287121312782476,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Expansion,104,8572,64,0.7466168922071862,0.7432947844808458,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Temporal,104,8572,25,0.2916472235184321,0.2969011901198483,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Any explicit,104,8572,212,2.473168455436304,2.4860352387974918,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Comparison,108,9082,101,1.1120898480510901,1.1173972040631994,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Contingency,108,9082,30,0.33032371724289805,0.31457139347486207,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Expansion,108,9082,56,0.616604272186743,0.6219852299190479,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Temporal,108,9082,36,0.39638846069147765,0.4077553519021972,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Any explicit,108,9082,223,2.4554062981722087,2.461709179359307,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Comparison,38,3212,38,1.1830635118306352,1.1769157915855695,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Contingency,38,3212,13,0.40473225404732255,0.4035569705999773,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Expansion,38,3212,20,0.6226650062266501,0.6149329552153759,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Temporal,38,3212,23,0.7160647571606475,0.7301424143554952,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Any explicit,38,3212,94,2.9265255292652554,2.9255481317564183,False
Gemma 4 4B,Stochastic,run_3,Payoff,Comparison,136,11134,144,1.293335728399497,1.3057945341258004,False
Gemma 4 4B,Stochastic,run_3,Payoff,Contingency,136,11134,56,0.5029638943775822,0.5040002538234766,False
