model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_both,n_with_same_sentence,localization_rate
Gemma 4 4B,Stochastic,run_1,Mechanical,Contingency,7,2,0.2857142857142857
Gemma 4 4B,Stochastic,run_1,Mechanical,Expansion,7,1,0.14285714285714285
Gemma 4 4B,Stochastic,run_1,Mechanical,Temporal,5,3,0.6
Gemma 4 4B,Stochastic,run_1,Mechanical,Any explicit,15,10,0.6666666666666666
Gemma 4 4B,Stochastic,run_1,Testimony,Comparison,123,70,0.5691056910569106
Gemma 4 4B,Stochastic,run_1,Testimony,Contingency,54,26,0.48148148148148145
Gemma 4 4B,Stochastic,run_1,Testimony,Expansion,64,36,0.5625
Gemma 4 4B,Stochastic,run_1,Testimony,Temporal,51,44,0.8627450980392157
Gemma 4 4B,Stochastic,run_1,Testimony,Any explicit,143,116,0.8111888111888111
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Comparison,86,64,0.7441860465116279
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Contingency,25,8,0.32
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Expansion,44,27,0.6136363636363636
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Temporal,36,17,0.4722222222222222
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Any explicit,101,81,0.801980198019802
Gemma 4 4B,Stochastic,run_1,Behavioral,Comparison,93,66,0.7096774193548387
Gemma 4 4B,Stochastic,run_1,Behavioral,Contingency,28,12,0.42857142857142855
Gemma 4 4B,Stochastic,run_1,Behavioral,Expansion,47,34,0.723404255319149
Gemma 4 4B,Stochastic,run_1,Behavioral,Temporal,40,18,0.45
Gemma 4 4B,Stochastic,run_1,Behavioral,Any explicit,111,87,0.7837837837837838
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Comparison,25,11,0.44
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Contingency,7,2,0.2857142857142857
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Expansion,16,10,0.625
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Temporal,23,23,1.0
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Any explicit,35,31,0.8857142857142857
Gemma 4 4B,Stochastic,run_1,Payoff,Comparison,114,20,0.17543859649122806
Gemma 4 4B,Stochastic,run_1,Payoff,Contingency,54,29,0.5370370370370371
Gemma 4 4B,Stochastic,run_1,Payoff,Expansion,58,16,0.27586206896551724
Gemma 4 4B,Stochastic,run_1,Payoff,Temporal,40,2,0.05
Gemma 4 4B,Stochastic,run_1,Payoff,Any explicit,133,48,0.3609022556390977
Gemma 4 4B,Stochastic,run_1,Uncertainty,Comparison,70,30,0.42857142857142855
Gemma 4 4B,Stochastic,run_1,Uncertainty,Contingency,25,5,0.2
Gemma 4 4B,Stochastic,run_1,Uncertainty,Expansion,33,8,0.24242424242424243
Gemma 4 4B,Stochastic,run_1,Uncertainty,Temporal,14,1,0.07142857142857142
Gemma 4 4B,Stochastic,run_1,Uncertainty,Any explicit,75,34,0.4533333333333333
Gemma 4 4B,Stochastic,run_2,Mechanical,Comparison,10,5,0.5
Gemma 4 4B,Stochastic,run_2,Mechanical,Contingency,9,3,0.3333333333333333
Gemma 4 4B,Stochastic,run_2,Mechanical,Expansion,4,1,0.25
Gemma 4 4B,Stochastic,run_2,Mechanical,Temporal,2,1,0.5
Gemma 4 4B,Stochastic,run_2,Mechanical,Any explicit,12,8,0.6666666666666666
Gemma 4 4B,Stochastic,run_2,Testimony,Comparison,117,66,0.5641025641025641
Gemma 4 4B,Stochastic,run_2,Testimony,Contingency,54,25,0.46296296296296297
Gemma 4 4B,Stochastic,run_2,Testimony,Expansion,68,40,0.5882352941176471
Gemma 4 4B,Stochastic,run_2,Testimony,Temporal,45,38,0.8444444444444444
Gemma 4 4B,Stochastic,run_2,Testimony,Any explicit,139,117,0.841726618705036
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Comparison,86,65,0.7558139534883721
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Contingency,30,12,0.4
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Expansion,55,45,0.8181818181818182
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Temporal,33,19,0.5757575757575758
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Any explicit,105,94,0.8952380952380953
Gemma 4 4B,Stochastic,run_2,Behavioral,Comparison,87,64,0.735632183908046
Gemma 4 4B,Stochastic,run_2,Behavioral,Contingency,30,11,0.36666666666666664
Gemma 4 4B,Stochastic,run_2,Behavioral,Expansion,45,25,0.5555555555555556
Gemma 4 4B,Stochastic,run_2,Behavioral,Temporal,34,22,0.6470588235294118
Gemma 4 4B,Stochastic,run_2,Behavioral,Any explicit,103,81,0.7864077669902912
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Comparison,19,13,0.6842105263157895
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Contingency,5,1,0.2
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Expansion,18,8,0.4444444444444444
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Temporal,18,16,0.8888888888888888
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Any explicit,29,26,0.896551724137931
Gemma 4 4B,Stochastic,run_2,Payoff,Comparison,102,24,0.23529411764705882
Gemma 4 4B,Stochastic,run_2,Payoff,Contingency,50,32,0.64
Gemma 4 4B,Stochastic,run_2,Payoff,Expansion,69,26,0.37681159420289856
Gemma 4 4B,Stochastic,run_2,Payoff,Temporal,34,0,0.0
Gemma 4 4B,Stochastic,run_2,Payoff,Any explicit,132,61,0.4621212121212121
Gemma 4 4B,Stochastic,run_2,Uncertainty,Comparison,74,41,0.5540540540540541
Gemma 4 4B,Stochastic,run_2,Uncertainty,Contingency,31,11,0.3548387096774194
Gemma 4 4B,Stochastic,run_2,Uncertainty,Expansion,36,8,0.2222222222222222
Gemma 4 4B,Stochastic,run_2,Uncertainty,Temporal,17,3,0.17647058823529413
Gemma 4 4B,Stochastic,run_2,Uncertainty,Any explicit,84,49,0.5833333333333334
Gemma 4 4B,Stochastic,run_3,Mechanical,Comparison,10,4,0.4
Gemma 4 4B,Stochastic,run_3,Mechanical,Contingency,4,2,0.5
Gemma 4 4B,Stochastic,run_3,Mechanical,Expansion,5,2,0.4
Gemma 4 4B,Stochastic,run_3,Mechanical,Temporal,3,2,0.6666666666666666
Gemma 4 4B,Stochastic,run_3,Mechanical,Any explicit,12,10,0.8333333333333334
Gemma 4 4B,Stochastic,run_3,Testimony,Comparison,114,66,0.5789473684210527
Gemma 4 4B,Stochastic,run_3,Testimony,Contingency,40,26,0.65
Gemma 4 4B,Stochastic,run_3,Testimony,Expansion,67,37,0.5522388059701493
Gemma 4 4B,Stochastic,run_3,Testimony,Temporal,38,32,0.8421052631578947
Gemma 4 4B,Stochastic,run_3,Testimony,Any explicit,137,110,0.8029197080291971
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Comparison,79,52,0.6582278481012658
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Contingency,20,6,0.3
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Expansion,54,38,0.7037037037037037
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Temporal,23,14,0.6086956521739131
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Any explicit,97,74,0.7628865979381443
Gemma 4 4B,Stochastic,run_3,Behavioral,Comparison,84,68,0.8095238095238095
Gemma 4 4B,Stochastic,run_3,Behavioral,Contingency,26,8,0.3076923076923077
Gemma 4 4B,Stochastic,run_3,Behavioral,Expansion,48,30,0.625
Gemma 4 4B,Stochastic,run_3,Behavioral,Temporal,31,16,0.5161290322580645
Gemma 4 4B,Stochastic,run_3,Behavioral,Any explicit,101,89,0.8811881188118812
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Comparison,28,16,0.5714285714285714
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Contingency,12,5,0.4166666666666667
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Expansion,17,4,0.23529411764705882
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Temporal,22,20,0.9090909090909091
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Any explicit,38,32,0.8421052631578947
Gemma 4 4B,Stochastic,run_3,Payoff,Comparison,113,22,0.19469026548672566
Gemma 4 4B,Stochastic,run_3,Payoff,Contingency,45,23,0.5111111111111111
Gemma 4 4B,Stochastic,run_3,Payoff,Expansion,69,23,0.3333333333333333
Gemma 4 4B,Stochastic,run_3,Payoff,Temporal,30,3,0.1
Gemma 4 4B,Stochastic,run_3,Payoff,Any explicit,130,55,0.4230769230769231
Gemma 4 4B,Stochastic,run_3,Uncertainty,Comparison,73,44,0.6027397260273972
Gemma 4 4B,Stochastic,run_3,Uncertainty,Contingency,24,9,0.375
Gemma 4 4B,Stochastic,run_3,Uncertainty,Expansion,35,7,0.2
Gemma 4 4B,Stochastic,run_3,Uncertainty,Temporal,10,1,0.1
Gemma 4 4B,Stochastic,run_3,Uncertainty,Any explicit,76,49,0.6447368421052632
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Comparison,9,2,0.2222222222222222
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Contingency,9,6,0.6666666666666666
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Expansion,5,0,0.0
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Temporal,3,2,0.6666666666666666
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Any explicit,14,8,0.5714285714285714
Gemma 4 4B,Greedy,greedy_t0,Testimony,Comparison,100,67,0.67
Gemma 4 4B,Greedy,greedy_t0,Testimony,Contingency,53,20,0.37735849056603776
Gemma 4 4B,Greedy,greedy_t0,Testimony,Expansion,63,32,0.5079365079365079
Gemma 4 4B,Greedy,greedy_t0,Testimony,Temporal,47,41,0.8723404255319149
Gemma 4 4B,Greedy,greedy_t0,Testimony,Any explicit,135,101,0.7481481481481481
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Comparison,78,60,0.7692307692307693
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Contingency,26,6,0.23076923076923078
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Expansion,60,48,0.8
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Temporal,27,17,0.6296296296296297
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Any explicit,102,84,0.8235294117647058
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Comparison,71,44,0.6197183098591549
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Contingency,21,4,0.19047619047619047
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Expansion,47,28,0.5957446808510638
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Temporal,35,16,0.45714285714285713
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Any explicit,93,66,0.7096774193548387
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Comparison,21,11,0.5238095238095238
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Contingency,6,0,0.0
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Expansion,15,6,0.4
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Temporal,25,23,0.92
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Any explicit,36,31,0.8611111111111112
Gemma 4 4B,Greedy,greedy_t0,Payoff,Comparison,102,15,0.14705882352941177
Gemma 4 4B,Greedy,greedy_t0,Payoff,Contingency,52,34,0.6538461538461539
Gemma 4 4B,Greedy,greedy_t0,Payoff,Expansion,72,26,0.3611111111111111
Gemma 4 4B,Greedy,greedy_t0,Payoff,Temporal,37,3,0.08108108108108109
Gemma 4 4B,Greedy,greedy_t0,Payoff,Any explicit,135,60,0.4444444444444444
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Comparison,64,31,0.484375
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Contingency,33,7,0.21212121212121213
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Expansion,37,5,0.13513513513513514
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Temporal,15,1,0.06666666666666667
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Any explicit,77,37,0.4805194805194805
Gemma 4 31B,Stochastic,run_1,Mechanical,Comparison,36,17,0.4722222222222222
Gemma 4 31B,Stochastic,run_1,Mechanical,Contingency,76,61,0.8026315789473685
Gemma 4 31B,Stochastic,run_1,Mechanical,Expansion,56,23,0.4107142857142857
Gemma 4 31B,Stochastic,run_1,Mechanical,Temporal,40,19,0.475
Gemma 4 31B,Stochastic,run_1,Mechanical,Any explicit,97,84,0.865979381443299
Gemma 4 31B,Stochastic,run_1,Testimony,Comparison,89,66,0.7415730337078652
Gemma 4 31B,Stochastic,run_1,Testimony,Contingency,110,50,0.45454545454545453
Gemma 4 31B,Stochastic,run_1,Testimony,Expansion,99,77,0.7777777777777778
Gemma 4 31B,Stochastic,run_1,Testimony,Temporal,84,76,0.9047619047619048
Gemma 4 31B,Stochastic,run_1,Testimony,Any explicit,177,157,0.8870056497175142
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Comparison,28,18,0.6428571428571429
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Contingency,20,6,0.3
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Expansion,27,20,0.7407407407407407
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Temporal,17,7,0.4117647058823529
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Any explicit,46,35,0.7608695652173914
Gemma 4 31B,Stochastic,run_1,Behavioral,Comparison,66,39,0.5909090909090909
Gemma 4 31B,Stochastic,run_1,Behavioral,Contingency,67,32,0.47761194029850745
Gemma 4 31B,Stochastic,run_1,Behavioral,Expansion,65,36,0.5538461538461539
Gemma 4 31B,Stochastic,run_1,Behavioral,Temporal,63,26,0.4126984126984127
Gemma 4 31B,Stochastic,run_1,Behavioral,Any explicit,116,85,0.7327586206896551
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Comparison,57,31,0.543859649122807
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Contingency,64,20,0.3125
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Expansion,62,24,0.3870967741935484
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Temporal,64,51,0.796875
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Any explicit,109,88,0.8073394495412844
Gemma 4 31B,Stochastic,run_1,Payoff,Comparison,29,11,0.3793103448275862
Gemma 4 31B,Stochastic,run_1,Payoff,Contingency,50,38,0.76
Gemma 4 31B,Stochastic,run_1,Payoff,Expansion,33,22,0.6666666666666666
Gemma 4 31B,Stochastic,run_1,Payoff,Temporal,25,6,0.24
Gemma 4 31B,Stochastic,run_1,Payoff,Any explicit,58,48,0.8275862068965517
Gemma 4 31B,Stochastic,run_1,Uncertainty,Comparison,15,10,0.6666666666666666
Gemma 4 31B,Stochastic,run_1,Uncertainty,Contingency,12,4,0.3333333333333333
Gemma 4 31B,Stochastic,run_1,Uncertainty,Expansion,12,5,0.4166666666666667
Gemma 4 31B,Stochastic,run_1,Uncertainty,Temporal,7,1,0.14285714285714285
Gemma 4 31B,Stochastic,run_1,Uncertainty,Any explicit,20,13,0.65
Gemma 4 31B,Stochastic,run_2,Mechanical,Comparison,34,14,0.4117647058823529
Gemma 4 31B,Stochastic,run_2,Mechanical,Contingency,73,61,0.8356164383561644
Gemma 4 31B,Stochastic,run_2,Mechanical,Expansion,56,29,0.5178571428571429
