game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,unanimous,1,Erin | Erin | Erin,Erin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Meryl,Jordan2,two_vs_one,2,Jordan2 | Meryl | Jordan2,Jordan2,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Haak,Haak,unanimous,1,Haak | Haak | Haak,Haak,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Justin,Julie,No Werewolf,all_different,3,Justin | Julie | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,two_vs_one,2,Caitlynn | Justin | Caitlynn,Caitlynn,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,unanimous,1,Meghan | Meghan | Meghan,Meghan,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Justin,Meghan,two_vs_one,2,Meghan | Justin | Meghan,Meghan,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,two_vs_one,2,Mike | Paul | Paul,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Alysha,Alysha,unanimous,1,Alysha | Alysha | Alysha,Alysha,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,James,two_vs_one,2,Mike | James | James,James,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,James,James,Mitchell,two_vs_one,2,James | James | Mitchell,James,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Paul,Paul,Mitchell,two_vs_one,2,Paul | Paul | Mitchell,Paul,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Mitchell,Justin,Mitchell,two_vs_one,2,Mitchell | Justin | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Paul,No Werewolf,Paul,two_vs_one,2,Paul | No Werewolf | Paul,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Paul,Justin,Justin,two_vs_one,2,Paul | Justin | Justin,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Paul,two_vs_one,2,Mitchell | Mitchell | Paul,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Mike,No Werewolf,all_different,3,Justin | Mike | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mike,Mitchell,two_vs_one,2,Mike | Mike | Mitchell,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Caitlynn,Caitlynn,Mitchell,two_vs_one,2,Caitlynn | Caitlynn | Mitchell,Caitlynn,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,Paul,Mitchell,all_different,3,Justin | Paul | Mitchell,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Justin,Paul,Justin,two_vs_one,2,Justin | Paul | Justin,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Mitchell,Justin,two_vs_one,2,Justin | Mitchell | Justin,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,Justin,Justin,two_vs_one,2,James | Justin | Justin,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,James,Paul,two_vs_one,2,Paul | James | Paul,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,James,Justin,James,two_vs_one,2,James | Justin | James,James,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Caitlynn,Caitlynn,two_vs_one,2,Alana | Caitlynn | Caitlynn,Caitlynn,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mike,No Werewolf,Alana,all_different,3,Mike | No Werewolf | Alana,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Alana,Alana,two_vs_one,2,Mike | Alana | Alana,Alana,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Mike,Mike,Paul,two_vs_one,2,Mike | Mike | Paul,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,all_different,3,Mitchell | Justin | Paul,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Justin,Paul,Justin,two_vs_one,2,Justin | Paul | Justin,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,two_vs_one,2,Mitchell | Mitchell | James,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mitchell,two_vs_one,2,Mike | Mike | Mitchell,Mike,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,Caitlynn,No Werewolf,Caitlynn,two_vs_one,2,Caitlynn | No Werewolf | Caitlynn,Caitlynn,True,2,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
