game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,Erin,1,True,unanimous,Erin | Erin | Erin,False,False,False,0,same_vote_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Paul,Paul,Paul,James,1,True,unanimous,Paul | Paul | Paul,False,False,False,0,same_vote_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,James,James,James,1,True,unanimous,James | James | James,False,False,False,0,same_vote_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Laura,Laura,Justin,Justin,2,False,two_vs_one,Laura | Laura | Justin,False,False,False,0,different_votes_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Laura,Laura,Laura,Justin,1,True,unanimous,Laura | Laura | Laura,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Justin,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Justin | Mitchell | Mitchell,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Alvin,Justin,Justin,2,False,two_vs_one,Justin | Alvin | Justin,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,Justin,Justin,James,James,2,False,two_vs_one,Justin | Justin | James,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James,1,True,unanimous,James | James | James,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Mitchell,Mitchell,Justin,Justin,2,False,two_vs_one,Mitchell | Mitchell | Justin,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,Mitchell,Justin,No Werewolf,3,False,all_different,No Werewolf | Mitchell | Justin,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Dan,Dan,Mitchell,Justin,2,False,two_vs_one,Dan | Dan | Mitchell,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Caitlynn,Justin,Justin,2,False,two_vs_one,Justin | Caitlynn | Justin,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Dan,Dan,Justin,Dan,2,False,two_vs_one,Dan | Dan | Justin,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,Mitchell,James,James,Mitchell,2,False,two_vs_one,Mitchell | James | James,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Justin,Mitchell,Mike,Mike,3,False,all_different,Justin | Mitchell | Mike,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,Mike,Mitchell,James,James,3,False,all_different,Mike | Mitchell | James,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Justin,Caitlynn,No Werewolf,Justin,3,False,all_different,Justin | Caitlynn | No Werewolf,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Justin,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Justin | No Werewolf,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Mitchell,Justin,Justin,Justin,2,False,two_vs_one,Mitchell | Justin | Justin,False,True,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Justin,Justin,Paul,Paul,2,False,two_vs_one,Justin | Justin | Paul,True,True,True,3,different_votes_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Paul,No Werewolf,Mitchell,Mitchell,3,False,all_different,Paul | No Werewolf | Mitchell,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Meryl,Jordan2,Jordan2,2,False,two_vs_one,Jordan2 | Meryl | Jordan2,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Haak,Haak,Jordan1,1,True,unanimous,Haak | Haak | Haak,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Justin,Julie,No Werewolf,Mike,3,False,all_different,Justin | Julie | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,Justin,2,False,two_vs_one,Caitlynn | Justin | Caitlynn,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,Mike,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,Meghan,1,True,unanimous,Meghan | Meghan | Meghan,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Justin,Meghan,Meghan,2,False,two_vs_one,Meghan | Justin | Meghan,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,2,False,two_vs_one,Mike | Paul | Paul,False,True,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Alysha,Alysha,Alysha,1,True,unanimous,Alysha | Alysha | Alysha,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,Justin,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,James,James,2,False,two_vs_one,Mike | James | James,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,James,James,Mitchell,Justin,2,False,two_vs_one,James | James | Mitchell,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Paul,Paul,Mitchell,Mitchell,2,False,two_vs_one,Paul | Paul | Mitchell,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Mitchell,Justin,Mitchell,Justin,2,False,two_vs_one,Mitchell | Justin | Mitchell,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Paul,No Werewolf,Paul,Paul,2,False,two_vs_one,Paul | No Werewolf | Paul,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,No Werewolf,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,Mike,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Paul,Justin,Justin,Mitchell,2,False,two_vs_one,Paul | Justin | Justin,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Paul,Paul,2,False,two_vs_one,Mitchell | Mitchell | Paul,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Mike,No Werewolf,No Werewolf,3,False,all_different,Justin | Mike | No Werewolf,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mike,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mike | Mitchell,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Caitlynn,Caitlynn,Mitchell,Caitlynn,2,False,two_vs_one,Caitlynn | Caitlynn | Mitchell,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,Paul,Mitchell,Justin,3,False,all_different,Justin | Paul | Mitchell,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Justin,Paul,Justin,Paul,2,False,two_vs_one,Justin | Paul | Justin,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Mitchell,Justin,Justin,2,False,two_vs_one,Justin | Mitchell | Justin,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,Justin,Justin,Justin,2,False,two_vs_one,James | Justin | Justin,True,False,False,1,different_votes_mixed_correctness
