model,feature,representation,delta_beta_ft_minus_base,ci_lo,ci_hi,interval_excludes_zero,n_boot_used,n_failures,penalty_base,penalty_ft
4B,evidence,rate_overall,0.08565507115393223,-0.03968409419375378,0.2064463975278775,False,1000,0,10.0,10.0
4B,identity_declaration,rate_overall,-0.0998102876860736,-0.24461935198888635,0.07549369561705921,False,1000,0,10.0,10.0
4B,call_for_action,rate_overall,0.012080849631379688,-0.11461717839748006,0.12917545540167333,False,1000,0,10.0,10.0
4B,werewolf_accusations_made,rate_overall,0.22201945645297486,0.031531905038776634,0.38989428495813455,True,1000,0,10.0,10.0
4B,deception_accusations_made,rate_overall,-0.05015861443467361,-0.1806105765001298,0.1015510382676649,False,1000,0,10.0,10.0
4B,werewolf_accusations_received,rate_overall,0.24992593467763152,0.05421252982840481,0.4504006628028444,True,1000,0,10.0,10.0
4B,deception_accusations_received,rate_overall,-0.03885576504168564,-0.1773229090374245,0.0802299544909547,False,1000,0,10.0,10.0
4B,claims_werewolf,rate_overall,0.0006122353517322381,-0.20597351016667062,0.21675720628246015,False,1000,0,10.0,10.0
4B,claims_tanner,rate_overall,0.03179776817843509,-0.06968854627778487,0.1337099267596795,False,1000,0,10.0,10.0
4B,claims_night_action_role,rate_overall,0.10411177694935052,-0.11951061924082362,0.31533208786222916,False,1000,0,10.0,10.0
31B,accusation,count_overall,-0.02993728975597045,-0.18659357650700217,0.12972085141467077,False,1000,0,10.0,10.0
31B,defense,count_overall,-0.08064562050135786,-0.23581124742428253,0.07343970002265976,False,1000,0,10.0,10.0
31B,interrogation,count_overall,0.05237701291591605,-0.10754383595511718,0.19730218936569824,False,1000,0,10.0,10.0
31B,evidence,count_overall,-0.008134891426526503,-0.15823542222502293,0.13381391758298763,False,1000,0,10.0,10.0
31B,identity_declaration,count_overall,-0.013964337738264465,-0.21634940311924158,0.1720666034768155,False,1000,0,10.0,10.0
31B,call_for_action,count_overall,-0.06222559065589199,-0.21903726461473946,0.09306268874170885,False,1000,0,10.0,10.0
31B,werewolf_accusations_made,count_overall,-0.06439457261191346,-0.22646088141568943,0.10616680708712882,False,1000,0,10.0,10.0
31B,deception_accusations_made,count_overall,0.1406229529757291,-0.08967547564506104,0.352606999060198,False,1000,0,10.0,10.0
31B,werewolf_accusations_received,count_overall,0.08504215938939906,-0.13445853871917848,0.34041091629778364,False,1000,0,10.0,10.0
31B,deception_accusations_received,count_overall,0.050966676462227994,-0.11073774410651653,0.1949778291662931,False,1000,0,10.0,10.0
31B,claims_werewolf,count_overall,-0.03829182063363342,-0.18797581042324746,0.108231609124702,False,1000,0,10.0,10.0
31B,claims_tanner,count_overall,0.01337288508379128,-0.08189127554844809,0.11677417828605657,False,1000,0,10.0,10.0
31B,claims_night_action_role,count_overall,0.015576670119879798,-0.13836487929529456,0.18616978154305433,False,1000,0,10.0,10.0
31B,accusation,rate_overall,0.04753977718030308,-0.018430166095776284,0.11679240695670491,False,1000,0,100.0,100.0
31B,defense,rate_overall,0.009118495110866822,-0.07727312469064246,0.09705618068906326,False,1000,0,100.0,100.0
31B,interrogation,rate_overall,0.06414143510154535,-0.018300693830971534,0.14971357329607946,False,1000,0,100.0,100.0
31B,evidence,rate_overall,0.003738046947434281,-0.07629793756674823,0.07999313569210542,False,1000,0,100.0,100.0
31B,identity_declaration,rate_overall,0.026823938361777985,-0.046928969811013535,0.11282018003875714,False,1000,0,100.0,100.0
31B,call_for_action,rate_overall,0.004337765928877536,-0.08911870221134961,0.09202257935790074,False,1000,0,100.0,100.0
31B,werewolf_accusations_made,rate_overall,-0.05081819842421093,-0.12594659288151214,0.02498450078049493,False,1000,0,100.0,100.0
31B,deception_accusations_made,rate_overall,0.06897118577497952,-0.03246827706644438,0.1626186771450703,False,1000,0,100.0,100.0
31B,werewolf_accusations_received,rate_overall,0.0519562455528885,-0.027779882140673902,0.14185167867701073,False,1000,0,100.0,100.0
31B,deception_accusations_received,rate_overall,0.047001216007692304,-0.04509100815774468,0.12985920680455837,False,1000,0,100.0,100.0
31B,claims_werewolf,rate_overall,-0.025185339014828348,-0.12170214825766383,0.05876009632956084,False,1000,0,100.0,100.0
31B,claims_tanner,rate_overall,-0.012542255223517821,-0.07600865142269173,0.06098064158456493,False,1000,0,100.0,100.0
31B,claims_night_action_role,rate_overall,0.012026355562269447,-0.07006782673425467,0.09221155238754129,False,1000,0,100.0,100.0
