model,stage,feature,representation,block,lofo_importance,ci_lo,ci_hi,excludes_zero
31B,BASE,claims_night_action_role,count_overall,combined,-0.0024726774271692617,-0.008664108787361013,0.004886770349437354,False
31B,FT,accusation,count_overall,combined,-0.003916460168465158,-0.006136688778729419,-0.0018750437536560194,True
31B,FT,defense,count_overall,combined,-0.0056198551104700446,-0.015781607374833518,0.007429326445955754,False
31B,FT,interrogation,count_overall,combined,-0.0030317721139889392,-0.010566463828836812,0.004790319381447208,False
31B,FT,evidence,count_overall,combined,-0.0005933486403422687,-0.008406429905541732,0.006630069116589167,False
31B,FT,identity_declaration,count_overall,combined,-0.0039355988854841125,-0.015476911408547416,0.004296161903473481,False
31B,FT,call_for_action,count_overall,combined,-0.003040548845555798,-0.006827952795777181,0.0012310259680702034,False
31B,FT,werewolf_accusations_made,count_overall,combined,0.0003301768430088301,-0.0070892515662171205,0.00756901054428833,False
31B,FT,deception_accusations_made,count_overall,combined,-0.0032941017906156717,-0.012017789211342375,0.0036883993432414676,False
31B,FT,werewolf_accusations_received,count_overall,combined,0.15807772432951253,0.08757293926467304,0.23654411982359366,True
31B,FT,deception_accusations_received,count_overall,combined,0.012917381726721612,-0.011723155702909728,0.031595430745978204,False
31B,FT,claims_werewolf,count_overall,combined,0.009282764653505839,-0.011010024717384447,0.028182355443365684,False
31B,FT,claims_tanner,count_overall,combined,-0.0010647117989930964,-0.0028562287478834905,0.0014934681680673627,False
31B,FT,claims_night_action_role,count_overall,combined,-0.0009008695817149738,-0.007068560555041817,0.005373838419608884,False
