model,stage,feature,column,beta,odds_ratio,selected_penalty,beta_ci_lo,beta_ci_hi
2B,FT,claims_werewolf,claims_werewolf,0.6476240734807734,1.9109950471198787,10.0,0.4195464989473843,0.9010646084571344
2B,FT,claims_tanner,claims_tanner,-0.05348290640365554,0.9479221442638168,10.0,-0.2930930719627996,0.09393424232207567
2B,FT,claims_night_action_role,claims_night_action_role,-0.10881398734204349,0.8968972362213807,10.0,-0.3709314790992006,0.1580962164284821
2B,BASE,accusation,accusation_rate,0.0023945612868954535,1.0023974305385164,10.0,-0.17101054590503895,0.19207847690227575
2B,BASE,defense,defense_rate,0.2899124963228943,1.336310550822377,10.0,0.1430794769803331,0.4822901648253474
2B,BASE,interrogation,interrogation_rate,0.0541718876613232,1.055666042528141,10.0,-0.10303532305138749,0.18745624434997044
2B,BASE,evidence,evidence_rate,0.007609190611130739,1.007638214070317,10.0,-0.19265071102552153,0.1612526900477899
2B,BASE,identity_declaration,identity_declaration_rate,-0.11102443159361416,0.8949168844163011,10.0,-0.4107497030438178,0.21425185831536678
2B,BASE,call_for_action,call_for_action_rate,-0.053253820900012884,0.9481393243611057,10.0,-0.22422780904737538,0.08417874215403197
2B,BASE,werewolf_accusations_made,werewolf_accusations_made_rate,0.19636625578749964,1.2169725469584742,10.0,-0.0427720883887216,0.3963135926441449
2B,BASE,deception_accusations_made,deception_accusations_made_rate,-0.005011351876218448,0.9950011839982936,10.0,-0.14996502133229603,0.1196320093658749
2B,BASE,werewolf_accusations_received,werewolf_accusations_received_rate,0.7474919567900358,2.1116971417948194,10.0,0.5661805781539758,0.9923704577843382
2B,BASE,deception_accusations_received,deception_accusations_received_rate,0.027588314659371265,1.0279723961305534,10.0,-0.12927866230742113,0.1965841415153764
2B,BASE,claims_werewolf,claims_werewolf_rate,0.4915725394695139,1.6348851209577142,10.0,0.22818957841939996,0.8204049947704161
2B,BASE,claims_tanner,claims_tanner_rate,0.05772672178324403,1.059425438252665,10.0,-0.08829796810366136,0.19616634271801475
2B,BASE,claims_night_action_role,claims_night_action_role_rate,-0.0668605713716592,0.9353256034116098,10.0,-0.3299270624869022,0.19573752253844953
2B,FT,accusation,accusation_rate,0.04957253579928044,1.0508218116504815,10.0,-0.0934765600853718,0.19246534075602076
2B,FT,defense,defense_rate,0.3420832230508542,1.4078774604961959,10.0,0.20733553410263306,0.5539936653563315
2B,FT,interrogation,interrogation_rate,0.10170859177949605,1.1070608180952655,10.0,-0.06750427780543793,0.2664836682405503
2B,FT,evidence,evidence_rate,0.12616677398372994,1.1344713528139938,10.0,-0.059448526707181884,0.2864065874594244
2B,FT,identity_declaration,identity_declaration_rate,-0.009056496476882926,0.9909843900646316,10.0,-0.3377128654657699,0.2781890799843583
2B,FT,call_for_action,call_for_action_rate,-0.12178666194143989,0.8853372244814688,10.0,-0.3595488823271047,0.054917732432688424
2B,FT,werewolf_accusations_made,werewolf_accusations_made_rate,0.22234913018277638,1.249007367921862,10.0,0.038982062012474394,0.3887828032884897
2B,FT,deception_accusations_made,deception_accusations_made_rate,-0.05734006983298977,0.944272896032887,10.0,-0.2877874714302364,0.11848132369871484
2B,FT,werewolf_accusations_received,werewolf_accusations_received_rate,0.7371391393387692,2.0899479039759754,10.0,0.5259345053828056,1.0044851971105733
2B,FT,deception_accusations_received,deception_accusations_received_rate,-0.08144053914969879,0.9217875184940336,10.0,-0.3227807040397249,0.12181587116575643
2B,FT,claims_werewolf,claims_werewolf_rate,0.6412384783488181,1.8988310848518595,10.0,0.3607004458566176,0.9114322438408167
2B,FT,claims_tanner,claims_tanner_rate,-0.0019356944047636048,0.9980661778434224,10.0,-0.16884775210629702,0.1275443611852813
2B,FT,claims_night_action_role,claims_night_action_role_rate,-0.157586640866667,0.8542028015312565,10.0,-0.4162504125592973,0.15039487477925767
4B,BASE,accusation,accusation,0.022854767398616447,1.023117938676877,10.0,-0.1341399136396123,0.22209127341748075
4B,BASE,defense,defense,0.1645206509849914,1.1788279132577897,10.0,-0.09110886065601581,0.459643014196059
4B,BASE,interrogation,interrogation,-0.025112899983033378,0.9751998057714266,10.0,-0.1992118923647472,0.1148740156920188
4B,BASE,evidence,evidence,-0.05954198132793872,0.9421959781226003,10.0,-0.2627881784424977,0.11518482648192523
4B,BASE,identity_declaration,identity_declaration,-0.14794853305537659,0.8624755027787231,10.0,-0.37464764430563974,0.07288723431259135
4B,BASE,call_for_action,call_for_action,-0.06011532859930153,0.9416559274625349,10.0,-0.2100944109830535,0.08949831984816821
4B,BASE,werewolf_accusations_made,werewolf_accusations_made,0.22678826145373449,1.2545642002152726,10.0,0.06728629410760584,0.3385434532441623
4B,BASE,deception_accusations_made,deception_accusations_made,-0.2124380288329814,0.8086104253004998,10.0,-0.4129380697105534,-0.015431283511190306
4B,BASE,werewolf_accusations_received,werewolf_accusations_received,0.6871753375115357,1.988091905927337,10.0,0.5304078898913357,0.8740936264326529
4B,BASE,deception_accusations_received,deception_accusations_received,0.18533801988947446,1.2036252206379194,10.0,0.027036803275085623,0.3808162863957237
4B,BASE,claims_werewolf,claims_werewolf,0.8253085413964937,2.2825849286334488,10.0,0.5996552368780892,1.165169253967455
4B,BASE,claims_tanner,claims_tanner,0.034033002471465346,1.0346187511405018,10.0,-0.1624503011752087,0.19827287664773044
4B,BASE,claims_night_action_role,claims_night_action_role,0.06550930391642382,1.0677026710837036,10.0,-0.16272877070740427,0.30166399101549246
4B,FT,accusation,accusation,-0.0828689987832179,0.9204717222378419,10.0,-0.36284239739998464,0.16519355354156626
4B,FT,defense,defense,0.2559695934300258,1.2917134507671375,10.0,-0.0231220288426,0.5396579365290191
4B,FT,interrogation,interrogation,-0.06680379103561168,0.9353787130214618,10.0,-0.27824988834433684,0.11075503074048197
4B,FT,evidence,evidence,0.13028355152570847,1.1391513456362978,10.0,-0.11930696481971394,0.3575685665966915
4B,FT,identity_declaration,identity_declaration,-0.1730215550382792,0.8411194842865403,10.0,-0.4256893998571174,0.09574045076652438
4B,FT,call_for_action,call_for_action,-0.0054970223543500145,0.9945180586268813,10.0,-0.20590118597842427,0.19053729132667405
4B,FT,werewolf_accusations_made,werewolf_accusations_made,0.4721927374938977,1.603506409752031,10.0,0.28339686029491756,0.6840249964105817
4B,FT,deception_accusations_made,deception_accusations_made,-0.2636474665425777,0.7682443237512723,10.0,-0.5068594388427105,0.004147366917454935
4B,FT,werewolf_accusations_received,werewolf_accusations_received,0.9965246778652271,2.7088513199711937,10.0,0.7629651755900007,1.3211377523906045
4B,FT,deception_accusations_received,deception_accusations_received,0.12296255713684114,1.1308420781895894,10.0,-0.09153941803571145,0.36972058026257554
4B,FT,claims_werewolf,claims_werewolf,0.8386388476890448,2.313216193352163,10.0,0.6390359831577758,1.0912948498370132
4B,FT,claims_tanner,claims_tanner,0.036234630142448085,1.0368991057367154,10.0,-0.12125704528010911,0.20563856850120632
4B,FT,claims_night_action_role,claims_night_action_role,0.10076582258070266,1.1060176070856464,10.0,-0.14781939709878328,0.3465516696164306
4B,BASE,accusation,accusation_rate,0.018442146705155572,1.0186132533320136,10.0,-0.13695258683657432,0.20963808436700687
4B,BASE,defense,defense_rate,0.1597291124340248,1.1731930245405913,10.0,-0.03556563907096722,0.3552512369837133
4B,BASE,interrogation,interrogation_rate,-0.028052866441504707,0.9723369614473546,10.0,-0.18781931238369973,0.10325911752331755
4B,BASE,evidence,evidence_rate,-0.08861392487534073,0.9151988408827858,10.0,-0.26649618987134915,0.04132545086975952
4B,BASE,identity_declaration,identity_declaration_rate,-0.13724909320742185,0.8717530513212138,10.0,-0.35601923865966967,0.07443728717670711
4B,BASE,call_for_action,call_for_action_rate,-0.03739216246387717,0.9632982918342996,10.0,-0.20445654512114678,0.11563149112605871
4B,BASE,werewolf_accusations_made,werewolf_accusations_made_rate,0.1804491394050393,1.1977552013891237,10.0,-0.015131832715543888,0.3413906069603155
4B,BASE,deception_accusations_made,deception_accusations_made_rate,-0.21440247409704688,0.8070235135909707,10.0,-0.41394686599978203,-0.0019480615430738021
4B,BASE,werewolf_accusations_received,werewolf_accusations_received_rate,0.6238677164887594,1.8661317704950615,10.0,0.4639111985555002,0.7974295953638709
4B,BASE,deception_accusations_received,deception_accusations_received_rate,0.24708217218813264,1.2802843122193437,10.0,0.09513633731862409,0.4424082994444252
4B,BASE,claims_werewolf,claims_werewolf_rate,0.9679167901805289,2.6324547876075735,10.0,0.6050561877409083,1.3714122810364242
4B,BASE,claims_tanner,claims_tanner_rate,0.03885196511137953,1.0396165727347935,10.0,-0.141967858133319,0.1974359614064578
4B,BASE,claims_night_action_role,claims_night_action_role_rate,0.030664758653222334,1.0311397652531988,10.0,-0.21012360049875656,0.3043469640543741
4B,FT,accusation,accusation_rate,-0.03213649134916822,0.9683743983303056,10.0,-0.253047511451888,0.1837739172738362
4B,FT,defense,defense_rate,0.33205043997021605,1.3938231511377004,10.0,0.08361664097576335,0.5414584716655227
4B,FT,interrogation,interrogation_rate,-0.007051279938702764,0.9929735220062933,10.0,-0.18960618174219518,0.1644974920650605
4B,FT,evidence,evidence_rate,-0.005310338199756158,0.994703736720924,10.0,-0.2012955599941369,0.17110528420369756
4B,FT,identity_declaration,identity_declaration_rate,-0.25709235253655105,0.7732967945471436,10.0,-0.4706167211776999,0.015593311267728855
4B,FT,call_for_action,call_for_action_rate,-0.024813470393523995,0.9754918531705927,10.0,-0.22864861704633563,0.1684887054909905
4B,FT,werewolf_accusations_made,werewolf_accusations_made_rate,0.3964575628193945,1.4865493516728807,10.0,0.22113669500981456,0.5547064928598814
4B,FT,deception_accusations_made,deception_accusations_made_rate,-0.2719896082367783,0.7618621781400642,10.0,-0.49601086069982464,-0.034216720472486695
4B,FT,werewolf_accusations_received,werewolf_accusations_received_rate,0.8632117313175974,2.3707627322321687,10.0,0.6485215939200158,1.1203939540059673
4B,FT,deception_accusations_received,deception_accusations_received_rate,0.20652461958613333,1.2293980011144623,10.0,0.01588854394671305,0.43905633521047494
4B,FT,claims_werewolf,claims_werewolf_rate,0.9724710643889088,2.64447105045998,10.0,0.5943971260839185,1.39215423812749
4B,FT,claims_tanner,claims_tanner_rate,0.07239054112412154,1.0750751231350872,10.0,-0.10458966706169343,0.23724636286011533
4B,FT,claims_night_action_role,claims_night_action_role_rate,0.1507110750140773,1.1626606878261936,10.0,-0.12211766995816839,0.42549217479055096
31B,BASE,accusation,accusation,-0.007383623533802949,0.9926435684481634,10.0,-0.26438292068382513,0.27247157115102044
31B,BASE,defense,defense,0.1650137327746662,1.1794093151625435,10.0,-0.07763541799780865,0.4603564689134807
31B,BASE,interrogation,interrogation,-0.12547173431289815,0.8820806966916387,10.0,-0.2908436314901022,0.020134264878330966
31B,BASE,evidence,evidence,-0.10769894217887693,0.8978978749214815,10.0,-0.3247480780834573,0.1062317462771842
31B,BASE,identity_declaration,identity_declaration,-0.13970139996243092,0.8696178645612667,10.0,-0.5066409996662741,0.22507934400117557
31B,BASE,call_for_action,call_for_action,0.0754270638630368,1.0783445745621738,10.0,-0.13258313127607166,0.2678341817228018
31B,BASE,werewolf_accusations_made,werewolf_accusations_made,0.22384418755994834,1.2508761021858072,10.0,-0.13379681079174688,0.4799881139981521
31B,BASE,deception_accusations_made,deception_accusations_made,-0.04626924419664645,0.9547848572983942,10.0,-0.2718392537365882,0.14695395025815322
31B,BASE,werewolf_accusations_received,werewolf_accusations_received,0.8077300251151159,2.2428110791178657,10.0,0.5714165920861612,1.049558166641371
31B,BASE,deception_accusations_received,deception_accusations_received,0.1978833098444116,1.2188201612089855,10.0,0.00012742095718704663,0.42083173822348624
31B,BASE,claims_werewolf,claims_werewolf,0.28788801685218784,1.3336079541445478,10.0,0.07002179389624213,0.5785141485212453
31B,BASE,claims_tanner,claims_tanner,-0.008776165946115862,0.9912622321866755,10.0,-0.17387956002114208,0.13810929583488687
31B,BASE,claims_night_action_role,claims_night_action_role,0.11675940997619638,1.1238490103015975,10.0,-0.1924368058944168,0.43397086843730365
31B,FT,accusation,accusation,-0.04145125217706609,0.9593961026728969,10.0,-0.25673510153993356,0.24401483414208747
31B,FT,defense,defense,0.08472373381416975,1.0884163325301872,10.0,-0.16793904203745091,0.4019285040728921
31B,FT,interrogation,interrogation,-0.07332261599344053,0.9293009743022377,10.0,-0.25854293280453683,0.0985160018959057
31B,FT,evidence,evidence,-0.10744930711649205,0.8981220496932802,10.0,-0.31358552082371344,0.07477351930355573
31B,FT,identity_declaration,identity_declaration,-0.15251624245286727,0.8585449489672765,10.0,-0.4996436328782301,0.17599767815207984
31B,FT,call_for_action,call_for_action,0.014797078932802464,1.0149070976875423,10.0,-0.21669773520795926,0.20981566729248
31B,FT,werewolf_accusations_made,werewolf_accusations_made,0.16850043350926228,1.1835287399154184,10.0,-0.16182101720140146,0.37499628471785795
31B,FT,deception_accusations_made,deception_accusations_made,0.08631908856628633,1.0901541285305438,10.0,-0.1998955944672904,0.31851845791379724
31B,FT,werewolf_accusations_received,werewolf_accusations_received,0.8928751737067202,2.4421411468394267,10.0,0.6490609558433174,1.1507673624032868
31B,FT,deception_accusations_received,deception_accusations_received,0.2496849863949827,1.2836209949148216,10.0,0.11253870858199562,0.4158318060491797
31B,FT,claims_werewolf,claims_werewolf,0.24226978193265322,1.274137885834334,10.0,0.08229684720491237,0.45485460548889084
31B,FT,claims_tanner,claims_tanner,0.002713225380589087,1.0027169095077744,10.0,-0.11925207703713989,0.12673697913417958
31B,FT,claims_night_action_role,claims_night_action_role,0.13270271371504447,1.141910473542932,10.0,-0.14523999003666158,0.4433815111361629
31B,BASE,accusation,accusation_rate,-0.004141761095863364,0.9958668041674525,100.0,-0.1420042399853519,0.126850689543509
31B,BASE,defense,defense_rate,0.09422341199944025,1.0988052047647185,100.0,-0.054536191867404896,0.24382881206393744
31B,BASE,interrogation,interrogation_rate,-0.04225444643056275,0.9586258306168572,100.0,-0.15263475218550276,0.048680388237693765
31B,BASE,evidence,evidence_rate,-0.051145899582103645,0.9501400353851652,100.0,-0.19158752434238305,0.06902604640374028
31B,BASE,identity_declaration,identity_declaration_rate,-0.03531655253673295,0.9652997997879534,100.0,-0.15909952138116443,0.10571281495186442
31B,BASE,call_for_action,call_for_action_rate,-0.029652321223929832,0.9707829955246391,100.0,-0.1565848601330432,0.11882415615757067
31B,BASE,werewolf_accusations_made,werewolf_accusations_made_rate,0.018615853707120142,1.0187902089551817,100.0,-0.13136587211517797,0.18694634076685418
31B,BASE,deception_accusations_made,deception_accusations_made_rate,-0.02643623073951526,0.9739101473852426,100.0,-0.14974762421656174,0.0887135785546613
31B,BASE,werewolf_accusations_received,werewolf_accusations_received_rate,0.4977026014884853,1.6449378485851742,100.0,0.35326937260717595,0.6429748212348307
31B,BASE,deception_accusations_received,deception_accusations_received_rate,0.18643936318942764,1.204951555451238,100.0,0.05519373083316605,0.32697604296404004
31B,BASE,claims_werewolf,claims_werewolf_rate,0.14581043145644643,1.1569768408461436,100.0,0.01975186799743962,0.3108051855757948
31B,BASE,claims_tanner,claims_tanner_rate,0.022241827188899704,1.0224910207042237,100.0,-0.06673814957856647,0.10094499056301787
31B,BASE,claims_night_action_role,claims_night_action_role_rate,-0.02239205499547917,0.9778567862516997,100.0,-0.1479947031004444,0.14060111302925327
31B,FT,accusation,accusation_rate,0.041078543878832446,1.0419339398647691,100.0,-0.07225773159786435,0.17255471693096114
31B,FT,defense,defense_rate,0.10066110708854649,1.1059017959713018,100.0,-0.05871255605255032,0.2717804474330702
31B,FT,interrogation,interrogation_rate,0.021536904075777335,1.0217704971374637,100.0,-0.10441483890905416,0.11887770276063926
31B,FT,evidence,evidence_rate,-0.04501581831990324,0.9559823596787095,100.0,-0.166992362781326,0.06710200773547566
31B,FT,identity_declaration,identity_declaration_rate,-0.008284942622382607,0.9917492829306103,100.0,-0.13021631608772816,0.11580078363427103
31B,FT,call_for_action,call_for_action_rate,-0.027449961947685887,0.9729233645256801,100.0,-0.16495972474333548,0.1249647292341459
31B,FT,werewolf_accusations_made,werewolf_accusations_made_rate,-0.026413709180262254,0.9739320816073296,100.0,-0.1625868175688088,0.11323077645047243
31B,FT,deception_accusations_made,deception_accusations_made_rate,0.040623340462503044,1.0414597559090195,100.0,-0.08129212643136673,0.1631659601118825
31B,FT,werewolf_accusations_received,werewolf_accusations_received_rate,0.5503070317658244,1.7337852633060389,100.0,0.40927663084858645,0.6964459178145977
31B,FT,deception_accusations_received,deception_accusations_received_rate,0.23707728319838858,1.2675390734637502,100.0,0.13768726688836186,0.33107325806796545
31B,FT,claims_werewolf,claims_werewolf_rate,0.12022382828123498,1.1277492455071583,100.0,0.01692063751565873,0.26752968532317273
31B,FT,claims_tanner,claims_tanner_rate,0.005717082431515154,1.00573345613568,100.0,-0.07127408116166375,0.07777498086027117
31B,FT,claims_night_action_role,claims_night_action_role_rate,-0.007460240167430255,0.9925675183529453,100.0,-0.11982652597398923,0.1422789449615189
