game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,Hailey,2,False,two_vs_one,Hailey | Hailey | No Werewolf,False,False,False,0,different_votes_all_wrong
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Jessica,Kevin,1,True,unanimous,Jessica | Jessica | Jessica,True,True,True,3,same_vote_all_correct
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,Jessica,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Jessica | No Werewolf,True,False,True,2,different_votes_mixed_correctness
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Jack,Hailey,No Werewolf,Jack,3,False,all_different,Jack | Hailey | No Werewolf,False,False,False,0,different_votes_all_wrong
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,Elliot,No Werewolf,Elliot,Elliot,2,False,two_vs_one,Elliot | No Werewolf | Elliot,True,False,True,2,different_votes_mixed_correctness
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Sukeshi,1,True,unanimous,Sukeshi | Sukeshi | Sukeshi,True,True,True,3,same_vote_all_correct
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Sukeshi,Sukeshi,James,No Werewolf,2,False,two_vs_one,Sukeshi | Sukeshi | James,False,False,True,1,different_votes_mixed_correctness
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Laura,Mitchell,Paul,Mitchell,3,False,all_different,Laura | Mitchell | Paul,True,False,False,1,different_votes_mixed_correctness
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,No Werewolf,Mitchell,Mitchell,3,False,all_different,James | No Werewolf | Mitchell,False,False,True,1,different_votes_mixed_correctness
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,No Werewolf,No Werewolf,No Werewolf,Laura,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Laura,Laura,Mitchell,Mitchell,2,False,two_vs_one,Laura | Laura | Mitchell,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Mitchell,Mitchell,2,False,two_vs_one,Justin | Justin | Mitchell,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,No Werewolf,2,False,two_vs_one,Mitchell | Mitchell | James,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,No Werewolf,Alvin,2,False,two_vs_one,Justin | Justin | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,Mitchell,James,James,2,False,two_vs_one,James | Mitchell | James,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James,1,True,unanimous,James | James | James,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,No Werewolf,Mitchell,No Werewolf,3,False,all_different,Alvin | No Werewolf | Mitchell,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Dan,Dan,Justin,Justin,2,False,two_vs_one,Dan | Dan | Justin,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,No Werewolf,Mike,Mike,2,False,two_vs_one,Mike | No Werewolf | Mike,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,No Werewolf,Mike,Mike,3,False,all_different,Mitchell | No Werewolf | Mike,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Mitchell,Mitchell,Mitchell,James,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,No Werewolf,No Werewolf,Mitchell,2,False,two_vs_one,Mitchell | No Werewolf | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Mitchell,Justin,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | Justin,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Mitchell,Mitchell,No Werewolf,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | No Werewolf,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,Caitlynn,Caitlynn,No Werewolf,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,No Werewolf,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,No Werewolf | Mitchell | Mitchell,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Mitchell,No Werewolf,No Werewolf,Justin,2,False,two_vs_one,Mitchell | No Werewolf | No Werewolf,True,False,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,No Werewolf,Paul,Paul,2,False,two_vs_one,Paul | No Werewolf | Paul,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Paul,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Paul | No Werewolf,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Mitchell,Justin,2,False,two_vs_one,Justin | Justin | Mitchell,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Paul,Justin,Justin,2,False,two_vs_one,Paul | Paul | Justin,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,No Werewolf,Justin,Mitchell,No Werewolf,3,False,all_different,No Werewolf | Justin | Mitchell,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Meryl,Jordan1,Jordan2,Jordan2,3,False,all_different,Meryl | Jordan1 | Jordan2,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Jordan2,No Werewolf,Jordan2,3,False,all_different,Haak | Jordan2 | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,No Werewolf,Mitchell,Mitchell,2,False,two_vs_one,Mitchell | No Werewolf | Mitchell,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Mike,Justin,Mike,Julie,2,False,two_vs_one,Mike | Justin | Mike,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | No Werewolf,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,Justin,2,False,two_vs_one,Caitlynn | Justin | Caitlynn,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,No Werewolf,Paul,2,False,two_vs_one,Paul | Paul | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,Meghan,1,True,unanimous,Meghan | Meghan | Meghan,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,Meghan,1,True,unanimous,Meghan | Meghan | Meghan,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,No Werewolf,Alysha,No Werewolf,Alysha,2,False,two_vs_one,No Werewolf | Alysha | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,No Werewolf,Mitchell,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Mitchell | No Werewolf,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,No Werewolf,Mitchell,Mike,Mike,3,False,all_different,No Werewolf | Mitchell | Mike,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,Mike,James,2,False,two_vs_one,Mike | James | Mike,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,No Werewolf,Mike,Mike,Mike,2,False,two_vs_one,No Werewolf | Mike | Mike,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,No Werewolf,No Werewolf,3,False,all_different,Mike | Justin | No Werewolf,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,No Werewolf,Mitchell,Justin,Justin,3,False,all_different,No Werewolf | Mitchell | Justin,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,No Werewolf,Mike,Paul,Mitchell,3,False,all_different,No Werewolf | Mike | Paul,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,No Werewolf,No Werewolf,Mitchell,Mitchell,2,False,two_vs_one,No Werewolf | No Werewolf | Mitchell,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Paul,No Werewolf,2,False,two_vs_one,Mike | Mike | Paul,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,No Werewolf,No Werewolf,Mitchell,Mitchell,2,False,two_vs_one,No Werewolf | No Werewolf | Mitchell,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Justin,No Werewolf,Mitchell,No Werewolf,3,False,all_different,Justin | No Werewolf | Mitchell,False,True,False,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,No Werewolf,No Werewolf,No Werewolf,Paul,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,No Werewolf,Justin,Justin,2,False,two_vs_one,Justin | No Werewolf | Justin,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mitchell,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Mitchell | No Werewolf | No Werewolf,False,True,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Chris,Chris,Chris,Chris,1,True,unanimous,Chris | Chris | Chris,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Mitchell,Caitlynn,2,False,two_vs_one,Caitlynn | Caitlynn | Mitchell,False,False,True,1,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Paul,James,Mitchell,No Werewolf,3,False,all_different,Paul | James | Mitchell,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,No Werewolf,Mitchell,2,False,two_vs_one,James | James | No Werewolf,False,False,False,0,different_votes_all_wrong
