game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,two_vs_one,2,Hailey | Hailey | No Werewolf,Hailey,True,2,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,unanimous,1,Erin | Erin | Erin,Erin,True,1,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Erin,Erin,Erin,unanimous,1,Erin | Erin | Erin,Erin,True,1,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Erin,Erin,two_vs_one,2,Tyler | Erin | Erin,Erin,True,2,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,No Werewolf,No Werewolf,two_vs_one,2,Hunter | No Werewolf | No Werewolf,No Werewolf,True,2,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,No Werewolf,Sean,two_vs_one,2,Sean | No Werewolf | Sean,Sean,True,2,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,Kaelan,two_vs_one,2,No Werewolf | No Werewolf | Kaelan,No Werewolf,True,2,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Jessica,Jessica,Jessica,unanimous,1,Jessica | Jessica | Jessica,Jessica,True,1,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Daniel,No Werewolf,Daniel,two_vs_one,2,Daniel | No Werewolf | Daniel,Daniel,True,2,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Daniel,Daniel,Daniel,unanimous,1,Daniel | Daniel | Daniel,Daniel,True,1,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Kaelan,Jessica,Kaelan,two_vs_one,2,Kaelan | Jessica | Kaelan,Kaelan,True,2,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,No Werewolf,Daniel,No Werewolf,two_vs_one,2,No Werewolf | Daniel | No Werewolf,No Werewolf,True,2,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Jessica,unanimous,1,Jessica | Jessica | Jessica,Jessica,True,1,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,Jessica,No Werewolf,two_vs_one,2,No Werewolf | Jessica | No Werewolf,No Werewolf,True,2,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Jack,Hailey,No Werewolf,all_different,3,Jack | Hailey | No Werewolf,,False,3,
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,Elliot,No Werewolf,Elliot,two_vs_one,2,Elliot | No Werewolf | Elliot,Elliot,True,2,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,unanimous,1,Sukeshi | Sukeshi | Sukeshi,Sukeshi,True,1,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Sukeshi,Sukeshi,James,two_vs_one,2,Sukeshi | Sukeshi | James,Sukeshi,True,2,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Laura,Mitchell,Paul,all_different,3,Laura | Mitchell | Paul,,False,3,
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,No Werewolf,Mitchell,all_different,3,James | No Werewolf | Mitchell,,False,3,
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Laura,Laura,Mitchell,two_vs_one,2,Laura | Laura | Mitchell,Laura,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Mitchell,two_vs_one,2,Justin | Justin | Mitchell,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,two_vs_one,2,Mitchell | Mitchell | James,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,No Werewolf,two_vs_one,2,Justin | Justin | No Werewolf,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,Mitchell,James,two_vs_one,2,James | Mitchell | James,James,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,unanimous,1,James | James | James,James,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,No Werewolf,Mitchell,all_different,3,Alvin | No Werewolf | Mitchell,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Dan,Dan,Justin,two_vs_one,2,Dan | Dan | Justin,Dan,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,No Werewolf,Mike,two_vs_one,2,Mike | No Werewolf | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,No Werewolf,Mike,all_different,3,Mitchell | No Werewolf | Mike,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,No Werewolf,No Werewolf,two_vs_one,2,Mitchell | No Werewolf | No Werewolf,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Mitchell,Justin,two_vs_one,2,Mitchell | Mitchell | Justin,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Mitchell,Mitchell,No Werewolf,two_vs_one,2,Mitchell | Mitchell | No Werewolf,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,No Werewolf,Mitchell,Mitchell,two_vs_one,2,No Werewolf | Mitchell | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Mitchell,No Werewolf,No Werewolf,two_vs_one,2,Mitchell | No Werewolf | No Werewolf,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,No Werewolf,Paul,two_vs_one,2,Paul | No Werewolf | Paul,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Paul,No Werewolf,two_vs_one,2,No Werewolf | Paul | No Werewolf,No Werewolf,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Mitchell,two_vs_one,2,Justin | Justin | Mitchell,Justin,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Paul,Justin,two_vs_one,2,Paul | Paul | Justin,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,No Werewolf,Justin,Mitchell,all_different,3,No Werewolf | Justin | Mitchell,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Meryl,Jordan1,Jordan2,all_different,3,Meryl | Jordan1 | Jordan2,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Jordan2,No Werewolf,all_different,3,Haak | Jordan2 | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,No Werewolf,Mitchell,two_vs_one,2,Mitchell | No Werewolf | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Mike,Justin,Mike,two_vs_one,2,Mike | Justin | Mike,Mike,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,two_vs_one,2,Mitchell | Mitchell | No Werewolf,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,two_vs_one,2,Caitlynn | Justin | Caitlynn,Caitlynn,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,No Werewolf,two_vs_one,2,Paul | Paul | No Werewolf,Paul,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,unanimous,1,Meghan | Meghan | Meghan,Meghan,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,unanimous,1,Meghan | Meghan | Meghan,Meghan,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,No Werewolf,Alysha,No Werewolf,two_vs_one,2,No Werewolf | Alysha | No Werewolf,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,No Werewolf,Mitchell,No Werewolf,two_vs_one,2,No Werewolf | Mitchell | No Werewolf,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,No Werewolf,Mitchell,Mike,all_different,3,No Werewolf | Mitchell | Mike,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,Mike,two_vs_one,2,Mike | James | Mike,Mike,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,No Werewolf,Mike,Mike,two_vs_one,2,No Werewolf | Mike | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,No Werewolf,all_different,3,Mike | Justin | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,No Werewolf,Mitchell,Justin,all_different,3,No Werewolf | Mitchell | Justin,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,No Werewolf,Mike,Paul,all_different,3,No Werewolf | Mike | Paul,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,No Werewolf,No Werewolf,Mitchell,two_vs_one,2,No Werewolf | No Werewolf | Mitchell,No Werewolf,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Paul,two_vs_one,2,Mike | Mike | Paul,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,No Werewolf,No Werewolf,Mitchell,two_vs_one,2,No Werewolf | No Werewolf | Mitchell,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Justin,No Werewolf,Mitchell,all_different,3,Justin | No Werewolf | Mitchell,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,No Werewolf,Justin,two_vs_one,2,Justin | No Werewolf | Justin,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mitchell,No Werewolf,No Werewolf,two_vs_one,2,Mitchell | No Werewolf | No Werewolf,No Werewolf,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Chris,Chris,Chris,unanimous,1,Chris | Chris | Chris,Chris,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Mitchell,two_vs_one,2,Caitlynn | Caitlynn | Mitchell,Caitlynn,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Paul,James,Mitchell,all_different,3,Paul | James | Mitchell,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,No Werewolf,two_vs_one,2,James | James | No Werewolf,James,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,James,James,unanimous,1,James | James | James,James,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,James,James,No Werewolf,two_vs_one,2,James | James | No Werewolf,James,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Alana,Mitchell,two_vs_one,2,Alana | Alana | Mitchell,Alana,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mitchell,Mitchell,No Werewolf,two_vs_one,2,Mitchell | Mitchell | No Werewolf,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Caitlynn,Mitchell,Mitchell,two_vs_one,2,Caitlynn | Mitchell | Mitchell,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Alana,Mike,Mike,two_vs_one,2,Alana | Mike | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Mike,Mike,two_vs_one,2,Caitlynn | Mike | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,No Werewolf,Mitchell,Mitchell,two_vs_one,2,No Werewolf | Mitchell | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Justin,Mitchell,No Werewolf,all_different,3,Justin | Mitchell | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Caitlynn,Mitchell,Mitchell,two_vs_one,2,Caitlynn | Mitchell | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
