model,decoding_group,run_label,semantic_category,discourse_relation,n_semantic_sentences,n_joint_sentences,conditional_prevalence,support_is_thin,thin_support_threshold
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal,21,8,0.38095238095238093,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Any explicit,21,15,0.7142857142857143,True,30
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison,195,14,0.07179487179487179,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency,195,95,0.48717948717948717,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion,195,29,0.14871794871794872,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal,195,3,0.015384615384615385,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Any explicit,195,115,0.5897435897435898,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison,191,57,0.29842931937172773,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency,191,39,0.20418848167539266,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion,191,40,0.2094240837696335,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal,191,3,0.015706806282722512,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Any explicit,191,107,0.5602094240837696,False,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison,7,2,0.2857142857142857,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency,7,2,0.2857142857142857,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion,7,3,0.42857142857142855,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Any explicit,7,5,0.7142857142857143,True,30
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison,136,40,0.29411764705882354,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency,136,9,0.0661764705882353,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion,136,35,0.25735294117647056,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal,136,21,0.15441176470588236,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Any explicit,136,83,0.6102941176470589,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison,190,63,0.33157894736842103,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency,190,24,0.12631578947368421,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion,190,51,0.26842105263157895,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal,190,17,0.08947368421052632,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Any explicit,190,129,0.6789473684210526,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison,34,9,0.2647058823529412,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency,34,5,0.14705882352941177,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion,34,9,0.2647058823529412,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal,34,3,0.08823529411764706,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Any explicit,34,21,0.6176470588235294,False,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison,13,4,0.3076923076923077,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion,13,5,0.38461538461538464,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal,13,6,0.46153846153846156,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Any explicit,13,10,0.7692307692307693,True,30
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison,207,18,0.08695652173913043,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency,207,101,0.48792270531400966,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion,207,37,0.178743961352657,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal,207,1,0.004830917874396135,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Any explicit,207,127,0.6135265700483091,False,30
Gemma 4 2B,Stochastic,run_2,Uncertainty,Comparison,192,55,0.2864583333333333,False,30
Gemma 4 2B,Stochastic,run_2,Uncertainty,Contingency,192,38,0.19791666666666666,False,30
Gemma 4 2B,Stochastic,run_2,Uncertainty,Expansion,192,32,0.16666666666666666,False,30
Gemma 4 2B,Stochastic,run_2,Uncertainty,Temporal,192,2,0.010416666666666666,False,30
Gemma 4 2B,Stochastic,run_2,Uncertainty,Any explicit,192,96,0.5,False,30
Gemma 4 2B,Stochastic,run_3,Mechanical,Comparison,6,0,0.0,True,30
Gemma 4 2B,Stochastic,run_3,Mechanical,Contingency,6,2,0.3333333333333333,True,30
Gemma 4 2B,Stochastic,run_3,Mechanical,Expansion,6,1,0.16666666666666666,True,30
Gemma 4 2B,Stochastic,run_3,Mechanical,Temporal,6,1,0.16666666666666666,True,30
Gemma 4 2B,Stochastic,run_3,Mechanical,Any explicit,6,3,0.5,True,30
Gemma 4 2B,Stochastic,run_3,Testimony,Comparison,150,44,0.29333333333333333,False,30
Gemma 4 2B,Stochastic,run_3,Testimony,Contingency,150,21,0.14,False,30
Gemma 4 2B,Stochastic,run_3,Testimony,Expansion,150,35,0.23333333333333334,False,30
Gemma 4 2B,Stochastic,run_3,Testimony,Temporal,150,16,0.10666666666666667,False,30
Gemma 4 2B,Stochastic,run_3,Testimony,Any explicit,150,94,0.6266666666666667,False,30
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Comparison,164,49,0.29878048780487804,False,30
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Contingency,164,25,0.1524390243902439,False,30
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Expansion,164,39,0.23780487804878048,False,30
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Temporal,164,12,0.07317073170731707,False,30
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Any explicit,164,106,0.6463414634146342,False,30
Gemma 4 2B,Stochastic,run_3,Behavioral,Comparison,41,14,0.34146341463414637,False,30
Gemma 4 2B,Stochastic,run_3,Behavioral,Contingency,41,6,0.14634146341463414,False,30
Gemma 4 2B,Stochastic,run_3,Behavioral,Expansion,41,9,0.21951219512195122,False,30
Gemma 4 2B,Stochastic,run_3,Behavioral,Temporal,41,3,0.07317073170731707,False,30
Gemma 4 2B,Stochastic,run_3,Behavioral,Any explicit,41,24,0.5853658536585366,False,30
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Comparison,17,6,0.35294117647058826,True,30
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Contingency,17,1,0.058823529411764705,True,30
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Expansion,17,4,0.23529411764705882,True,30
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Temporal,17,3,0.17647058823529413,True,30
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Any explicit,17,10,0.5882352941176471,True,30
Gemma 4 2B,Stochastic,run_3,Payoff,Comparison,194,13,0.06701030927835051,False,30
Gemma 4 2B,Stochastic,run_3,Payoff,Contingency,194,105,0.5412371134020618,False,30
Gemma 4 2B,Stochastic,run_3,Payoff,Expansion,194,36,0.18556701030927836,False,30
Gemma 4 2B,Stochastic,run_3,Payoff,Temporal,194,2,0.010309278350515464,False,30
Gemma 4 2B,Stochastic,run_3,Payoff,Any explicit,194,125,0.6443298969072165,False,30
Gemma 4 2B,Stochastic,run_3,Uncertainty,Comparison,205,56,0.2731707317073171,False,30
Gemma 4 2B,Stochastic,run_3,Uncertainty,Contingency,205,43,0.2097560975609756,False,30
Gemma 4 2B,Stochastic,run_3,Uncertainty,Expansion,205,33,0.16097560975609757,False,30
Gemma 4 2B,Stochastic,run_3,Uncertainty,Temporal,205,0,0.0,False,30
Gemma 4 2B,Stochastic,run_3,Uncertainty,Any explicit,205,104,0.5073170731707317,False,30
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Comparison,5,0,0.0,True,30
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Contingency,5,1,0.2,True,30
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Expansion,5,1,0.2,True,30
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Temporal,5,1,0.2,True,30
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Any explicit,5,1,0.2,True,30
Gemma 4 2B,Greedy,greedy_t0,Testimony,Comparison,149,50,0.33557046979865773,False,30
Gemma 4 2B,Greedy,greedy_t0,Testimony,Contingency,149,16,0.10738255033557047,False,30
Gemma 4 2B,Greedy,greedy_t0,Testimony,Expansion,149,45,0.30201342281879195,False,30
Gemma 4 2B,Greedy,greedy_t0,Testimony,Temporal,149,18,0.12080536912751678,False,30
Gemma 4 2B,Greedy,greedy_t0,Testimony,Any explicit,149,95,0.6375838926174496,False,30
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Comparison,156,60,0.38461538461538464,False,30
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Contingency,156,20,0.1282051282051282,False,30
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Expansion,156,40,0.2564102564102564,False,30
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Temporal,156,11,0.07051282051282051,False,30
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Any explicit,156,106,0.6794871794871795,False,30
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Comparison,44,13,0.29545454545454547,False,30
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Contingency,44,9,0.20454545454545456,False,30
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Expansion,44,7,0.1590909090909091,False,30
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Temporal,44,3,0.06818181818181818,False,30
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Any explicit,44,27,0.6136363636363636,False,30
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Comparison,16,8,0.5,True,30
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Contingency,16,1,0.0625,True,30
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Expansion,16,8,0.5,True,30
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Temporal,16,4,0.25,True,30
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Any explicit,16,14,0.875,True,30
Gemma 4 2B,Greedy,greedy_t0,Payoff,Comparison,189,9,0.047619047619047616,False,30
Gemma 4 2B,Greedy,greedy_t0,Payoff,Contingency,189,115,0.6084656084656085,False,30
Gemma 4 2B,Greedy,greedy_t0,Payoff,Expansion,189,33,0.1746031746031746,False,30
Gemma 4 2B,Greedy,greedy_t0,Payoff,Temporal,189,0,0.0,False,30
Gemma 4 2B,Greedy,greedy_t0,Payoff,Any explicit,189,126,0.6666666666666666,False,30
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Comparison,204,62,0.30392156862745096,False,30
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Contingency,204,48,0.23529411764705882,False,30
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Expansion,204,38,0.18627450980392157,False,30
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Temporal,204,0,0.0,False,30
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Any explicit,204,113,0.553921568627451,False,30
Gemma 4 4B,Stochastic,run_1,Mechanical,Comparison,19,8,0.42105263157894735,True,30
Gemma 4 4B,Stochastic,run_1,Mechanical,Contingency,19,2,0.10526315789473684,True,30
Gemma 4 4B,Stochastic,run_1,Mechanical,Expansion,19,1,0.05263157894736842,True,30
Gemma 4 4B,Stochastic,run_1,Mechanical,Temporal,19,3,0.15789473684210525,True,30
Gemma 4 4B,Stochastic,run_1,Mechanical,Any explicit,19,13,0.6842105263157895,True,30
Gemma 4 4B,Stochastic,run_1,Testimony,Comparison,241,77,0.31950207468879666,False,30
Gemma 4 4B,Stochastic,run_1,Testimony,Contingency,241,26,0.1078838174273859,False,30
Gemma 4 4B,Stochastic,run_1,Testimony,Expansion,241,40,0.16597510373443983,False,30
Gemma 4 4B,Stochastic,run_1,Testimony,Temporal,241,46,0.1908713692946058,False,30
Gemma 4 4B,Stochastic,run_1,Testimony,Any explicit,241,153,0.6348547717842323,False,30
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Comparison,222,70,0.3153153153153153,False,30
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Contingency,222,8,0.036036036036036036,False,30
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Expansion,222,27,0.12162162162162163,False,30
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Temporal,222,18,0.08108108108108109,False,30
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Any explicit,222,100,0.45045045045045046,False,30
Gemma 4 4B,Stochastic,run_1,Behavioral,Comparison,225,73,0.3244444444444444,False,30
Gemma 4 4B,Stochastic,run_1,Behavioral,Contingency,225,12,0.05333333333333334,False,30
Gemma 4 4B,Stochastic,run_1,Behavioral,Expansion,225,34,0.1511111111111111,False,30
Gemma 4 4B,Stochastic,run_1,Behavioral,Temporal,225,21,0.09333333333333334,False,30
Gemma 4 4B,Stochastic,run_1,Behavioral,Any explicit,225,111,0.49333333333333335,False,30
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Comparison,56,11,0.19642857142857142,False,30
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Contingency,56,2,0.03571428571428571,False,30
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Expansion,56,11,0.19642857142857142,False,30
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Temporal,56,23,0.4107142857142857,False,30
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Any explicit,56,36,0.6428571428571429,False,30
Gemma 4 4B,Stochastic,run_1,Payoff,Comparison,165,20,0.12121212121212122,False,30
Gemma 4 4B,Stochastic,run_1,Payoff,Contingency,165,32,0.19393939393939394,False,30
Gemma 4 4B,Stochastic,run_1,Payoff,Expansion,165,17,0.10303030303030303,False,30
Gemma 4 4B,Stochastic,run_1,Payoff,Temporal,165,2,0.012121212121212121,False,30
Gemma 4 4B,Stochastic,run_1,Payoff,Any explicit,165,55,0.3333333333333333,False,30
Gemma 4 4B,Stochastic,run_1,Uncertainty,Comparison,101,31,0.3069306930693069,False,30
Gemma 4 4B,Stochastic,run_1,Uncertainty,Contingency,101,5,0.04950495049504951,False,30
Gemma 4 4B,Stochastic,run_1,Uncertainty,Expansion,101,8,0.07920792079207921,False,30
Gemma 4 4B,Stochastic,run_1,Uncertainty,Temporal,101,1,0.009900990099009901,False,30
Gemma 4 4B,Stochastic,run_1,Uncertainty,Any explicit,101,38,0.37623762376237624,False,30
Gemma 4 4B,Stochastic,run_2,Mechanical,Comparison,13,5,0.38461538461538464,True,30
Gemma 4 4B,Stochastic,run_2,Mechanical,Contingency,13,3,0.23076923076923078,True,30
Gemma 4 4B,Stochastic,run_2,Mechanical,Expansion,13,1,0.07692307692307693,True,30
Gemma 4 4B,Stochastic,run_2,Mechanical,Temporal,13,1,0.07692307692307693,True,30
Gemma 4 4B,Stochastic,run_2,Mechanical,Any explicit,13,8,0.6153846153846154,True,30
Gemma 4 4B,Stochastic,run_2,Testimony,Comparison,231,77,0.3333333333333333,False,30
Gemma 4 4B,Stochastic,run_2,Testimony,Contingency,231,28,0.12121212121212122,False,30
Gemma 4 4B,Stochastic,run_2,Testimony,Expansion,231,43,0.18614718614718614,False,30
Gemma 4 4B,Stochastic,run_2,Testimony,Temporal,231,40,0.17316017316017315,False,30
Gemma 4 4B,Stochastic,run_2,Testimony,Any explicit,231,155,0.670995670995671,False,30
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Comparison,237,74,0.31223628691983124,False,30
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Contingency,237,12,0.05063291139240506,False,30
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Expansion,237,50,0.2109704641350211,False,30
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Temporal,237,21,0.08860759493670886,False,30
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Any explicit,237,128,0.540084388185654,False,30
Gemma 4 4B,Stochastic,run_2,Behavioral,Comparison,216,71,0.3287037037037037,False,30
Gemma 4 4B,Stochastic,run_2,Behavioral,Contingency,216,11,0.05092592592592592,False,30
Gemma 4 4B,Stochastic,run_2,Behavioral,Expansion,216,25,0.11574074074074074,False,30
Gemma 4 4B,Stochastic,run_2,Behavioral,Temporal,216,26,0.12037037037037036,False,30
Gemma 4 4B,Stochastic,run_2,Behavioral,Any explicit,216,108,0.5,False,30
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Comparison,51,13,0.2549019607843137,False,30
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Contingency,51,1,0.0196078431372549,False,30
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Expansion,51,8,0.1568627450980392,False,30
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Temporal,51,17,0.3333333333333333,False,30
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Any explicit,51,32,0.6274509803921569,False,30
Gemma 4 4B,Stochastic,run_2,Payoff,Comparison,157,24,0.15286624203821655,False,30
Gemma 4 4B,Stochastic,run_2,Payoff,Contingency,157,34,0.21656050955414013,False,30
Gemma 4 4B,Stochastic,run_2,Payoff,Expansion,157,26,0.16560509554140126,False,30
Gemma 4 4B,Stochastic,run_2,Payoff,Temporal,157,0,0.0,False,30
Gemma 4 4B,Stochastic,run_2,Payoff,Any explicit,157,64,0.40764331210191085,False,30
Gemma 4 4B,Stochastic,run_2,Uncertainty,Comparison,125,41,0.328,False,30
Gemma 4 4B,Stochastic,run_2,Uncertainty,Contingency,125,13,0.104,False,30
Gemma 4 4B,Stochastic,run_2,Uncertainty,Expansion,125,8,0.064,False,30
Gemma 4 4B,Stochastic,run_2,Uncertainty,Temporal,125,3,0.024,False,30
Gemma 4 4B,Stochastic,run_2,Uncertainty,Any explicit,125,58,0.464,False,30
Gemma 4 4B,Stochastic,run_3,Mechanical,Comparison,14,4,0.2857142857142857,True,30
Gemma 4 4B,Stochastic,run_3,Mechanical,Contingency,14,2,0.14285714285714285,True,30
Gemma 4 4B,Stochastic,run_3,Mechanical,Expansion,14,2,0.14285714285714285,True,30
Gemma 4 4B,Stochastic,run_3,Mechanical,Temporal,14,2,0.14285714285714285,True,30
Gemma 4 4B,Stochastic,run_3,Mechanical,Any explicit,14,10,0.7142857142857143,True,30
Gemma 4 4B,Stochastic,run_3,Testimony,Comparison,234,77,0.32905982905982906,False,30
Gemma 4 4B,Stochastic,run_3,Testimony,Contingency,234,27,0.11538461538461539,False,30
Gemma 4 4B,Stochastic,run_3,Testimony,Expansion,234,38,0.1623931623931624,False,30
Gemma 4 4B,Stochastic,run_3,Testimony,Temporal,234,33,0.14102564102564102,False,30
Gemma 4 4B,Stochastic,run_3,Testimony,Any explicit,234,150,0.6410256410256411,False,30
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Comparison,230,63,0.27391304347826084,False,30
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Contingency,230,6,0.02608695652173913,False,30
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Expansion,230,40,0.17391304347826086,False,30
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Temporal,230,14,0.06086956521739131,False,30
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Any explicit,230,105,0.45652173913043476,False,30
Gemma 4 4B,Stochastic,run_3,Behavioral,Comparison,213,72,0.3380281690140845,False,30
Gemma 4 4B,Stochastic,run_3,Behavioral,Contingency,213,8,0.03755868544600939,False,30
Gemma 4 4B,Stochastic,run_3,Behavioral,Expansion,213,33,0.15492957746478872,False,30
Gemma 4 4B,Stochastic,run_3,Behavioral,Temporal,213,17,0.07981220657276995,False,30
Gemma 4 4B,Stochastic,run_3,Behavioral,Any explicit,213,107,0.5023474178403756,False,30
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Comparison,56,16,0.2857142857142857,False,30
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Contingency,56,5,0.08928571428571429,False,30
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Expansion,56,4,0.07142857142857142,False,30
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Temporal,56,20,0.35714285714285715,False,30
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Any explicit,56,35,0.625,False,30
Gemma 4 4B,Stochastic,run_3,Payoff,Comparison,156,22,0.14102564102564102,False,30
Gemma 4 4B,Stochastic,run_3,Payoff,Contingency,156,24,0.15384615384615385,False,30
Gemma 4 4B,Stochastic,run_3,Payoff,Expansion,156,24,0.15384615384615385,False,30
Gemma 4 4B,Stochastic,run_3,Payoff,Temporal,156,3,0.019230769230769232,False,30
Gemma 4 4B,Stochastic,run_3,Payoff,Any explicit,156,59,0.3782051282051282,False,30
Gemma 4 4B,Stochastic,run_3,Uncertainty,Comparison,111,45,0.40540540540540543,False,30
Gemma 4 4B,Stochastic,run_3,Uncertainty,Contingency,111,9,0.08108108108108109,False,30
Gemma 4 4B,Stochastic,run_3,Uncertainty,Expansion,111,8,0.07207207207207207,False,30
Gemma 4 4B,Stochastic,run_3,Uncertainty,Temporal,111,1,0.009009009009009009,False,30
Gemma 4 4B,Stochastic,run_3,Uncertainty,Any explicit,111,56,0.5045045045045045,False,30
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Comparison,14,2,0.14285714285714285,True,30
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Contingency,14,6,0.42857142857142855,True,30
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Expansion,14,0,0.0,True,30
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Temporal,14,2,0.14285714285714285,True,30
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Any explicit,14,8,0.5714285714285714,True,30
Gemma 4 4B,Greedy,greedy_t0,Testimony,Comparison,222,73,0.32882882882882886,False,30
Gemma 4 4B,Greedy,greedy_t0,Testimony,Contingency,222,20,0.09009009009009009,False,30
Gemma 4 4B,Greedy,greedy_t0,Testimony,Expansion,222,35,0.15765765765765766,False,30
Gemma 4 4B,Greedy,greedy_t0,Testimony,Temporal,222,43,0.19369369369369369,False,30
Gemma 4 4B,Greedy,greedy_t0,Testimony,Any explicit,222,136,0.6126126126126126,False,30
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Comparison,229,74,0.3231441048034934,False,30
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Contingency,229,7,0.03056768558951965,False,30
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Expansion,229,50,0.2183406113537118,False,30
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Temporal,229,17,0.07423580786026202,False,30
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Any explicit,229,119,0.519650655021834,False,30
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Comparison,177,51,0.288135593220339,False,30
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Contingency,177,4,0.022598870056497175,False,30
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Expansion,177,31,0.1751412429378531,False,30
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Temporal,177,17,0.096045197740113,False,30
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Any explicit,177,85,0.480225988700565,False,30
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Comparison,67,12,0.1791044776119403,False,30
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Contingency,67,0,0.0,False,30
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Expansion,67,6,0.08955223880597014,False,30
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Temporal,67,23,0.34328358208955223,False,30
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Any explicit,67,32,0.47761194029850745,False,30
Gemma 4 4B,Greedy,greedy_t0,Payoff,Comparison,151,15,0.09933774834437085,False,30
Gemma 4 4B,Greedy,greedy_t0,Payoff,Contingency,151,37,0.24503311258278146,False,30
Gemma 4 4B,Greedy,greedy_t0,Payoff,Expansion,151,26,0.17218543046357615,False,30
Gemma 4 4B,Greedy,greedy_t0,Payoff,Temporal,151,3,0.019867549668874173,False,30
Gemma 4 4B,Greedy,greedy_t0,Payoff,Any explicit,151,66,0.4370860927152318,False,30
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Comparison,117,32,0.27350427350427353,False,30
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Contingency,117,9,0.07692307692307693,False,30
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Expansion,117,5,0.042735042735042736,False,30
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Temporal,117,1,0.008547008547008548,False,30
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Any explicit,117,46,0.39316239316239315,False,30
Gemma 4 31B,Stochastic,run_1,Mechanical,Comparison,126,17,0.1349206349206349,False,30
Gemma 4 31B,Stochastic,run_1,Mechanical,Contingency,126,64,0.5079365079365079,False,30
Gemma 4 31B,Stochastic,run_1,Mechanical,Expansion,126,24,0.19047619047619047,False,30
Gemma 4 31B,Stochastic,run_1,Mechanical,Temporal,126,19,0.15079365079365079,False,30
Gemma 4 31B,Stochastic,run_1,Mechanical,Any explicit,126,96,0.7619047619047619,False,30
