model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 31B,Stochastic,Mechanical,Any explicit,3,0.7360570244357906,0.022389201779164727,0.7226890756302521,0.7619047619047619,122.66666666666667,368,271,False
Gemma 4 31B,Stochastic,Testimony,Any explicit,3,0.5339212638666134,0.037374624668461254,0.5103926096997691,0.5770171149144254,420.0,1260,672,False
Gemma 4 31B,Stochastic,SocialJudgment,Any explicit,3,0.5865414180030598,0.050029242215643775,0.5443037974683544,0.6417910447761194,71.33333333333333,214,125,False
Gemma 4 31B,Stochastic,Behavioral,Any explicit,3,0.5574947611113444,0.020447553774377757,0.543859649122807,0.5810055865921788,172.66666666666666,518,289,False
Gemma 4 31B,Stochastic,ClaimComparison,Any explicit,3,0.636410762233547,0.027146129878713808,0.6103896103896104,0.6645569620253164,162.33333333333334,487,310,False
Gemma 4 31B,Stochastic,Payoff,Any explicit,3,0.7685378373902964,0.044228839138584594,0.7333333333333333,0.8181818181818182,57.333333333333336,172,133,False
Gemma 4 31B,Stochastic,Uncertainty,Any explicit,3,0.5899673202614379,0.04918954204943562,0.5416666666666666,0.64,22.0,66,39,True
Gemma 4 31B,Greedy,Mechanical,Any explicit,1,0.7222222222222222,,0.7222222222222222,0.7222222222222222,126.0,126,91,False
Gemma 4 31B,Greedy,Testimony,Any explicit,1,0.5486284289276808,,0.5486284289276808,0.5486284289276808,401.0,401,220,False
Gemma 4 31B,Greedy,SocialJudgment,Any explicit,1,0.6086956521739131,,0.6086956521739131,0.6086956521739131,69.0,69,42,False
Gemma 4 31B,Greedy,Behavioral,Any explicit,1,0.5060240963855421,,0.5060240963855421,0.5060240963855421,166.0,166,84,False
Gemma 4 31B,Greedy,ClaimComparison,Any explicit,1,0.6176470588235294,,0.6176470588235294,0.6176470588235294,170.0,170,105,False
Gemma 4 31B,Greedy,Payoff,Any explicit,1,0.7580645161290323,,0.7580645161290323,0.7580645161290323,62.0,62,47,False
Gemma 4 31B,Greedy,Uncertainty,Any explicit,1,0.875,,0.875,0.875,16.0,16,14,True
