model,decoding_group,run_label,semantic_category,discourse_relation,n_sentences,support,joint_prevalence,prevalence_category,prevalence_relation,lift,support_is_thin
Gemma 4 4B,Stochastic,run_1,Mechanical,Comparison,758,8,0.010554089709762533,0.025065963060686015,0.24274406332453827,1.734553775743707,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Contingency,758,2,0.002638522427440633,0.025065963060686015,0.09894459102902374,1.063859649122807,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Expansion,758,1,0.0013192612137203166,0.025065963060686015,0.11873350923482849,0.4432748538011696,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Temporal,758,3,0.00395778364116095,0.025065963060686015,0.0870712401055409,1.8133971291866027,True
Gemma 4 4B,Stochastic,run_1,Mechanical,Any explicit,758,13,0.017150395778364115,0.025065963060686015,0.449868073878628,1.5209137212532797,True
Gemma 4 4B,Stochastic,run_1,Testimony,Comparison,758,77,0.10158311345646438,0.3179419525065963,0.24274406332453827,1.3162096337723257,False
Gemma 4 4B,Stochastic,run_1,Testimony,Contingency,758,26,0.03430079155672823,0.3179419525065963,0.09894459102902374,1.0903457814661135,False
Gemma 4 4B,Stochastic,run_1,Testimony,Expansion,758,40,0.052770448548812667,0.3179419525065963,0.11873350923482849,1.3978792070078379,False
Gemma 4 4B,Stochastic,run_1,Testimony,Temporal,758,46,0.06068601583113457,0.3179419525065963,0.0870712401055409,2.1921287564441094,False
Gemma 4 4B,Stochastic,run_1,Testimony,Any explicit,758,153,0.20184696569920843,0.3179419525065963,0.449868073878628,1.4112021026758008,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Comparison,758,70,0.09234828496042216,0.2928759894459103,0.24274406332453827,1.2989620054837445,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Contingency,758,8,0.010554089709762533,0.2928759894459103,0.09894459102902374,0.3642042042042042,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Expansion,758,27,0.03562005277044855,0.2928759894459103,0.11873350923482849,1.0243243243243245,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Temporal,758,18,0.023746701846965697,0.2928759894459103,0.0870712401055409,0.9312039312039311,False
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Any explicit,758,100,0.13192612137203166,0.2928759894459103,0.449868073878628,1.0012945496816463,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Comparison,758,73,0.09630606860158311,0.29683377308707126,0.24274406332453827,1.3365700483091785,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Contingency,758,12,0.0158311345646438,0.29683377308707126,0.09894459102902374,0.5390222222222223,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Expansion,758,34,0.044854881266490766,0.29683377308707126,0.11873350923482849,1.2726913580246912,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Temporal,758,21,0.027704485488126648,0.29683377308707126,0.0870712401055409,1.0719191919191917,False
Gemma 4 4B,Stochastic,run_1,Behavioral,Any explicit,758,111,0.14643799472295516,0.29683377308707126,0.449868073878628,1.0966177908113393,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Comparison,758,11,0.014511873350923483,0.07387862796833773,0.24274406332453827,0.8092003105590062,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Contingency,758,2,0.002638522427440633,0.07387862796833773,0.09894459102902374,0.36095238095238097,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Expansion,758,11,0.014511873350923483,0.07387862796833773,0.11873350923482849,1.6543650793650793,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Temporal,758,23,0.030343007915567283,0.07387862796833773,0.0870712401055409,4.716991341991341,False
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Any explicit,758,36,0.047493403693931395,0.07387862796833773,0.449868073878628,1.4289903644742352,False
Gemma 4 4B,Stochastic,run_1,Payoff,Comparison,758,20,0.026385224274406333,0.21767810026385223,0.24274406332453827,0.4993412384716733,False
Gemma 4 4B,Stochastic,run_1,Payoff,Contingency,758,32,0.04221635883905013,0.21767810026385223,0.09894459102902374,1.9600808080808083,False
Gemma 4 4B,Stochastic,run_1,Payoff,Expansion,758,17,0.022427440633245383,0.21767810026385223,0.11873350923482849,0.8677441077441078,False
Gemma 4 4B,Stochastic,run_1,Payoff,Temporal,758,2,0.002638522427440633,0.21767810026385223,0.0870712401055409,0.13921028466483013,False
Gemma 4 4B,Stochastic,run_1,Payoff,Any explicit,758,55,0.07255936675461741,0.21767810026385223,0.449868073878628,0.7409579667644184,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Comparison,758,31,0.040897097625329816,0.13324538258575197,0.24274406332453827,1.2644210073181232,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Contingency,758,5,0.006596306068601583,0.13324538258575197,0.09894459102902374,0.5003300330033005,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Expansion,758,8,0.010554089709762533,0.13324538258575197,0.11873350923482849,0.6671067106710672,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Temporal,758,1,0.0013192612137203166,0.13324538258575197,0.0870712401055409,0.1137113711371137,False
Gemma 4 4B,Stochastic,run_1,Uncertainty,Any explicit,758,38,0.05013192612137203,0.13324538258575197,0.449868073878628,0.8363287941697396,False
Gemma 4 4B,Stochastic,run_2,Mechanical,Comparison,735,5,0.006802721088435374,0.017687074829931974,0.2530612244897959,1.5198511166253101,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Contingency,735,3,0.004081632653061225,0.017687074829931974,0.11428571428571428,2.0192307692307696,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Expansion,735,1,0.0013605442176870747,0.017687074829931974,0.13741496598639455,0.5597867479055597,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Temporal,735,1,0.0013605442176870747,0.017687074829931974,0.08299319727891157,0.9268600252206808,True
Gemma 4 4B,Stochastic,run_2,Mechanical,Any explicit,735,8,0.010884353741496598,0.017687074829931974,0.49387755102040815,1.246026700572155,True
Gemma 4 4B,Stochastic,run_2,Testimony,Comparison,735,77,0.10476190476190476,0.3142857142857143,0.2530612244897959,1.317204301075269,False
Gemma 4 4B,Stochastic,run_2,Testimony,Contingency,735,28,0.0380952380952381,0.3142857142857143,0.11428571428571428,1.0606060606060608,False
Gemma 4 4B,Stochastic,run_2,Testimony,Expansion,735,43,0.058503401360544216,0.3142857142857143,0.13741496598639455,1.354635463546355,False
Gemma 4 4B,Stochastic,run_2,Testimony,Temporal,735,40,0.05442176870748299,0.3142857142857143,0.08299319727891157,2.0864381520119224,False
Gemma 4 4B,Stochastic,run_2,Testimony,Any explicit,735,155,0.2108843537414966,0.3142857142857143,0.49387755102040815,1.35862759829702,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Comparison,735,74,0.10068027210884353,0.3224489795918367,0.2530612244897959,1.2338369402477203,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Contingency,735,12,0.0163265306122449,0.3224489795918367,0.11428571428571428,0.44303797468354433,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Expansion,735,50,0.06802721088435375,0.3224489795918367,0.13741496598639455,1.5352801102895102,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Temporal,735,21,0.02857142857142857,0.3224489795918367,0.08299319727891157,1.0676488898111642,False
