decoding_group,semantic_category,discourse_relation,model_a,model_b,prevalence_a,prevalence_b,difference,ci_low,ci_high,ci_excludes_zero,n_semantic_sentences_a,n_semantic_sentences_b,support_is_thin,n_valid_replicates,n_games,n_replicates,seed
Stochastic,Mechanical,Temporal,Gemma 4 2B,Gemma 4 31B,0.05555555555555555,0.1386250977355712,-0.08306954218001564,-0.16974133942776823,0.0563916814202717,False,18,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Temporal,Gemma 4 4B,Gemma 4 31B,0.12589165220744167,0.1386250977355712,-0.012733445528129522,-0.10750506947883592,0.11041349382626515,False,46,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 4B,0.6047619047619047,0.6712936186620397,-0.06653171390013501,-0.3594281368673951,0.22306457431457444,False,18,46,True,10000,191,10000,20260826
Stochastic,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 31B,0.6047619047619047,0.7360570244357906,-0.13129511967388585,-0.37618851018745286,0.13924661094967578,False,18,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Any explicit,Gemma 4 4B,Gemma 4 31B,0.6712936186620397,0.7360570244357906,-0.06476340577375084,-0.24159251662898468,0.10498879641039524,False,46,368,True,10000,191,10000,20260826
Stochastic,Testimony,Comparison,Gemma 4 2B,Gemma 4 4B,0.28867413632119515,0.327298412360653,-0.03862427603945784,-0.09040934259178143,0.015323895035596802,False,426,706,False,10000,191,10000,20260826
Stochastic,Testimony,Comparison,Gemma 4 2B,Gemma 4 31B,0.28867413632119515,0.1627964694358877,0.12587766688530747,0.07591383137846218,0.1764511742372547,True,426,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Comparison,Gemma 4 4B,Gemma 4 31B,0.327298412360653,0.1627964694358877,0.1645019429247653,0.12062530802482802,0.2073335670636242,True,706,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Contingency,Gemma 4 2B,Gemma 4 4B,0.08777310924369748,0.11482685134137416,-0.027053742097676678,-0.06114555655727498,0.008575895182070775,False,426,706,False,10000,191,10000,20260826
Stochastic,Testimony,Contingency,Gemma 4 2B,Gemma 4 31B,0.08777310924369748,0.1316563835537232,-0.04388327431002571,-0.07088055863523487,-0.016360091434236015,True,426,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Contingency,Gemma 4 4B,Gemma 4 31B,0.11482685134137416,0.1316563835537232,-0.016829532212349035,-0.04704568439976636,0.013608860236222292,False,706,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Expansion,Gemma 4 2B,Gemma 4 4B,0.2778478057889822,0.17150515075826278,0.10634265503071944,0.053616710819897384,0.159758283545934,True,426,706,False,10000,191,10000,20260826
Stochastic,Testimony,Expansion,Gemma 4 2B,Gemma 4 31B,0.2778478057889822,0.22634299322840212,0.05150481256058009,-0.0023132189147332806,0.10542107175364115,False,426,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Expansion,Gemma 4 4B,Gemma 4 31B,0.17150515075826278,0.22634299322840212,-0.05483784247013934,-0.09591888982826693,-0.014214455767259807,True,706,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Temporal,Gemma 4 2B,Gemma 4 4B,0.1322642390289449,0.16835239449347336,-0.036088155464528454,-0.08084500671286378,0.0075948313037953056,False,426,706,False,10000,191,10000,20260826
Stochastic,Testimony,Temporal,Gemma 4 2B,Gemma 4 31B,0.1322642390289449,0.17104945929351703,-0.03878522026457212,-0.08092583051776071,0.0034602772756542957,False,426,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Temporal,Gemma 4 4B,Gemma 4 31B,0.16835239449347336,0.17104945929351703,-0.0026970648000436692,-0.040926824235899315,0.03721961615554082,False,706,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Any explicit,Gemma 4 2B,Gemma 4 4B,0.6313678804855275,0.6489586946018481,-0.017590814116320574,-0.0690852778412595,0.0350225285553179,False,426,706,False,10000,191,10000,20260826
Stochastic,Testimony,Any explicit,Gemma 4 2B,Gemma 4 31B,0.6313678804855275,0.5339212638666134,0.09744661661891407,0.03953831927871863,0.15521654601662135,True,426,1260,False,10000,191,10000,20260826
Stochastic,Testimony,Any explicit,Gemma 4 4B,Gemma 4 31B,0.6489586946018481,0.5339212638666134,0.11503743073523465,0.06539761446562437,0.1667044805687674,True,706,1260,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Comparison,Gemma 4 2B,Gemma 4 4B,0.2987897624633493,0.3004882152378025,-0.0016984527744531852,-0.04647695487885527,0.043723644018624296,False,557,689,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Comparison,Gemma 4 2B,Gemma 4 31B,0.2987897624633493,0.24454236635141494,0.05424739611193438,-0.010732849176472473,0.12179513595404884,False,557,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Comparison,Gemma 4 4B,Gemma 4 31B,0.3004882152378025,0.24454236635141494,0.05594584888638757,-0.00911289770705557,0.12107744425085606,False,689,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Contingency,Gemma 4 2B,Gemma 4 4B,0.12740102990866567,0.037585301316726744,0.08981572859193893,0.06022882976370575,0.1192656115998917,True,557,689,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Contingency,Gemma 4 2B,Gemma 4 31B,0.12740102990866567,0.09452921542696051,0.03287181448170516,-0.01439267848773788,0.0774811710126927,False,557,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Contingency,Gemma 4 4B,Gemma 4 31B,0.037585301316726744,0.09452921542696051,-0.056943914110233765,-0.10189497403027865,-0.015828820076985578,True,689,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Expansion,Gemma 4 2B,Gemma 4 4B,0.2508437831331904,0.16883504307830122,0.08200874005488917,0.03708421238547941,0.12820480094428652,True,557,689,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Expansion,Gemma 4 2B,Gemma 4 31B,0.2508437831331904,0.2868318496867857,-0.03598806655359532,-0.11439341749409691,0.0396660485078404,False,557,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Expansion,Gemma 4 4B,Gemma 4 31B,0.16883504307830122,0.2868318496867857,-0.1179968066084845,-0.19021404178540346,-0.04827642478825277,True,689,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Temporal,Gemma 4 2B,Gemma 4 4B,0.09526570842581644,0.07685274707839375,0.018412961347422693,-0.014082700742996777,0.05063385302605054,False,557,689,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Temporal,Gemma 4 2B,Gemma 4 31B,0.09526570842581644,0.1197725075293673,-0.024506799103550858,-0.07768829449246314,0.02745611354085632,False,557,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Temporal,Gemma 4 4B,Gemma 4 31B,0.07685274707839375,0.1197725075293673,-0.04291976045097355,-0.09531392995777277,0.008714616319104194,False,689,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Any explicit,Gemma 4 2B,Gemma 4 4B,0.6486594956693669,0.4823521925888464,0.1663073030805205,0.11093427716276959,0.22325530624724732,True,557,689,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Any explicit,Gemma 4 2B,Gemma 4 31B,0.6486594956693669,0.5865414180030598,0.06211807766630706,-0.016729157535319738,0.14284079549888107,False,557,214,False,10000,191,10000,20260826
Stochastic,SocialJudgment,Any explicit,Gemma 4 4B,Gemma 4 31B,0.4823521925888464,0.5865414180030598,-0.10418922541421344,-0.18071343124509792,-0.024409794509733455,True,689,214,False,10000,191,10000,20260826
Stochastic,Behavioral,Comparison,Gemma 4 2B,Gemma 4 4B,0.27522716403634623,0.33039210572074423,-0.055164941684398006,-0.14053339749234317,0.0346434530825806,False,116,654,False,10000,191,10000,20260826
Stochastic,Behavioral,Comparison,Gemma 4 2B,Gemma 4 31B,0.27522716403634623,0.23161663469661117,0.043610529339735055,-0.042368207765330665,0.13481591813793353,False,116,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Comparison,Gemma 4 4B,Gemma 4 31B,0.33039210572074423,0.23161663469661117,0.09877547102413306,0.04964075432198445,0.14978250334808044,True,654,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Contingency,Gemma 4 2B,Gemma 4 4B,0.15471066475370635,0.04727264823508955,0.10743801651861679,0.04438841969871569,0.17426148241073008,True,116,654,False,10000,191,10000,20260826
Stochastic,Behavioral,Contingency,Gemma 4 2B,Gemma 4 31B,0.15471066475370635,0.16180756826890316,-0.007096903515196817,-0.07866373968970813,0.06724693717129399,False,116,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Contingency,Gemma 4 4B,Gemma 4 31B,0.04727264823508955,0.16180756826890316,-0.1145349200338136,-0.152009077125999,-0.0781123616747726,True,654,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Expansion,Gemma 4 2B,Gemma 4 4B,0.20205643232902917,0.1405938097722135,0.06146262255681567,-0.01193042683066138,0.13926332910284955,False,116,654,False,10000,191,10000,20260826
Stochastic,Behavioral,Expansion,Gemma 4 2B,Gemma 4 31B,0.20205643232902917,0.20845137362338187,-0.006394941294352696,-0.08721379259527204,0.07878971368325366,False,116,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Expansion,Gemma 4 4B,Gemma 4 31B,0.1405938097722135,0.20845137362338187,-0.06785756385116837,-0.11453451323004339,-0.021286539897463035,True,654,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Temporal,Gemma 4 2B,Gemma 4 4B,0.09445241511238643,0.09783863675882455,-0.00338622164643812,-0.05807980253490663,0.05804588615918962,False,116,654,False,10000,191,10000,20260826
Stochastic,Behavioral,Temporal,Gemma 4 2B,Gemma 4 31B,0.09445241511238643,0.14264575933937887,-0.04819334422699244,-0.1097219281202706,0.019311011495258237,False,116,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Temporal,Gemma 4 4B,Gemma 4 31B,0.09783863675882455,0.14264575933937887,-0.04480712258055432,-0.08649994218011295,-0.0041584511109752,True,654,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Any explicit,Gemma 4 2B,Gemma 4 4B,0.5798660927785749,0.49856025039123636,0.08130584238733857,-0.01388273577419286,0.17700804747858045,False,116,654,False,10000,191,10000,20260826
Stochastic,Behavioral,Any explicit,Gemma 4 2B,Gemma 4 31B,0.5798660927785749,0.5574947611113444,0.022371331667230487,-0.07891899282700691,0.12581346184302603,False,116,518,False,10000,191,10000,20260826
Stochastic,Behavioral,Any explicit,Gemma 4 4B,Gemma 4 31B,0.49856025039123636,0.5574947611113444,-0.05893451072010808,-0.11678771835733365,0.0018652081329445715,False,654,518,False,10000,191,10000,20260826
Stochastic,ClaimComparison,Comparison,Gemma 4 2B,Gemma 4 4B,0.3313222724987431,0.2456816059757236,0.08564066652301947,-0.05738275994325325,0.22979679209390516,False,51,163,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Comparison,Gemma 4 2B,Gemma 4 31B,0.3313222724987431,0.18953367307797686,0.14178859942076621,0.0037897522193273076,0.28119729977481694,True,51,487,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Comparison,Gemma 4 4B,Gemma 4 31B,0.2456816059757236,0.18953367307797686,0.05614793289774675,-0.025250760167363606,0.1460194289793232,False,163,487,False,10000,191,10000,20260826
Stochastic,ClaimComparison,Contingency,Gemma 4 2B,Gemma 4 4B,0.05135387488328665,0.04820261437908496,0.0031512605042016903,-0.058770864605810436,0.07121637583727747,False,51,163,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Contingency,Gemma 4 2B,Gemma 4 31B,0.05135387488328665,0.13850293166748862,-0.08714905678420196,-0.14828056323572208,-0.01773895840262769,True,51,487,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Contingency,Gemma 4 4B,Gemma 4 31B,0.04820261437908496,0.13850293166748862,-0.09030031728840365,-0.13501221506451133,-0.04344140905133116,True,163,487,False,10000,191,10000,20260826
Stochastic,ClaimComparison,Expansion,Gemma 4 2B,Gemma 4 4B,0.3336206277382748,0.14157329598506066,0.19204733175321412,0.04687937843760741,0.3467662404935093,True,51,163,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Expansion,Gemma 4 2B,Gemma 4 31B,0.3336206277382748,0.20092169433941587,0.1326989333988589,-0.01090573708261286,0.2866724584714213,False,51,487,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Expansion,Gemma 4 4B,Gemma 4 31B,0.14157329598506066,0.20092169433941587,-0.05934839835435521,-0.13409801844025482,0.02700800013426018,False,163,487,False,10000,191,10000,20260826
Stochastic,ClaimComparison,Temporal,Gemma 4 2B,Gemma 4 4B,0.3396538102420455,0.3670634920634921,-0.027409681821446596,-0.162896194876418,0.10885532189798643,False,51,163,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Temporal,Gemma 4 2B,Gemma 4 31B,0.3396538102420455,0.3071938188393884,0.032459991402657096,-0.09772794343716501,0.16421298220365985,False,51,487,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Temporal,Gemma 4 4B,Gemma 4 31B,0.3670634920634921,0.3071938188393884,0.05986967322410369,-0.011812917024248243,0.13289000142980747,False,163,487,False,10000,191,10000,20260826
Stochastic,ClaimComparison,Any explicit,Gemma 4 2B,Gemma 4 4B,0.6905839258780436,0.6317693744164332,0.05881455146161041,-0.08681265364916219,0.19390475149330075,False,51,163,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Any explicit,Gemma 4 2B,Gemma 4 31B,0.6905839258780436,0.6364107622335471,0.054173163644496536,-0.08275064549873916,0.18378599464256992,False,51,487,True,10000,191,10000,20260826
Stochastic,ClaimComparison,Any explicit,Gemma 4 4B,Gemma 4 31B,0.6317693744164332,0.6364107622335471,-0.004641387817113873,-0.0739344612697618,0.07414072943064566,False,163,487,False,10000,191,10000,20260826
Stochastic,Payoff,Comparison,Gemma 4 2B,Gemma 4 4B,0.07525390093745092,0.13836800142532626,-0.06311410048787534,-0.09654621838606078,-0.029471902102698216,True,596,478,False,10000,191,10000,20260826
Stochastic,Payoff,Comparison,Gemma 4 2B,Gemma 4 31B,0.07525390093745092,0.18973891924711594,-0.11448501830966502,-0.18611785619079158,-0.04671729310654061,True,596,172,False,10000,191,10000,20260826
Stochastic,Payoff,Comparison,Gemma 4 4B,Gemma 4 31B,0.13836800142532626,0.18973891924711594,-0.05137091782178968,-0.1263514917782362,0.021465481395784518,False,478,172,False,10000,191,10000,20260826
Stochastic,Payoff,Contingency,Gemma 4 2B,Gemma 4 4B,0.5054464352985195,0.18811535244656263,0.3173310828519569,0.2556019407146415,0.37797238666122274,True,596,478,False,10000,191,10000,20260826
Stochastic,Payoff,Contingency,Gemma 4 2B,Gemma 4 31B,0.5054464352985195,0.5398465529613071,-0.03440011766278761,-0.12136058101911054,0.05348235612786321,False,596,172,False,10000,191,10000,20260826
Stochastic,Payoff,Contingency,Gemma 4 4B,Gemma 4 31B,0.18811535244656263,0.5398465529613071,-0.3517312005147445,-0.43818407444592444,-0.26477418690922916,True,478,172,False,10000,191,10000,20260826
Stochastic,Payoff,Expansion,Gemma 4 2B,Gemma 4 4B,0.17100964012662803,0.14082718413928605,0.030182455987341983,-0.017845188372794425,0.07873219537730929,False,596,478,False,10000,191,10000,20260826
Stochastic,Payoff,Expansion,Gemma 4 2B,Gemma 4 31B,0.17100964012662803,0.331511839708561,-0.16050219958193299,-0.24769382256540873,-0.07260567665956333,True,596,172,False,10000,191,10000,20260826
Stochastic,Payoff,Expansion,Gemma 4 4B,Gemma 4 31B,0.14082718413928605,0.331511839708561,-0.19068465556927497,-0.280597948913057,-0.10115940803660574,True,478,172,False,10000,191,10000,20260826
Stochastic,Payoff,Temporal,Gemma 4 2B,Gemma 4 4B,0.01017493720317566,0.010450660450660452,-0.00027572324748479163,-0.012951637977350591,0.011732449425862723,False,596,478,False,10000,191,10000,20260826
Stochastic,Payoff,Temporal,Gemma 4 2B,Gemma 4 31B,0.01017493720317566,0.05410388033338853,-0.04392894313021287,-0.0830533483934807,-0.010532259766154769,True,596,172,False,10000,191,10000,20260826
Stochastic,Payoff,Temporal,Gemma 4 4B,Gemma 4 31B,0.010450660450660452,0.05410388033338853,-0.04365321988272808,-0.08335600985764088,-0.009948376614889575,True,478,172,False,10000,191,10000,20260826
Stochastic,Payoff,Any explicit,Gemma 4 2B,Gemma 4 4B,0.6158666855663718,0.37306059121345747,0.24280609435291434,0.17951321634783887,0.307314816105145,True,596,478,False,10000,191,10000,20260826
Stochastic,Payoff,Any explicit,Gemma 4 2B,Gemma 4 31B,0.6158666855663718,0.7685378373902964,-0.15267115182392454,-0.2279460920173485,-0.07512468152352053,True,596,172,False,10000,191,10000,20260826
Stochastic,Payoff,Any explicit,Gemma 4 4B,Gemma 4 31B,0.37306059121345747,0.7685378373902964,-0.3954772461768389,-0.46982009530497965,-0.31760118441602725,True,478,172,False,10000,191,10000,20260826
Stochastic,Uncertainty,Comparison,Gemma 4 2B,Gemma 4 4B,0.2860194614707927,0.34677869949157075,-0.06075923802077804,-0.12371817443330968,0.0007684903016260499,False,588,337,False,10000,191,10000,20260826
Stochastic,Uncertainty,Comparison,Gemma 4 2B,Gemma 4 31B,0.2860194614707927,0.4094771241830066,-0.12345766271221387,-0.2595142141791019,0.005492359784429751,False,588,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Comparison,Gemma 4 4B,Gemma 4 31B,0.34677869949157075,0.4094771241830066,-0.06269842469143583,-0.20275663106816352,0.07537493986051089,False,337,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Contingency,Gemma 4 2B,Gemma 4 4B,0.20395374863434498,0.0781953438587102,0.12575840477563477,0.09056324167316068,0.15967733790574773,True,588,337,False,10000,191,10000,20260826
Stochastic,Uncertainty,Contingency,Gemma 4 2B,Gemma 4 31B,0.20395374863434498,0.14183006535947715,0.062123683274867836,-0.03132427995241284,0.14449615255140957,False,588,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Contingency,Gemma 4 4B,Gemma 4 31B,0.0781953438587102,0.14183006535947715,-0.06363472150076695,-0.16098767291169247,0.02388022360365071,False,337,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Expansion,Gemma 4 2B,Gemma 4 4B,0.17902212006413257,0.07175999762138376,0.10726212244274881,0.060783895125589286,0.15067877450214795,True,588,337,False,10000,191,10000,20260826
Stochastic,Uncertainty,Expansion,Gemma 4 2B,Gemma 4 31B,0.17902212006413257,0.2678758169934641,-0.08885369692933151,-0.20680501814477492,0.022381900100865968,False,588,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Expansion,Gemma 4 4B,Gemma 4 31B,0.07175999762138376,0.2678758169934641,-0.19611581937208034,-0.31516271157536385,-0.0819040897871444,True,337,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Temporal,Gemma 4 2B,Gemma 4 4B,0.00870782431646306,0.014303333036006304,-0.0055955087195432435,-0.021137565015072312,0.008521645637750482,False,588,337,False,10000,191,10000,20260826
Stochastic,Uncertainty,Temporal,Gemma 4 2B,Gemma 4 31B,0.00870782431646306,0.060163398692810455,-0.051455574376347395,-0.13098336813143324,0.00826382109836754,False,588,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Temporal,Gemma 4 4B,Gemma 4 31B,0.014303333036006304,0.060163398692810455,-0.04586006565680415,-0.12207322895140127,0.011768273454706091,False,337,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Any explicit,Gemma 4 2B,Gemma 4 4B,0.5225088324181671,0.44824737608896026,0.07426145632920689,0.006952802538085142,0.14099509864550058,True,588,337,False,10000,191,10000,20260826
Stochastic,Uncertainty,Any explicit,Gemma 4 2B,Gemma 4 31B,0.5225088324181671,0.5899673202614379,-0.0674584878432708,-0.20257945368627692,0.06278986395895116,False,588,66,True,10000,191,10000,20260826
Stochastic,Uncertainty,Any explicit,Gemma 4 4B,Gemma 4 31B,0.44824737608896026,0.5899673202614379,-0.14171994417247769,-0.2805080027273611,-0.00500556971842233,True,337,66,True,10000,191,10000,20260826
Greedy,Mechanical,Comparison,Gemma 4 2B,Gemma 4 4B,0.0,0.14285714285714285,-0.14285714285714285,-0.35714285714285715,0.0,False,5,14,True,9943,191,10000,20260826
Greedy,Mechanical,Comparison,Gemma 4 2B,Gemma 4 31B,0.0,0.16666666666666666,-0.16666666666666666,-0.2366412213740458,-0.10317460317460317,True,5,126,True,9943,191,10000,20260826
Greedy,Mechanical,Comparison,Gemma 4 4B,Gemma 4 31B,0.14285714285714285,0.16666666666666666,-0.023809523809523808,-0.1984732824427481,0.20147702897702893,False,14,126,True,10000,191,10000,20260826
Greedy,Mechanical,Contingency,Gemma 4 2B,Gemma 4 4B,0.2,0.42857142857142855,-0.22857142857142854,-0.625,0.27777777777777773,False,5,14,True,9943,191,10000,20260826
Greedy,Mechanical,Contingency,Gemma 4 2B,Gemma 4 31B,0.2,0.46825396825396826,-0.26825396825396824,-0.5393274945261182,0.21319052419354767,False,5,126,True,9943,191,10000,20260826
Greedy,Mechanical,Contingency,Gemma 4 4B,Gemma 4 31B,0.42857142857142855,0.46825396825396826,-0.03968253968253971,-0.32933917137476465,0.2552785652656229,False,14,126,True,10000,191,10000,20260826
Greedy,Mechanical,Expansion,Gemma 4 2B,Gemma 4 4B,0.2,0.0,0.2,0.0,0.6666666666666666,False,5,14,True,9943,191,10000,20260826
Greedy,Mechanical,Expansion,Gemma 4 2B,Gemma 4 31B,0.2,0.29365079365079366,-0.09365079365079365,-0.36045684667309547,0.38059540095107625,False,5,126,True,9943,191,10000,20260826
Greedy,Mechanical,Expansion,Gemma 4 4B,Gemma 4 31B,0.0,0.29365079365079366,-0.29365079365079366,-0.3787878787878788,-0.20967741935483872,True,14,126,True,10000,191,10000,20260826
Greedy,Mechanical,Temporal,Gemma 4 2B,Gemma 4 4B,0.2,0.14285714285714285,0.05714285714285716,-0.3,0.55,False,5,14,True,9943,191,10000,20260826
Greedy,Mechanical,Temporal,Gemma 4 2B,Gemma 4 31B,0.2,0.12698412698412698,0.07301587301587303,-0.17355371900826447,0.5459770114942528,False,5,126,True,9943,191,10000,20260826
Greedy,Mechanical,Temporal,Gemma 4 4B,Gemma 4 31B,0.14285714285714285,0.12698412698412698,0.015873015873015872,-0.15714420995670994,0.24533413304252996,False,14,126,True,10000,191,10000,20260826
Greedy,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 4B,0.2,0.5714285714285714,-0.3714285714285714,-0.7777777777777778,0.13865384615384563,False,5,14,True,9943,191,10000,20260826
Greedy,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 31B,0.2,0.7222222222222222,-0.5222222222222221,-0.7874015748031497,-0.03909158387575801,True,5,126,True,9943,191,10000,20260826
Greedy,Mechanical,Any explicit,Gemma 4 4B,Gemma 4 31B,0.5714285714285714,0.7222222222222222,-0.1507936507936508,-0.45653342683496956,0.13018814229249012,False,14,126,True,10000,191,10000,20260826
Greedy,Testimony,Comparison,Gemma 4 2B,Gemma 4 4B,0.33557046979865773,0.32882882882882886,0.006741640969828877,-0.0694418130422642,0.08388196198651204,False,149,222,False,10000,191,10000,20260826
Greedy,Testimony,Comparison,Gemma 4 2B,Gemma 4 31B,0.33557046979865773,0.16957605985037408,0.16599440994828366,0.09460570318657367,0.23789664513093708,True,149,401,False,10000,191,10000,20260826
Greedy,Testimony,Comparison,Gemma 4 4B,Gemma 4 31B,0.32882882882882886,0.16957605985037408,0.15925276897845478,0.09783580162050351,0.22121349868928736,True,222,401,False,10000,191,10000,20260826
Greedy,Testimony,Contingency,Gemma 4 2B,Gemma 4 4B,0.10738255033557047,0.09009009009009009,0.01729246024548038,-0.037846550835257266,0.07660580309527287,False,149,222,False,10000,191,10000,20260826
Greedy,Testimony,Contingency,Gemma 4 2B,Gemma 4 31B,0.10738255033557047,0.11221945137157108,-0.00483690103600061,-0.061157798088806725,0.052978556449972104,False,149,401,False,10000,191,10000,20260826
Greedy,Testimony,Contingency,Gemma 4 4B,Gemma 4 31B,0.09009009009009009,0.11221945137157108,-0.02212936128148099,-0.06502345781039345,0.02068026592005069,False,222,401,False,10000,191,10000,20260826
Greedy,Testimony,Expansion,Gemma 4 2B,Gemma 4 4B,0.30201342281879195,0.15765765765765766,0.1443557651611343,0.054434206631432086,0.23559255663328488,True,149,222,False,10000,191,10000,20260826
Greedy,Testimony,Expansion,Gemma 4 2B,Gemma 4 31B,0.30201342281879195,0.24189526184538654,0.060118160973405416,-0.024198465774980332,0.14406920795929973,False,149,401,False,10000,191,10000,20260826
Greedy,Testimony,Expansion,Gemma 4 4B,Gemma 4 31B,0.15765765765765766,0.24189526184538654,-0.08423760418772888,-0.14599009934641038,-0.022172322114835788,True,222,401,False,10000,191,10000,20260826
Greedy,Testimony,Temporal,Gemma 4 2B,Gemma 4 4B,0.12080536912751678,0.19369369369369369,-0.0728883245661769,-0.1536657290893037,0.005898930371412632,False,149,222,False,10000,191,10000,20260826
Greedy,Testimony,Temporal,Gemma 4 2B,Gemma 4 31B,0.12080536912751678,0.18453865336658354,-0.06373328423906675,-0.12222844520968124,-0.002271707198255763,True,149,401,False,10000,191,10000,20260826
Greedy,Testimony,Temporal,Gemma 4 4B,Gemma 4 31B,0.19369369369369369,0.18453865336658354,0.009155040327110148,-0.05220327994849206,0.07508156407652075,False,222,401,False,10000,191,10000,20260826
Greedy,Testimony,Any explicit,Gemma 4 2B,Gemma 4 4B,0.6375838926174496,0.6126126126126126,0.02497128000483706,-0.07254553655703831,0.1216598144332518,False,149,222,False,10000,191,10000,20260826
